//upload from from www.nndc.bnl.gov/nudat2 using
//		curl https://www.nndc.bnl.gov/nudat2/reCenter.jsp -d z=%d -d n=%d -S -o data_z%d_n%d.html
//03/2019
//Z N spin parity
//
20 27 7/2-
21 27 6+
22 27 7/2-
23 27 6+
24 27 7/2-
25 27 6+
26 27 7/2-
27 27 0+
28 27 7/2-
29 27 (4+)
15 28 (1/2+)
16 28 0+
17 28 (1/2+)
18 28 0+
19 28 1/2+
20 28 0+
21 28 7/2-
22 28 0+
23 28 7/2-
24 28 0+
25 28 7/2-
26 28 0+
27 28 7/2-
28 28 0+
29 28 3/2-
30 28 0+
16 29 NA
17 29 NA
18 29 (3/2)-
19 29 (2-)
20 29 3/2-
21 29 5+
22 29 3/2-
23 29 3+
24 29 3/2-
25 29 3+
26 29 3/2-
27 29 4+
28 29 3/2-
29 29 1+
30 29 3/2-
18 30 0+
19 30 (1/2+,3/2+)
20 30 0+
21 30 (7/2-)
22 30 0+
23 30 7/2-
24 30 0+
25 30 5/2-
26 30 0+
27 30 7/2-
28 30 0+
29 30 3/2-
30 30 0+
31 30 3/2-
19 31 (0-,1-,2-)
20 31 (3/2-)
21 31 3(+)
22 31 (3/2)-
23 31 3+
24 31 3/2-
25 31 3+
26 31 1/2-
27 31 2+
28 31 3/2-
29 31 2+
30 31 3/2-
31 31 0+
32 31 3/2-
19 32 (1/2+,3/2+)
20 32 0+
21 32 (7/2-)
22 32 0+
23 32 (7/2-)
24 32 0+
25 32 5/2-
26 32 0+
27 32 7/2-
28 32 0+
29 32 3/2-
30 32 0+
31 32 3/2-
32 32 0+
33 32 NA
19 33 (2-)
20 33 (3/2-,5/2-)
21 33 (3)+
22 33 (1/2)-
23 33 1+
24 33 (3/2)-
25 33 1+
26 33 3/2-
27 33 5+
28 33 3/2-
29 33 1+
30 33 3/2-
31 33 0+
32 33 3/2-
33 33 (0+)
34 33 NA
19 34 (3/2+)
20 34 0+
21 34 (7/2)-
22 34 0+
23 34 (7/2-)
24 34 0+
25 34 (5/2)-
26 34 0+
27 34 7/2-
28 34 0+
29 34 3/2-
30 34 0+
31 34 3/2-
32 34 0+
33 34 (5/2-)
34 34 0+
35 34 NA
21 35 (1+)
22 35 (5/2-)
23 35 (1+)
24 35 (1/2-)
25 35 1+
26 35 (3/2-)
27 35 2+
28 35 1/2-
29 35 1+
30 35 5/2-
31 35 0+
32 35 1/2-
33 35 3+
34 35 1/2-
35 35 0+
36 35 (5/2-)
21 36 (7/2-)
23 36 (5/2-)
24 36 0+
25 36 (5/2)-
26 36 0+
27 36 7/2-
28 36 0+
29 36 3/2-
30 36 0+
31 36 3/2-
32 36 0+
33 36 5/2-
34 36 0+
35 36 (5/2)-
36 36 0+
23 37 NA
24 37 (5/2-)
25 37 (1+)
26 37 (5/2-)
27 37 1+
28 37 5/2-
29 37 1+
30 37 5/2-
31 37 1+
32 37 5/2-
33 37 4+
34 37 (5/2-)
35 37 1+
36 37 3/2-
37 37 (0+)
38 37 (3/2-)
23 38 (3/2-)
24 38 0+
25 38 5/2-
26 38 0+
27 38 (7/2)-
28 38 0+
29 38 3/2-
30 38 0+
31 38 3/2-
32 38 0+
33 38 5/2-
34 38 0+
35 38 1/2-
36 38 0+
37 38 (3/2-)
38 38 0+
24 39 1/2-
25 39 (1+)
26 39 (1/2-)
27 39 (3+)
28 39 (1/2)-
29 39 1+
30 39 1/2-
31 39 1+
32 39 1/2-
33 39 2-
34 39 9/2+
35 39 (0-)
36 39 5/2+
37 39 1(-)
38 39 5/2+
24 40 0+
25 40 (5/2-)
26 40 0+
27 40 (7/2-)
28 40 0+
29 40 3/2-
30 40 0+
31 40 3/2-
32 40 0+
33 40 3/2-
34 40 0+
35 40 3/2-
