//From I. Angeli a, K.P. Marinova
//Table of experimental nuclear ground state charge radii: An update
//Atomic Data and Nuclear Data Tables 99 (2013) 69_95
//A Z Charge Radii (fm) Error (fm)
89 37 4.2391 0.0074
90 37 4.2554 0.0102
91 37 4.2723 0.0131
92 37 4.2903 0.0163
93 37 4.3048 0.0187
94 37 4.3184 0.0211
95 37 4.3391 0.0248
96 37 4.3501 0.0267
97 37 4.4231 0.0395
98 37 4.4336 0.0414
77 38 4.2569 0.0044
78 38 4.2561 0.0040
79 38 4.2586 0.0039
80 38 4.2562 0.0037
81 38 4.2547 0.0034
82 38 4.2478 0.0030
83 38 4.2455 0.0027
84 38 4.2394 0.0024
85 38 4.2304 0.0021
86 38 4.2307 0.0020
87 38 4.2249 0.0019
88 38 4.2240 0.0018
89 38 4.2407 0.0023
90 38 4.2611 0.0037
91 38 4.2740 0.0046
92 38 4.2924 0.0064
93 38 4.3026 0.0075
94 38 4.3191 0.0091
95 38 4.3305 0.0102
96 38 4.3522 0.0125
97 38 4.3625 0.0135
98 38 4.4377 0.0214
99 38 4.4495 0.0226
100 38 4.4640 0.0240
86 39 4.2513 0.0023
87 39 4.2498 0.0022
88 39 4.2441 0.0021
89 39 4.2430 0.0021
90 39 4.2573 0.0026
92 39 4.2887 0.0050
93 39 4.3052 0.0065
94 39 4.3142 0.0074
95 39 4.3284 0.0087
96 39 4.3402 0.0099
97 39 4.3580 0.0116
98 39 4.3711 0.0129
99 39 4.4658 0.0223
100 39 4.4705 0.0228
101 39 4.4863 0.0244
102 39 4.4911 0.0249
87 40 4.2789 0.0030
88 40 4.2787 0.0025
89 40 4.2706 0.0010
90 40 4.2694 0.0010
91 40 4.2845 0.0013
92 40 4.3057 0.0013
94 40 4.3320 0.0013
96 40 4.3512 0.0015
97 40 4.3792 0.0136
98 40 4.4012 0.0164
99 40 4.4156 0.0181
100 40 4.4891 0.0289
101 40 4.5119 0.0318
102 40 4.5292 0.0340
90 41 4.2891 0.0040
91 41 4.2878 0.0040
92 41 4.3026 0.0043
93 41 4.3240 0.0017
99 41 4.4062 0.0125
101 41 4.4861 0.0203
103 41 4.5097 0.0227
90 42 4.3265 0.0016
91 42 4.3182 0.0012
92 42 4.3151 0.0012
94 42 4.3529 0.0013
95 42 4.3628 0.0018
96 42 4.3847 0.0015
97 42 4.3880 0.0015
98 42 4.4091 0.0018
100 42 4.4468 0.0025
102 42 4.4914 0.0038
103 42 4.5145 0.0046
104 42 4.5249 0.0051
105 42 4.5389 0.0057
106 42 4.5490 0.0058
108 42 4.5602 0.0067
96 44 4.3908 0.0047
98 44 4.4229 0.0055
99 44 4.4338 0.0042
100 44 4.4531 0.0031
101 44 4.4606 0.0020
102 44 4.4809 0.0018
104 44 4.5098 0.0020
103 45 4.4945 0.0023
102 46 4.4827 0.0044
104 46 4.5078 0.0027
105 46 4.5150 0.0030
106 46 4.5318 0.0029
108 46 4.5563 0.0027
110 46 4.5782 0.0030
101 47 4.4799 0.0088
103 47 4.5036 0.0065
104 47 4.5119 0.0058
105 47 4.5269 0.0045
107 47 4.5454 0.0031
109 47 4.5638 0.0025
102 48 4.4810 0.0122
103 48 4.4951 0.0105
104 48 4.5122 0.0083
105 48 4.5216 0.0070
106 48 4.5383 0.0036
107 48 4.5466 0.0039
108 48 4.5577 0.0031
109 48 4.5601 0.0035
110 48 4.5765 0.0026
111 48 4.5845 0.0058
112 48 4.5944 0.0024
113 48 4.6012 0.0028
114 48 4.6087 0.0023
115 48 4.6114 0.0046
116 48 4.6203 0.0059
117 48 4.6136 0.0025
118 48 4.6246 0.0060
120 48 4.6300 0.0069
104 49 4.5184 0.0117
105 49 4.5311 0.0103
106 49 4.5375 0.0095
107 49 4.5494 0.0082
108 49 4.5571 0.0071
109 49 4.5685 0.0061
110 49 4.5742 0.0056
111 49 4.5856 0.0044
112 49 4.5907 0.0041
113 49 4.6010 0.0031
114 49 4.6056 0.0029
115 49 4.6156 0.0026
116 49 4.6211 0.0027
117 49 4.6292 0.0032
118 49 4.6335 0.0033
119 49 4.6407 0.0040
120 49 4.6443 0.0042
