# PACE2_2009.DATA
#
# This is the same as pace2_2001.data except the format is much simpler to read :)
# Each line is:
#  Z   A    MassExcess (keV)
#
27     52     -34231.1
27     53     -42638.9
27     54     -48009
27     55     -54025.6
27     56     -56037.7
27     57     -59342.1
27     58     -59844
27     59     -62226.4
27     60     -61646.6
27     61     -62897
27     62     -61423.4
27     63     -61838.9
27     64     -59791.3
27     65     -59159.5
28     53     -29408.9
28     54     -39207.2
28     55     -45329.6
28     56     -53901.3
28     57     -56077.1
28     58     -60224.7
28     59     -61153.3
28     60     -64470.2
28     61     -64219.1
28     62     -66745.4
28     63     -65512.5
28     64     -67097.9
28     65     -65124.8
28     66     -66021
28     67     -63743.6
28     68     -63478.6
29     55     -31529.6
29     56     -38501.3
29     57     -47377.1
29     58     -51662.1
29     59     -56352.7
29     60     -58343.3
29     61     -61980.4
29     62     -62796.4
29     63     -65578.4
29     64     -65423
29     65     -67261.2
29     66     -66256.6
29     67     -67303
29     68     -65556.3
29     69     -65744.4
29     70     -62983.1
30     57     -32607.1
30     58     -42204.7
30     59     -47232.7
30     60     -54184.7
30     61     -56341.8
30     62     -61168.8
30     63     -62210.9
30     64     -66000.9
30     65     -65909.3
30     66     -68898.4
30     67     -67879
30     68     -70005.8
30     69     -68416.7
30     70     -69560.7
30     71     -67324.6
30     72     -68133.5
30     73     -65003.9
30     74     -65570.5
30     75     -62364.9
30     76     -62464.4
30     77     -58915.3
30     78     -57962.7
31     61     -47541.8
31     62     -51997.8
31     63     -56690.9
31     64     -58836.1
31     65     -62653.6
31     66     -63723.4
31     67     -66878
31     68     -67084.7
31     69     -69322.1
31     70     -68905.9
31     71     -70141.1
31     72     -68590.7
31     73     -69703.9
31     74     -67998.5
31     75     -68464.9
31     76     -66444.4
31     77     -66415.3
31     78     -63972.7
31     79     -62755.4
31     80     -59486.9
31     81     -57974.7
32     63     -47290.9
32     64     -54426.1
32     65     -56411.9
32     66     -61621.4
32     67     -62655.2
32     68     -66977.8
32     69     -67096.9
32     70     -70561
32     71     -69905.4
32     72     -72583.6
32     73     -71294.8
32     74     -73423.5
32     75     -71857.6
32     76     -73214.4
32     77     -71215.3
32     78     -71862.7
32     79     -69525.4
32     80     -69486.9
32     81     -66294.7
32     82     -65372.6
33     65     -47311.9
33     66     -52071.4
33     67     -56645.2
33     68     -58877.8
33     69     -63080.1
33     70     -64339
33     71     -67892.8
33     72     -68228.2
33     73     -70948.6
33     74     -70861.4
33     75     -73035.9
33     76     -72291.5
33     77     -73916.2
33     78     -72815
33     79     -73635.4
33     80     -72176.1
33     81     -72524.7
33     82     -70072.6
33     83     -69877.9
33     84     -66175.4
34     67     -46855.2
34     68     -54177.8
34     69     -56292.2
34     70     -61589
34     71     -63092.8
34     72     -67897.6
34     73     -68208.7
34     74     -72215.8
34     75     -72172.1
34     76     -75255.3
34     77     -74602.8
34     78     -77029.2
34     79     -75920.2
34     80     -77760.9
34     81     -76390.7
34     82     -77591.2
34     83     -75337.9
34     84     -75947.4
34     85     -72417.2
34     86     -70541.8
35     69     -46792.2
35     70     -51189
35     71     -56492.8
35     72     -58928.2
35     73     -63630.9
35     74     -65298.5
35     75     -69162.1
35     76     -70303.3
35     77     -73238
35     78     -73455.4
35     79     -76069.6
35     80     -75890.6
35     81     -77978
35     82     -77499.6
35     83     -79004.9
35     84     -77775.4
35     85     -78607.2
35     86     -75641.8
35     87     -73875.8
35     88     -70716.7
35     89     -68218.1
35     90     -64263.8
36     71     -46292.8
36     72     -53871.2
36     73     -56893
36     74     -62018.5
36     75     -64162.1
36     76     -68971.3
36     77     -70231
36     78     -74150.1
36     79     -74438.9
36     80     -77894.1
36     81     -77697.2
36     82     -80592.1
36     83     -79982.3
36     84     -82429.7
36     85     -81477.2
36     86     -83261.8
36     87     -80705.8
36     88     -79686.7
36     89     -76718.1
36     90     -74963.8
36     91     -71385
36     92     -68663.4
36     93     -64110.5
37     74     -52073.7
37     75     -57554.2
37     76     -60808.7
37     77     -65126.2
37     78     -67126.3
37     79     -70913.1
37     80     -72187.3
37     81     -75460.3
37     82     -76208.4
37     83     -79019.5
37     84     -79747.8
37     85     -82164.6
37     86     -82743.5
37     87     -84591.9
37     88     -82597.5
37     89     -81708.1
37     90     -79353.8
37     91     -77805
37     92     -74823.4
37     93     -72640.5
37     94     -68649
37     95     -65728.4
37     96     -61136.1
37     97     -58151.1
37     98     -54059.6
37     99     -50556.6
38     77     -57832.2
38     78     -63650.1
38     79     -65760.7
38     80     -70190.2
38     81     -71470.3
38     82     -75997.6
38     83     -76766.1
38     84     -80640.6
38     85     -81096.1
38     86     -84517.4
38     87     -84874.2
38     88     -87915.8
38     89     -86208.7
38     90     -85940.2
38     91     -83664.5
38     92     -82943.9
38     93     -80105.6
38     94     -78837.9
38     95     -75043.7
38     96     -72906.7
38     97     -68763.9
38     98     -66539.1
38     99     -62271.3
38     100     -60253
39     79     -58313.1
39     80     -61490.2
39     81     -65955.3
39     82     -68177.6
39     83     -72355.1
39     84     -74170.6
39     85     -77836.1
39     86     -79277.4
39     87     -83013.1
