# AUDI_WAPSTRA_2003.DATA
#
# 
# Each line is:
#  Z   A    MassExcess (keV)
#
20 48 -44214.1
20 49 -41289.3
20 50 -39570.8
20 51 -35863.3
20 52 -32509.1
20 53 -27898
20 54 -23893
20 55 -18118
20 56 -13441
20 57 -7120
21 36 13898
21 37 2841
21 38 -4937
21 39 -14168
21 40 -20523.2
21 41 -28642.4
21 42 -32121.2
21 43 -36187.9
21 44 -37816.1
21 45 -41067.8
21 46 -41757.1
21 47 -44332.1
21 48 -44496.1
21 49 -46552.4
21 50 -44536.9
21 51 -43218.2
21 52 -40356.5
21 53 -37623
21 54 -34218.8
21 55 -29580.6
21 56 -25271
21 57 -20688
21 58 -15174
21 59 -10042
21 60 -3996
22 38 9101
22 39 1500
22 40 -8850.27
22 41 -15700
22 42 -25121.6
22 43 -29321.1
22 44 -37548.5
22 45 -39005.7
22 46 -44123.4
22 47 -44932.4
22 48 -48487.7
22 49 -48558.8
22 50 -51426.7
22 51 -49727.8
22 52 -49464.8
22 53 -46828.8
22 54 -45594.4
22 55 -41670.3
22 56 -38936.8
22 57 -33543.9
22 58 -30767
22 59 -25216
22 60 -21648
22 61 -15649
22 62 -11653
22 63 -5198
23 40 10330
23 41 -205
23 42 -8169
23 43 -18024
23 44 -24116.4
23 45 -31879.6
23 46 -37073
23 47 -42002.1
23 48 -44475.4
23 49 -47956.9
23 50 -49221.6
23 51 -52201.4
23 52 -51441.3
23 53 -51848.8
23 54 -49891
23 55 -49151.5
23 56 -46080.1
23 57 -44188.7
23 58 -40208.7
23 59 -37066.6
23 60 -32577.3
23 61 -29361
23 62 -24424
23 63 -20912
23 64 -15398
23 65 -11252
24 42 5990
24 43 -2133
24 44 -13461
24 45 -18965.2
24 46 -29473.7
24 47 -34558.4
24 48 -42819.2
24 49 -45330.5
24 50 -50259.5
24 51 -51448.8
24 52 -55416.9
24 53 -55284.7
24 54 -56932.5
24 55 -55107.5
24 56 -55281.2
24 57 -52524.1
24 58 -51834.7
24 59 -47891.5
24 60 -46503.9
24 61 -42180.7
24 62 -40414.6
24 63 -35527
24 64 -33152
24 65 -27796
24 66 -24796
24 67 -19049
25 44 6399
25 45 -5114
25 46 -12370
25 47 -22263
25 48 -29323.4
25 49 -37615.6
25 50 -42626.8
