3 |2 |0.0 | |1/2+ |STABLE
4 |2 |0.0 | |0+ |STABLE
4 |2 |20210 | |0+ |0.50 MEV
4 |2 |21010 | |0- |0.84 MEV
4 |2 |21840 | |2- |2.01 MEV
4 |2 |23330 | |2- |5.01 MEV
4 |2 |23640 | |1- |6.20 MEV
4 |2 |24250 | |1- |6.10 MEV
4 |2 |25280 | |0- |7.97 MEV
4 |2 |25950 | |1- |12.66 MEV
4 |2 |27420 | |2+ |8.69 MEV
4 |2 |28310 | |1+ |9.89 MEV
4 |2 |28370 | |1- |3.92 MEV
4 |2 |28390 | |2- |8.75 MEV
4 |2 |28640 | |0- |4.89 MEV
4 |2 |28670 | |2+ |3.78 MEV
4 |2 |29890 | |2+ |9.72 MEV
5 |2 |0.0 | |3/2- |0.648 MEV
6 |2 |0.0 | |0+ |806.7 MS 15
6 |2 |1797 |25 |2+ |113 KEV 20
6 |2 |5.6E3 |3 |(2+, 1-, 0+) |12.1 MEV 11
6 |2 |13.9E3 |2 |(1-,2-) |7.4 MEV 10
6 |2 |15.5E3 |5 | |4 MEV 2
6 |2 |24.2E3 |7 | |10.9 MEV 15
6 |2 |32.E3 | | |2 MEV LE
6 |2 |36.E3 | | |2 MEV LE
7 |2 |0.0 | |(3/2)- |150 KEV 20
7 |2 |2.92E3 |9 |(5/2-) |1.99 MEV 17
7 |2 |5.8E3 |3 | |4 MEV 1
8 |2 |0.0 | |0+ |119.1 MS 12
8 |2 |3.1E+3 |5 |2+ |0.6 MEV 2
8 |2 |4.36E+3 |20 |(1-) |1.3 MEV 5
8 |2 |6.03E+3 |10 | |0.15 MEV 15
8 |2 |7.16E+3 |4 |(3-) |0.1 MEV 1
9 |2 |0.0 | |1/2+ |
9 |2 |1.1E3 |AP |1/2- |0.10 MEV 6
9 |2 |2.26E3 |AP | |0.7 MEV 2
9 |2 |4.20E3 |15 | |
9 |2 |5.0E3 |AP | |
9 |2 |8.0E3 | | |
10 |2 |0.0 | |(0+) |300 KEV 200
10 |2 |32.4E2 |20 |(2+) |1000 KEV 300
10 |2 |6800 |70 |(3-) |600 KEV 300
