78 |40 |0 | |0+ |170 NS GT
79 |40 |0 | | |56 MS 30
80 |40 |0.0 | |0+ |4.6 S 6
80 |40 |288.9 |2 |(2+) |
80 |40 |825.8 |4 |(4+) |
80 |40 |1605.0 |7 |(6+) |
80 |40 |2610.0 |12 |(8+) |
80 |40 |3789.0 |16 |(10+) |
81 |40 |0.0 | |(3/2-) |5.5 S 4
81 |40 |0.0+X | |(5/2+) |
81 |40 |133.2 |3 |(1/2+) |28 NS LT
81 |40 |142.978+X |16 |(7/2+) |
81 |40 |167.21 |17 |(5/2-) |
81 |40 |191.85 |19 |(3/2+) |28 NS LT
81 |40 |303.0+X |16 |(9/2+) |
81 |40 |369.94 |23 |(5/2+) |
81 |40 |405.39 |17 |(7/2-) |
81 |40 |501.22 |25 |(7/2+) |
81 |40 |697.62 |19 |(9/2-) |
81 |40 |737.08+X |19 |(11/2+) |
81 |40 |832.2 |3 |(9/2+) |
81 |40 |979.48+X |21 |(13/2+) |
81 |40 |1026.9 |4 |(11/2+) |
81 |40 |1065.06 |21 |(11/2-) |
81 |40 |1466.63 |23 |(13/2-) |
81 |40 |1528.2 |4 |(13/2+) |
81 |40 |1576.24+X |23 |(15/2+) |
81 |40 |1769.4 |4 |(15/2+) |
81 |40 |1865.58+X |25 |(17/2+) |
81 |40 |1960.2 |3 |(15/2-) |
81 |40 |2438.2 |4 |(17/2+) |
81 |40 |2455.6 |16 |(17/2-) |
81 |40 |2615.2+X |3 |(19/2+) |
81 |40 |2728.2 |5 |(19/2+) |
81 |40 |2930.4+X |4 |(21/2+) |
81 |40 |3069.4 |4 |(19/2-) |
81 |40 |3553.2 |11 |(21/2+) |
81 |40 |3635.4 |4 |(21/2-) |
81 |40 |3797.2+X |11 |(23/2+) |
81 |40 |3899.9 |6 |(23/2+) |
81 |40 |4055.1+X |4 |(25/2+) |
81 |40 |4334.2 |5 |(23/2-) |
81 |40 |4889.3 |6 |(25/2-) |
81 |40 |5128.6+X |5 |(29/2+) |
81 |40 |5271.9 |12 |(27/2+) |
81 |40 |5672.2 |11 |(27/2-) |
81 |40 |6244.3 |12 |(29/2-) |
81 |40 |6317.6+X |11 |(33/2+) |
81 |40 |6835.9 |16 |(31/2+) |
81 |40 |7708.6+X |15 |(37/2+) |
82 |40 |0.0 | |0+ |32 S 5
82 |40 |407.00 |10 |2+ |22 PS 9
82 |40 |1040.84 |14 |4+ |3.3 PS 7
82 |40 |1060.87 |22 | |
82 |40 |1449.14 |21 |(3)+ |
82 |40 |1887.87 |24 |6+ |0.5 PS 2
82 |40 |2057.3 |6 | |
82 |40 |2175.40 |24 |(5)+ |
82 |40 |2691.6 |8 |(4-) |
82 |40 |2791.6 |3 |5(-) |
82 |40 |2856.99 |23 |5- |
82 |40 |2908.6 |4 |8+ |0.22 PS 6
82 |40 |3068.4 |4 |(7)+ |
82 |40 |3128.2 |3 |6- |
82 |40 |3287.3 |7 |(6-) |
82 |40 |3480.8 |4 |7(-) |
82 |40 |3506.8 |4 |7- |
82 |40 |3946.7 |4 |8- |
82 |40 |4022.6 |8 |(8-) |
82 |40 |4036.9 |5 |10+ |0.16 PS 4
82 |40 |4086.4 |6 |(9)+ |
82 |40 |4347.7 |5 |9(-) |
82 |40 |4444.1 |8 |(9-) |
82 |40 |4908.4 |6 |10- |
82 |40 |4973.2 |9 |(10-) |
82 |40 |5195.4 |12 |(11)+ |
82 |40 |5213.4 |7 |12+ |0.13 PS 4
82 |40 |5361.4 |8 |11(-) |
82 |40 |5550.1 |22 |(11-) |
82 |40 |5989.2 |8 |12- |
82 |40 |6100.2 |14 |(12-) |
82 |40 |6406.4 |16 |(13+) |
82 |40 |6490.7 |7 |14+ |0.27 PS LT
82 |40 |6535.9 |11 |13(-) |
82 |40 |7041.7 |9 |14- |
82 |40 |7345.2 |17 |(14-) |
82 |40 |7680.4 |19 |(15)+ |
82 |40 |7687.9 |15 |(15-) |
82 |40 |7750.4 |19 |(15+) |
82 |40 |7859.7 |8 |16+ |
82 |40 |7907.9 |23 |(15-) |
82 |40 |7992.5 |12 |(16+) |
82 |40 |8113.7 |14 |16- |
82 |40 |9046.9 |18 |(17-) |
82 |40 |9070 |3 |(17)+ |
82 |40 |9111.7 |13 |18+ |
82 |40 |9183 |3 |(17)+ |
82 |40 |9234.9 |25 |(17-) |
82 |40 |9338.7 |17 |(18-) |
82 |40 |9452.8 |12 |(18+) |
82 |40 |10490.7 |17 |(20+) |
82 |40 |10752.7 |20 |(20-) |
82 |40 |12126.7 |19 |(22+) |
82 |40 |12365 |3 |(22-) |
82 |40 |14013 |3 |(24+) |
82 |40 |16120 |4 |(26+) |
83 |40 |0.0 | |(1/2-) |42 S 2
83 |40 |52.72 |5 |(5/2-) |0.53 US 12
83 |40 |77.04 |7 |(7/2+) |1.8 US 1
83 |40 |129.1 |1 |(3/2-) |
83 |40 |138.8 |1 |(9/2+) |
83 |40 |328.5 |2 | |
83 |40 |338.5 |1 |(7/2-) |50 PS 4
83 |40 |372.6 |1 |(5/2-) |
83 |40 |580.0 |3 | |
83 |40 |582.7 |1 |(7/2-) |21.5 PS 55
83 |40 |623.9 |3 | |
83 |40 |680.3 |2 |(9/2-) |4.2 PS 8
83 |40 |769.0 |3 |(11/2+) |2.3 PS LT
83 |40 |880.3 |3 |(13/2+) |2.3 PS 3
83 |40 |983.2 |2 |(9/2-) |
83 |40 |1013.4 |2 |(11/2-) |1.9 PS 3
83 |40 |1262.2 |3 |(11/2-) |2.1 PS LT
83 |40 |1345.8 |4 | |
83 |40 |1384.2 |6 | |
83 |40 |1475.8 |3 |(13/2-) |0.76 PS 21
83 |40 |1591.3 |4 | |
83 |40 |1662.9 |4 |(15/2+) |
83 |40 |1733.7 |6 | |
83 |40 |1771.4 |4 |(13/2-) |
83 |40 |1817.4 |4 |(17/2+) |0.42 PS 14
83 |40 |1830.0 |4 |(15/2-) |0.62 PS 21
83 |40 |2021.3 |8 | |
83 |40 |2126.2 |6 |(15/2-) |
83 |40 |2159.7 |7 | |
83 |40 |2258.3 |8 | |
83 |40 |2359.6 |8 | |
83 |40 |2398.3 |5 |(17/2-) |1.04 PS LT
83 |40 |2494.6 |7 | |
83 |40 |2674.9 |7 |(17/2-) |
83 |40 |2708.4 |5 |(19/2+) |
83 |40 |2743.1 |6 |(19/2-) |1.04 PS LT
83 |40 |2913.0 |6 |(21/2+) |0.37 PS 6
83 |40 |2926 |1 | |
