108 |53 |0.0 | |(1) |36 MS 6
109 |53 |0.0 | |1/2+ |103 US 5
109 |53 |X | | |
109 |53 |729+X | | |
109 |53 |1372.4+X | |(11/2-) |
109 |53 |1965.8+X | |(15/2-) |
109 |53 |2503.1+X | | |
109 |53 |2682.8+X | |(19/2-) |
109 |53 |3240.1+X | | |
109 |53 |3563.8+X | |(23/2-) |
109 |53 |3788.1+X | | |
109 |53 |3906.2+X | | |
109 |53 |4620.8+X | |(27/2-) |
110 |53 |0.0 | |(1+) |0.664 S 24
110 |53 |0.0+X | | |
110 |53 |45.0+X |20 | |
110 |53 |191.0+X |10 | |
110 |53 |269.0+X |17 | |
110 |53 |472.0+X |15 | |
110 |53 |502.0+X |20 | |
110 |53 |517.0+X |14 | |
110 |53 |784.0+X |18 | |
110 |53 |830.0+X |14 | |
110 |53 |1071.0+X |22 | |
110 |53 |1084.0+X |14 | |
110 |53 |1128.0+X |20 | |
110 |53 |1220.0+X |16 | |
110 |53 |1387.0+X |23 | |
110 |53 |1706.0+X |16 | |
110 |53 |1710.0+X |24 | |
110 |53 |1729.0+X |25 | |
110 |53 |1834.0+X |24 | |
110 |53 |2065.0+X |17 |(11+) |
110 |53 |2426+X |3 | |
110 |53 |2592.0+X |20 |(13+) |
110 |53 |2676+X |3 | |
110 |53 |3256.0+X |22 |(15+) |
110 |53 |3309+X |3 | |
110 |53 |3576+X |3 | |
110 |53 |3998.0+X |24 |(17+) |
110 |53 |4267+X |3 | |
110 |53 |4966+X |3 |(19+) |
110 |53 |5412+X |4 | |
110 |53 |5973+X |3 |(21+) |
110 |53 |7075+X |3 |(23+) |
111 |53 |0.0 | |(5/2+) |2.5 S 2
111 |53 |37.2 |3 |7/2(+) |
111 |53 |618.90 |20 |9/2(+) |
111 |53 |679.8 |3 |11/2(+) |
111 |53 |1094.8 |3 |11/2- |
111 |53 |1496 | |(13/2-) |
111 |53 |1649.9 |4 |15/2- |
111 |53 |2340.5 |4 |19/2- |
111 |53 |2519 | |(15/2-) |
111 |53 |2988 | |(19/2-) |
111 |53 |3031.1 |5 |23/2- |
111 |53 |3048.9 |5 | |
111 |53 |3444 | |(23/2-) |
111 |53 |3596.9 |11 | |
111 |53 |3778.3 |5 |27/2- |
111 |53 |4000.6 |5 |25/2(+) |
111 |53 |4149 | |(27/2-) |
111 |53 |4159.1 |11 | |
111 |53 |4222.1 |11 | |
