# DataSet FAZIAPRE-MAY2018
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIAPRE-MAY2018/
run=71 | starting date=Thu May 24 18:23:57 2018 | nfiles=10 | size(GB)=0.93
run=72 | starting date=Thu May 24 18:24:58 2018 | nfiles=10 | size(GB)=0.93
run=73 | starting date=Thu May 24 18:26:03 2018 | nfiles=10 | size(GB)=0.93
run=74 | starting date=Thu May 24 18:27:10 2018 | nfiles=10 | size(GB)=0.93
run=75 | starting date=Thu May 24 18:28:14 2018 | nfiles=10 | size(GB)=0.93
run=76 | starting date=Thu May 24 18:29:16 2018 | nfiles=10 | size(GB)=0.93
run=77 | starting date=Thu May 24 18:30:16 2018 | nfiles=10 | size(GB)=0.93
run=78 | starting date=Thu May 24 18:31:18 2018 | nfiles=10 | size(GB)=0.93
run=79 | starting date=Thu May 24 18:32:20 2018 | nfiles=10 | size(GB)=0.93
run=80 | starting date=Thu May 24 18:33:22 2018 | nfiles=10 | size(GB)=0.93
run=81 | starting date=Thu May 24 18:34:23 2018 | nfiles=10 | size(GB)=0.93
run=82 | starting date=Thu May 24 18:35:26 2018 | nfiles=10 | size(GB)=0.93
run=83 | starting date=Thu May 24 18:36:31 2018 | nfiles=10 | size(GB)=0.93
run=84 | starting date=Thu May 24 18:37:35 2018 | nfiles=10 | size(GB)=0.93
run=85 | starting date=Thu May 24 18:38:39 2018 | nfiles=10 | size(GB)=0.93
run=86 | starting date=Thu May 24 18:39:42 2018 | nfiles=10 | size(GB)=0.93
run=87 | starting date=Thu May 24 18:40:49 2018 | nfiles=10 | size(GB)=0.93
run=88 | starting date=Thu May 24 18:41:53 2018 | nfiles=10 | size(GB)=0.93
run=89 | starting date=Thu May 24 18:42:57 2018 | nfiles=10 | size(GB)=0.93
run=90 | starting date=Thu May 24 18:44:02 2018 | nfiles=10 | size(GB)=0.93
run=91 | starting date=Thu May 24 18:45:06 2018 | nfiles=10 | size(GB)=0.93
run=92 | starting date=Thu May 24 18:46:10 2018 | nfiles=10 | size(GB)=0.93
run=93 | starting date=Thu May 24 18:47:15 2018 | nfiles=10 | size(GB)=0.93
run=94 | starting date=Thu May 24 18:48:19 2018 | nfiles=10 | size(GB)=0.93
run=95 | starting date=Thu May 24 18:49:22 2018 | nfiles=10 | size(GB)=0.93
run=96 | starting date=Thu May 24 18:50:22 2018 | nfiles=10 | size(GB)=0.93
run=97 | starting date=Thu May 24 18:51:25 2018 | nfiles=10 | size(GB)=0.93
run=98 | starting date=Thu May 24 18:52:26 2018 | nfiles=10 | size(GB)=0.93
run=99 | starting date=Thu May 24 18:53:33 2018 | nfiles=10 | size(GB)=0.93
run=100 | starting date=Thu May 24 18:54:35 2018 | nfiles=10 | size(GB)=0.93
run=101 | starting date=Thu May 24 18:55:38 2018 | nfiles=10 | size(GB)=0.93
run=102 | starting date=Thu May 24 18:56:41 2018 | nfiles=10 | size(GB)=0.93
run=103 | starting date=Thu May 24 18:57:46 2018 | nfiles=10 | size(GB)=0.93
run=104 | starting date=Thu May 24 18:58:50 2018 | nfiles=10 | size(GB)=0.93
run=105 | starting date=Thu May 24 18:59:54 2018 | nfiles=10 | size(GB)=0.93
run=106 | starting date=Thu May 24 19:00:58 2018 | nfiles=10 | size(GB)=0.93
run=107 | starting date=Thu May 24 19:02:01 2018 | nfiles=10 | size(GB)=0.93
run=108 | starting date=Thu May 24 19:03:04 2018 | nfiles=10 | size(GB)=0.93
run=109 | starting date=Thu May 24 19:04:05 2018 | nfiles=10 | size(GB)=0.93
run=110 | starting date=Thu May 24 19:05:07 2018 | nfiles=10 | size(GB)=0.93
run=111 | starting date=Thu May 24 19:06:10 2018 | nfiles=10 | size(GB)=0.93
run=112 | starting date=Thu May 24 19:07:12 2018 | nfiles=10 | size(GB)=0.93
run=113 | starting date=Thu May 24 19:08:13 2018 | nfiles=10 | size(GB)=0.93
run=114 | starting date=Thu May 24 19:09:14 2018 | nfiles=10 | size(GB)=0.93
run=115 | starting date=Thu May 24 19:10:19 2018 | nfiles=10 | size(GB)=0.93
run=116 | starting date=Thu May 24 19:11:23 2018 | nfiles=10 | size(GB)=0.93
run=117 | starting date=Thu May 24 19:12:26 2018 | nfiles=10 | size(GB)=0.93
run=118 | starting date=Thu May 24 19:13:30 2018 | nfiles=10 | size(GB)=0.93
run=119 | starting date=Thu May 24 19:14:33 2018 | nfiles=10 | size(GB)=0.93
run=120 | starting date=Thu May 24 19:15:38 2018 | nfiles=10 | size(GB)=0.93
run=121 | starting date=Thu May 24 19:16:40 2018 | nfiles=10 | size(GB)=0.93
run=122 | starting date=Thu May 24 19:17:43 2018 | nfiles=10 | size(GB)=0.93
run=123 | starting date=Thu May 24 19:18:46 2018 | nfiles=10 | size(GB)=0.93
run=124 | starting date=Thu May 24 19:19:48 2018 | nfiles=10 | size(GB)=0.93
run=125 | starting date=Thu May 24 19:20:47 2018 | nfiles=10 | size(GB)=0.93
run=126 | starting date=Thu May 24 19:21:47 2018 | nfiles=10 | size(GB)=0.93
run=127 | starting date=Thu May 24 19:22:48 2018 | nfiles=10 | size(GB)=0.93
run=128 | starting date=Thu May 24 19:23:52 2018 | nfiles=10 | size(GB)=0.93
run=129 | starting date=Thu May 24 19:24:53 2018 | nfiles=10 | size(GB)=0.93
run=130 | starting date=Thu May 24 19:25:53 2018 | nfiles=10 | size(GB)=0.93
run=131 | starting date=Thu May 24 19:26:56 2018 | nfiles=10 | size(GB)=0.93
run=132 | starting date=Thu May 24 19:28:01 2018 | nfiles=10 | size(GB)=0.93
run=133 | starting date=Thu May 24 19:29:10 2018 | nfiles=10 | size(GB)=0.93
run=134 | starting date=Thu May 24 19:30:19 2018 | nfiles=10 | size(GB)=0.93
run=135 | starting date=Thu May 24 19:31:25 2018 | nfiles=10 | size(GB)=0.93
run=136 | starting date=Thu May 24 19:32:27 2018 | nfiles=10 | size(GB)=0.93
run=137 | starting date=Thu May 24 19:33:28 2018 | nfiles=10 | size(GB)=0.93
run=138 | starting date=Thu May 24 19:34:29 2018 | nfiles=10 | size(GB)=0.93
run=139 | starting date=Thu May 24 19:35:30 2018 | nfiles=10 | size(GB)=0.93
run=140 | starting date=Thu May 24 19:36:30 2018 | nfiles=10 | size(GB)=0.93
run=141 | starting date=Thu May 24 19:37:30 2018 | nfiles=10 | size(GB)=0.93
run=142 | starting date=Thu May 24 19:38:31 2018 | nfiles=10 | size(GB)=0.93
run=143 | starting date=Thu May 24 19:39:31 2018 | nfiles=10 | size(GB)=0.93
run=144 | starting date=Thu May 24 19:40:33 2018 | nfiles=10 | size(GB)=0.93
run=145 | starting date=Thu May 24 19:41:34 2018 | nfiles=10 | size(GB)=0.93
run=146 | starting date=Thu May 24 19:42:34 2018 | nfiles=10 | size(GB)=0.93
run=147 | starting date=Thu May 24 19:43:37 2018 | nfiles=10 | size(GB)=0.93
run=148 | starting date=Thu May 24 19:44:41 2018 | nfiles=10 | size(GB)=0.93
run=149 | starting date=Thu May 24 19:45:43 2018 | nfiles=10 | size(GB)=0.93
run=150 | starting date=Thu May 24 19:46:47 2018 | nfiles=10 | size(GB)=0.93
run=151 | starting date=Thu May 24 19:47:53 2018 | nfiles=10 | size(GB)=0.93
run=152 | starting date=Thu May 24 19:48:59 2018 | nfiles=10 | size(GB)=0.93
run=153 | starting date=Thu May 24 19:50:01 2018 | nfiles=10 | size(GB)=0.93
run=154 | starting date=Thu May 24 19:51:06 2018 | nfiles=10 | size(GB)=0.93
run=155 | starting date=Thu May 24 19:52:16 2018 | nfiles=10 | size(GB)=0.93
run=156 | starting date=Thu May 24 19:53:26 2018 | nfiles=10 | size(GB)=0.93
run=157 | starting date=Thu May 24 19:54:36 2018 | nfiles=10 | size(GB)=0.93
run=158 | starting date=Thu May 24 19:55:47 2018 | nfiles=10 | size(GB)=0.93
run=159 | starting date=Thu May 24 19:56:57 2018 | nfiles=10 | size(GB)=0.93
run=160 | starting date=Thu May 24 19:58:08 2018 | nfiles=10 | size(GB)=0.93
run=161 | starting date=Thu May 24 19:59:17 2018 | nfiles=10 | size(GB)=0.93
run=162 | starting date=Thu May 24 20:00:26 2018 | nfiles=10 | size(GB)=0.93
run=163 | starting date=Thu May 24 20:01:34 2018 | nfiles=10 | size(GB)=0.93
run=164 | starting date=Thu May 24 20:02:41 2018 | nfiles=10 | size(GB)=0.93
run=165 | starting date=Thu May 24 20:03:50 2018 | nfiles=10 | size(GB)=0.93
run=166 | starting date=Thu May 24 20:04:59 2018 | nfiles=10 | size(GB)=0.93
run=167 | starting date=Thu May 24 20:06:09 2018 | nfiles=10 | size(GB)=0.93
run=168 | starting date=Thu May 24 20:07:19 2018 | nfiles=10 | size(GB)=0.93
run=169 | starting date=Thu May 24 20:08:29 2018 | nfiles=10 | size(GB)=0.93
run=170 | starting date=Thu May 24 20:09:42 2018 | nfiles=10 | size(GB)=0.93
run=171 | starting date=Thu May 24 20:10:52 2018 | nfiles=10 | size(GB)=0.93
run=172 | starting date=Thu May 24 20:12:02 2018 | nfiles=10 | size(GB)=0.93
run=173 | starting date=Thu May 24 20:13:10 2018 | nfiles=10 | size(GB)=0.93
run=174 | starting date=Thu May 24 20:14:21 2018 | nfiles=10 | size(GB)=0.93
run=175 | starting date=Thu May 24 20:15:31 2018 | nfiles=10 | size(GB)=0.93
run=176 | starting date=Thu May 24 20:16:43 2018 | nfiles=10 | size(GB)=0.93
run=177 | starting date=Thu May 24 20:17:52 2018 | nfiles=10 | size(GB)=0.93
run=178 | starting date=Thu May 24 20:19:01 2018 | nfiles=10 | size(GB)=0.93
run=179 | starting date=Thu May 24 20:20:10 2018 | nfiles=10 | size(GB)=0.93
run=180 | starting date=Thu May 24 20:21:22 2018 | nfiles=10 | size(GB)=0.93
run=181 | starting date=Thu May 24 20:22:38 2018 | nfiles=10 | size(GB)=0.93
run=182 | starting date=Thu May 24 20:23:52 2018 | nfiles=10 | size(GB)=0.93
run=183 | starting date=Thu May 24 20:25:05 2018 | nfiles=10 | size(GB)=0.93
run=184 | starting date=Thu May 24 20:26:24 2018 | nfiles=10 | size(GB)=0.93
run=185 | starting date=Thu May 24 20:27:42 2018 | nfiles=10 | size(GB)=0.93
run=186 | starting date=Thu May 24 20:28:56 2018 | nfiles=10 | size(GB)=0.93
run=187 | starting date=Thu May 24 20:30:09 2018 | nfiles=10 | size(GB)=0.93
run=188 | starting date=Thu May 24 20:31:24 2018 | nfiles=10 | size(GB)=0.93
run=189 | starting date=Thu May 24 20:32:36 2018 | nfiles=10 | size(GB)=0.93
run=190 | starting date=Thu May 24 20:33:49 2018 | nfiles=10 | size(GB)=0.93
run=191 | starting date=Thu May 24 20:35:03 2018 | nfiles=10 | size(GB)=0.93
run=192 | starting date=Thu May 24 20:36:23 2018 | nfiles=10 | size(GB)=0.93
run=193 | starting date=Thu May 24 20:37:42 2018 | nfiles=10 | size(GB)=0.93
run=194 | starting date=Thu May 24 20:38:58 2018 | nfiles=10 | size(GB)=0.93
run=195 | starting date=Thu May 24 20:40:16 2018 | nfiles=10 | size(GB)=0.93
run=196 | starting date=Thu May 24 20:41:30 2018 | nfiles=10 | size(GB)=0.93
run=197 | starting date=Thu May 24 20:42:46 2018 | nfiles=10 | size(GB)=0.93
