RunRange: 113-531
SILI_10_GG: 414.113
SILI_10_PG: 413.255
SILI_11_GG: 411.256
SILI_11_PG: 413.766
SILI_12_GG: 133.14
SILI_12_PG: 395.133
SILI_13_GG: 393.447
SILI_13_PG: 412.962
SILI_14_GG: 395.106
SILI_14_PG: 411.616
SILI_15_GG: 403.199
SILI_15_PG: 412.786
SILI_16_GG: 406.28
SILI_16_PG: 415.096
SILI_17_GG: 416.663
SILI_17_PG: 410.407
