RunRange: 2-532
CSI_0101_L: 27.4264
CSI_0101_R: 10
CSI_0102_L: 34.3103
CSI_0102_R: 20
CSI_0103_L: 35.1131
CSI_0103_R: 17.129
CSI_0104_L: 33.116
CSI_0104_R: 20
CSI_0105_L: 32.6184
CSI_0105_R: 17.9774
CSI_0106_L: 31.5373
CSI_0106_R: 19
CSI_0107_L: 30.2872
CSI_0107_R: 14
CSI_0108_L: 28.9887
CSI_0108_R: 13
CSI_0109_L: 28.7687
CSI_0109_R: 14
CSI_0110_L: 26.8146
CSI_0110_R: 13
CSI_0111_L: 29.6983
CSI_0111_R: 11
CSI_0112_L: 21.1744
CSI_0112_R: 8
CSI_0201_L: 40.3493
CSI_0201_R: 18.2965
CSI_0203_L: 43.2724
CSI_0203_R: 21.9855
CSI_0205_L: 41.3161
CSI_0205_R: 21
CSI_0207_L: 45.2951
CSI_0207_R: 23
CSI_0209_L: 38.6177
CSI_0209_R: 20
CSI_0211_L: 43.7101
CSI_0211_R: 21
CSI_0213_L: 38.1772
CSI_0213_R: 15.9914
CSI_0215_L: 35.7733
CSI_0215_R: 16
CSI_0217_L: 35.8109
CSI_0217_R: 15.0648
CSI_0219_L: 36.498
CSI_0219_R: 14
CSI_0221_L: 29.5414
CSI_0221_R: 9
CSI_0223_L: 13.1606
CSI_0223_R: 8.99919
CSI_0301_L: 34.4444
CSI_0301_R: 15.002
CSI_0302_L: 38.8233
CSI_0302_R: 20
CSI_0303_L: 40.553
CSI_0303_R: 22.983
CSI_0304_L: 42.1944
CSI_0304_R: 23.9981
CSI_0305_L: 143.732
CSI_0305_R: 34
CSI_0306_L: 39.4256
CSI_0306_R: 21.0061
CSI_0307_L: 40.5755
CSI_0307_R: 23.0049
CSI_0308_L: 43.206
CSI_0308_R: 23.8802
CSI_0309_L: 41.2059
CSI_0309_R: 20
CSI_0310_L: 42.3067
CSI_0310_R: 21.2179
CSI_0311_L: 42.5995
CSI_0311_R: 21
CSI_0312_L: 40.2992
CSI_0312_R: 20
CSI_0313_L: 35.8954
CSI_0313_R: 15.3986
CSI_0314_L: 39.0448
CSI_0314_R: 16.6522
CSI_0315_L: 37.6796
CSI_0315_R: 16
CSI_0316_L: 34.2667
CSI_0316_R: 14.4448
CSI_0317_L: 33.5904
CSI_0317_R: 16.0015
CSI_0318_L: 66.4006
CSI_0318_R: 48.0014
CSI_0319_L: 32.6261
CSI_0319_R: 15.8723
CSI_0320_L: 34.2016
CSI_0320_R: 16.0588
CSI_0321_L: 27.0398
CSI_0321_R: 11
CSI_0322_L: 27.5826
CSI_0322_R: 9
CSI_0323_L: 31.0661
CSI_0323_R: 10.9954
CSI_0324_L: 28.3455
CSI_0324_R: 11
CSI_0401_L: 36.4852
CSI_0401_R: 24
CSI_0402_L: 39.6671
CSI_0402_R: 26.994
CSI_0403_L: -1
CSI_0403_R: 18
CSI_0404_L: 41.2764
CSI_0404_R: 29.9983
CSI_0405_L: 36.8935
CSI_0405_R: 26
CSI_0406_L: 38.561
CSI_0406_R: 29.7585
CSI_0407_L: 41.0948
CSI_0407_R: 30
CSI_0408_L: 40.3891
CSI_0408_R: 28.001
CSI_0409_L: 39.2006
CSI_0409_R: 28.5129
CSI_0410_L: 38.4103
CSI_0410_R: 29
CSI_0411_L: 37.8153
CSI_0411_R: 28.9989
CSI_0412_L: 38.8202
CSI_0412_R: 29.9905
CSI_0413_L: 34.4509
CSI_0413_R: 25.8811
CSI_0414_L: 35.4682
CSI_0414_R: 25
CSI_0415_L: 33.407
CSI_0415_R: 24
CSI_0416_L: 35.3935
CSI_0416_R: 26.0052
CSI_0417_L: 33.0277
CSI_0417_R: 23
CSI_0418_L: 33.8933
CSI_0418_R: 22.5063
CSI_0419_L: 34.7101
CSI_0419_R: 23
CSI_0420_L: 30.0506
CSI_0420_R: 20.1927
CSI_0421_L: 25.132
CSI_0421_R: 16
CSI_0422_L: 28.9963
CSI_0422_R: 18.7582
CSI_0423_L: 26.799
CSI_0423_R: 16
CSI_0424_L: 26.9324
CSI_0424_R: 17.685
CSI_0501_L: 45.7502
CSI_0501_R: 21
CSI_0502_L: 45.5805
CSI_0502_R: 25.0022
CSI_0503_L: 52.8046
CSI_0503_R: 28
CSI_0504_L: 53.1957
CSI_0504_R: 28
CSI_0505_L: 50.9125
CSI_0505_R: 26
CSI_0506_L: 55.2839
CSI_0506_R: 29.8127
CSI_0507_L: 53.4457
CSI_0507_R: 28
CSI_0508_L: 52.7563
CSI_0508_R: 28.9881
CSI_0509_L: 48.298
CSI_0509_R: 25.0027
CSI_0510_L: 48.9912
CSI_0510_R: 26
CSI_0511_L: 50.7103
CSI_0511_R: 27.0127
CSI_0512_L: 45.3817
CSI_0512_R: 22
CSI_0513_L: 45.4494
CSI_0513_R: 21.7658
CSI_0514_L: 45.0114
CSI_0514_R: 21
CSI_0515_L: 45.1115
CSI_0515_R: 23
CSI_0516_L: 45.2262
CSI_0516_R: 21.2085
CSI_0517_L: 44.8844
CSI_0517_R: 21.4801
CSI_0518_L: 42.7413
CSI_0518_R: 19.0373
CSI_0519_L: 42.998
CSI_0519_R: 20
CSI_0520_L: 42.8385
CSI_0520_R: 19
CSI_0521_L: 39.1088
CSI_0521_R: 17
CSI_0522_L: 37.4315
CSI_0522_R: 14.4031
CSI_0523_L: 37.1255
CSI_0523_R: 14
CSI_0524_L: 39.8243
CSI_0524_R: 16
CSI_0601_L: 38.9378
CSI_0601_R: 25
CSI_0602_L: 38.6471
CSI_0602_R: 27.002
CSI_0603_L: 45.5711
CSI_0603_R: 33.0032
CSI_0604_L: 45.7548
CSI_0604_R: 33.0015
CSI_0605_L: 39.9609
CSI_0605_R: 27.6324
CSI_0606_L: 43.5208
CSI_0606_R: 31
CSI_0607_L: 43.0081
CSI_0607_R: 31.0696
CSI_0608_L: 43.3616
CSI_0608_R: 30
CSI_0609_L: 40.5015
CSI_0609_R: 26.9412
CSI_0610_L: 38.6197
CSI_0610_R: 28.9974
CSI_0611_L: 38.824
CSI_0611_R: 29
CSI_0612_L: 41.5452
CSI_0612_R: 29.0197
CSI_0613_L: 35.1633
CSI_0613_R: 25
CSI_0614_L: 38.3786
CSI_0614_R: 26
CSI_0615_L: 35.7384
CSI_0615_R: 24.9182
CSI_0616_L: 34.9979
CSI_0616_R: 22.6927
CSI_0617_L: 38.1759
CSI_0617_R: 24.8755
CSI_0618_L: 36.4124
CSI_0618_R: 24
CSI_0619_L: 36.3485
CSI_0619_R: 23
CSI_0620_L: 36.2124
CSI_0620_R: 23
CSI_0621_L: 29.3504
CSI_0621_R: 19.3467
CSI_0622_L: 29.031
CSI_0622_R: 18
