RunRange: 533-1347
CSI_0617_R: 24
CSI_0618_L: 36.0083
CSI_0618_R: 23.998
CSI_0619_L: 36.1302
CSI_0619_R: 22.2655
CSI_0620_L: 35.6681
CSI_0620_R: 22.0154
CSI_0621_L: 28.8878
CSI_0621_R: 19
CSI_0622_L: 28.5539
CSI_0622_R: 17.7695
CSI_0623_L: 30.3794
CSI_0623_R: 18
CSI_0624_L: 30.6691
CSI_0624_R: 17.7009
CSI_0701_L: 31.6378
CSI_0701_R: 16
CSI_0702_L: 37.0885
CSI_0702_R: 21
CSI_0703_L: 39.0623
CSI_0703_R: 24
CSI_0704_L: 40.9243
CSI_0704_R: 26
CSI_0705_L: 34.7847
CSI_0705_R: 20.95
CSI_0706_L: 41.5916
CSI_0706_R: 25.655
CSI_0707_L: 38.2096
CSI_0707_R: 24.0006
CSI_0708_L: 38.5348
CSI_0708_R: 23.9274
CSI_0709_L: 38.4798
CSI_0709_R: 21.9993
CSI_0710_L: 36.1576
CSI_0710_R: 22.0529
CSI_0711_L: 38.3341
CSI_0711_R: 23
CSI_0712_L: 33.3228
CSI_0712_R: 18.0005
CSI_0713_L: 34.9854
CSI_0713_R: 19
CSI_0714_L: 31.3104
CSI_0714_R: 16.9978
CSI_0715_L: 34.4646
CSI_0715_R: 19.0834
CSI_0716_L: 33.048
CSI_0716_R: 17.5473
CSI_0717_L: 32.3857
CSI_0717_R: 17
CSI_0718_L: 33.8834
CSI_0718_R: 19
CSI_0719_L: 29.4031
CSI_0719_R: 15.9678
CSI_0720_L: 30.9844
CSI_0720_R: 17
CSI_0721_L: 23.5704
CSI_0721_R: 10
CSI_0722_L: 26.5153
CSI_0722_R: 14
CSI_0723_L: 25.9937
CSI_0723_R: 12
CSI_0724_L: 27.225
CSI_0724_R: 14
CSI_0801_L: 33.7215
CSI_0801_R: 24
CSI_0802_L: 36.3782
CSI_0802_R: 26.0114
CSI_0803_L: 41.254
CSI_0803_R: 30
CSI_0804_L: 41.1354
CSI_0804_R: 31.4755
CSI_0805_L: 39.3828
CSI_0805_R: 28.9277
CSI_0806_L: 38.2009
CSI_0806_R: 27.9955
CSI_0807_L: 39.807
CSI_0807_R: 28.089
CSI_0808_L: 40.8385
CSI_0808_R: 31
CSI_0809_L: 37.3766
CSI_0809_R: 27
CSI_0810_L: 37.5104
CSI_0810_R: 28.196
CSI_0811_L: 37.1164
CSI_0811_R: 28
CSI_0812_L: 57.0204
CSI_0812_R: 32.0215
CSI_0813_L: 33.3248
CSI_0813_R: 25
CSI_0814_L: 35.2328
CSI_0814_R: 25.0469
CSI_0815_L: 33.0003
CSI_0815_R: 22.9309
CSI_0816_L: 36.3241
CSI_0816_R: 24.0982
