RunRange: 2-112
SI75_10_GG: 402.084
SI75_10_PG: 412.965
SI75_11_GG: 402.494
SI75_11_PG: 418.854
SI75_12_GG: 396.673
SI75_12_PG: 415.026
SI75_13_GG: 394.353
SI75_13_PG: 416.56
SI75_14_GG: 385.669
SI75_14_PG: 411.697
SI75_15_GG: 391.776
SI75_15_PG: 412.813
SI75_16_GG: 399.715
SI75_16_PG: 414.086
SI75_17_GG: 390.664
SI75_17_PG: 416.231
