###########################################################
#$Id: pied_csi_e416a.dat,v 1.1 2006/03/20 01:13:45 franklan Exp $
#Piédestaux pour CsI, manip E416a
#Extraits du run 1005
#Chaque spectre fitté avec une gaussienne
#Format du fichier:
# nom_du_parametre moyenne erreur_sur_moyenne largeur erreur_sur_moyenne chi_square NDF
###########################################################
CSI_0320_R 17.3483 0.00969004 0.119564 0.00750992 1 -1
CSI_0320_L 35.7189 0.00558207 0.341559 0.00320045 1 1
CSI_0321_R 11.3837 0.00518805 0.0764735 0.00333685 1 -1
CSI_0321_L 28.1982 0.041502 0.523617 0.0546515 1 0
CSI_0322_R 10.3904 0.00459906 0.0698835 0.00286583 1 -1
CSI_0322_L 28.855 0.392282 0.554394 0.72341 1 0
CSI_0323_R 11.3837 0.00518805 0.0764735 0.00333685 1 -1
CSI_0323_L 32.2214 0.0103464 0.303257 0.00699102 1 1
CSI_0324_R 11.3797 0.00560169 0.08081 0.00368931 2 0
CSI_0324_L 29.4327 0.0056677 0.326161 0.00199926 1 1
CSI_0401_R 25.3302 0.017691 0.171633 0.0176773 1 -1
CSI_0401_L 37.8802 0.323466 0.595878 0.775737 1 0
CSI_0402_R 28.3215 0.0215151 0.194335 0.0232037 1 -1
CSI_0402_L 41.2108 0.0034328 0.471422 0.00278709 1 1
CSI_0403_R 20.2861 0.0288574 0.277784 0.0140353 1 0
CSI_0403_L 0.5 386.61 1 1.36241 9.19786e-17 -2
CSI_0404_R 31.3204 0.0258742 0.214203 0.0306034 1 -1
CSI_0404_L 42.9348 0.00443597 0.333642 0.0107149 1 1
CSI_0405_R 27.3228 0.0201971 0.187496 0.0211495 1 -1
CSI_0405_L 38.0893 0.0280092 0.607803 0.093802 1 0
CSI_0406_R 31.3254 0.501404 0.391436 0.298098 1 0
CSI_0406_L 40.0302 0.0119053 0.631952 0.11014 1 0
CSI_0407_R 31.3204 0.0258742 0.214203 0.0306034 1 -1
CSI_0407_L 42.7763 0.00850057 0.313586 0.00584222 1 1
CSI_0408_R 29.2474 0.0372023 0.309459 0.0105396 1 0
CSI_0408_L 41.7208 0.0531437 0.522277 0.0496264 1 0
CSI_0409_R 29.7054 0.034553 0.297637 0.0174689 1 0
CSI_0409_L 40.4237 0.00411619 0.382436 0.0017271 1 1
CSI_0410_R 30.2684 7611.38 0.268501 1.50168 1.03706 0
CSI_0410_L 39.8748 0.3286 0.601384 0.762708 1 0
CSI_0411_R 30.3204 0.0243534 0.207655 0.027916 1 -1
CSI_0411_L 39.2821 0.00355687 0.462934 0.00236768 1 1
CSI_0412_R 31.3108 0.0252561 0.240581 0.00992302 1 0
CSI_0412_L 40.1075 0.00347269 0.3777 0.00521715 1 1
CSI_0413_R 26.6896 0.0477346 0.426324 0.0327582 1 0
CSI_0413_L 35.6843 0.0520574 0.468898 0.0386202 1 0
CSI_0414_R 26.2915 0.0369102 0.314034 0.019887 1 0
CSI_0414_L 36.7621 0.605221 0.529003 0.652782 1 0
CSI_0415_R 25.2822 0.0385214 0.345489 0.0235731 1 0
CSI_0415_L 34.8403 0.0075287 0.321376 0.00742675 1 1
CSI_0416_R 27.3228 0.0201971 0.187496 0.0211495 1 -1
CSI_0416_L 36.8258 0.00752934 0.321751 0.00680761 1 1
CSI_0417_R 24.3342 0.0165045 0.163729 0.0161076 1 -1
CSI_0417_L 34.1448 0.0128905 0.295952 0.0130975 1 1
CSI_0418_R 23.7165 0.00737636 0.256169 0.00332669 1 0
CSI_0418_L 35.1413 0.03733 0.57569 0.0755407 1 0
CSI_0419_R 24.3342 0.0165045 0.163729 0.0161076 1 -1
CSI_0419_L 35.8432 0.384912 0.571577 0.681012 1 0
CSI_0420_R 21.3273 0.0132878 0.149653 0.0113569 1 -1
CSI_0420_L 31.183 0.0411441 0.541123 0.0605862 1 0
CSI_0421_R 16.9957 0.00466987 0.569718 0.0812417 1 0
CSI_0421_L 26.1329 0.0328847 0.551674 0.0677601 1 0
CSI_0422_R 19.3404 0.0114521 0.133414 0.00942887 1 -1
CSI_0422_L 29.8851 0.339713 0.570526 0.807057 1 0
CSI_0501_R 22.3321 0.0146988 0.155521 0.0134492 16 0
CSI_0501_L 47.3292 0.00579615 0.333969 0.00276265 1 1
CSI_0502_R 27.3228 0.0201971 0.187496 0.0211495 1 -1
CSI_0502_L 47.8952 0.00337567 0.38075 0.00515629 1 1
CSI_0503_R 30.3204 0.0243534 0.207655 0.027916 1 -1
CSI_0503_L 55.2102 0.0581306 0.628484 0.0865968 1 0
CSI_0504_R 30.2986 0.034856 0.294504 0.0172057 1 0
CSI_0504_L 55.1229 0.00318909 0.407454 0.00407611 1 1
CSI_0505_R 27.3228 0.0201971 0.187496 0.0211495 1 -1
CSI_0505_L 52.0683 0.00687645 0.312586 0.0154447 1 1
CSI_0506_R 31.3204 0.0258742 0.214203 0.0306034 1 -1
CSI_0506_L 57.0222 0.0121924 0.714698 0.159629 1 0
CSI_0507_R 30.3204 0.0243534 0.207655 0.027916 1 -1
CSI_0507_L 55.574 0.00571852 0.32553 0.00204565 1 1
CSI_0508_R 30.6961 0.0411484 0.322044 0.0218056 1 0
CSI_0508_L 54.9935 0.00748187 0.706638 0.154891 1 0
CSI_0509_R 26.7045 0.0300449 0.274347 0.0139867 1 0
CSI_0509_L 49.7202 0.836105 0.55785 0.800232 1 0
CSI_0510_R 27.7056 0.0476449 0.453917 0.0366923 1 0
CSI_0510_L 50.795 0.432831 0.609789 0.630151 1 0
CSI_0511_R 29.3205 0.0228845 0.201173 0.0254302 1 -1
CSI_0511_L 52.8513 0.363113 0.650445 0.771035 1 0
CSI_0512_R 24.2859 0.00746641 0.235917 0.00317643 1 0
CSI_0512_L 47.6142 0.00645716 0.317656 0.00249391 1 1
CSI_0513_R 23.3112 0.889106 0.392442 0.537405 1 0
CSI_0513_L 47.0028 0.00627446 0.667282 0.130492 1 0
CSI_0514_R 22.3294 0.0143788 0.154776 0.0128691 1 -1
CSI_0514_L 46.8265 0.00427896 0.368702 0.00415531 1 1
CSI_0515_R 25.2658 0.0452109 0.470094 0.0399211 1 0
CSI_0515_L 46.9495 0.345458 0.657281 3.09821 1 0
CSI_0516_R 23.313 0.0143937 0.184003 0.00686416 1 0
CSI_0516_L 47.025 0.0113859 0.663326 0.127576 1 0
CSI_0517_R 23.1421 0.0334716 0.539979 0.0631982 1 0
CSI_0517_L 46.3165 1.40619 0.513674 1.04277 1 0
CSI_0518_R 21.2828 0.0180331 0.226422 0.00739169 1 0
CSI_0518_L 44.6413 0.00393945 0.397759 0.00195345 1 1
CSI_0519_R 21.3273 0.0132878 0.149653 0.0113569 1 -1
CSI_0519_L 44.7133 0.0551104 0.530001 0.0508636 1 0
CSI_0520_R 20.3409 0.0123946 0.138665 0.0106492 1 -1
CSI_0520_L 44.536 0.00373477 0.430545 0.00172996 1 1
CSI_0521_R 17.7258 0.0257532 0.273142 0.0128538 1 0
CSI_0521_L 40.2192 0.0485401 0.552278 0.0609982 1 0
CSI_0522_R 15.3513 0.00807312 0.107935 0.00575231 3 0
CSI_0522_L 38.8829 0.0106938 0.301769 0.0136757 1 1
CSI_0603_R 35.322 0.0328538 0.240813 0.0441204 1 -1
CSI_0603_L 47.9007 0.286044 0.646686 0.892951 1 0
CSI_0604_R 35.318 0.486863 0.32719 0.247749 1 0
CSI_0604_L 47.7729 0.497751 0.582039 0.623482 1 0
CSI_0605_R 29.213 0.0431115 0.517819 0.0522757 1 0
CSI_0605_L 41.7002 0.0102582 0.296593 0.00496295 1 1
CSI_0606_R 32.6916 0.0319764 0.27022 0.014058 1 0
CSI_0606_L 45.3337 0.00384527 0.406082 0.00206283 1 1
CSI_0607_R 33.3207 0.0291665 0.227507 0.0367292 1 -1
CSI_0607_L 45.0809 0.0283408 0.639617 0.109844 1 0
CSI_0608_R 31.3204 0.0258742 0.214203 0.0306034 1 -1
CSI_0608_L 45.0956 0.00363484 0.365559 0.0061316 1 1
CSI_0609_R 28.2974 0.0386323 0.31604 0.0205316 1 0
CSI_0609_L 38.9102 0.00662588 0.319833 0.011548 1 1
CSI_0610_R 30.3204 0.0243534 0.207655 0.027916 1 -1
CSI_0610_L 40.7442 0.00499624 0.354493 0.00323167 1 1
CSI_0611_R 30.6844 0.0462086 0.384165 0.0281081 1 0
CSI_0611_L 40.9386 0.0214132 0.62817 0.106087 1 0
CSI_0612_R 31.3097 0.00179669 0.243468 0.00192752 1 0
CSI_0612_L 43.7069 0.00520323 0.348355 0.00288774 1 1
CSI_0613_R 26.2956 0.00868686 0.250687 0.00379078 1 0
CSI_0613_L 36.8951 0.0065056 0.324004 0.00980908 1 1
CSI_0614_R 27.3228 0.0201971 0.187496 0.0211495 1 -1
CSI_0614_L 40.1217 0.0359673 0.603158 0.0883315 1 0
CSI_0615_R 26.3282 0.0189 0.178503 0.0194293 1 -1
CSI_0615_L 37.7942 0.0109175 0.301416 0.00790795 1 1
CSI_0616_R 23.3317 0.0154534 0.159491 0.0144603 1 -1
CSI_0616_L 34.8339 0.405241 0.563343 0.667539 1 0
CSI_0619_R 24.3342 0.0165045 0.163729 0.0161076 1 -1
CSI_0619_L 38.2821 0.0512832 0.503993 0.0457476 1 0
CSI_0620_R 24.2936 0.00170957 0.281865 0.00169747 1 0
CSI_0620_L 37.969 0.219041 0.623864 2.90621 1 0
CSI_0621_R 20.3409 0.0123946 0.138665 0.0106492 1 -1
CSI_0621_L 30.4575 0.00389111 0.402491 0.00166384 1 1
CSI_0622_R 19.3404 0.0114521 0.133414 0.00942887 1 -1
CSI_0622_L 30.7834 0.00691212 0.326921 0.00506266 1 1
CSI_0623_R 19.7341 0.090405 0.197719 0.0336835 1 0
CSI_0623_L 32.1844 0.0416845 0.543541 0.0611967 1 0
CSI_0624_R 19.0912 0.0237623 0.552076 0.0708334 1 0
CSI_0624_L 32.156 0.0383033 0.558518 0.0682054 1 0
CSI_0703_R 25.3302 0.017691 0.171633 0.0176773 1 -1
CSI_0703_L 40.8851 0.310967 0.609781 0.795332 1 0
CSI_0704_R 26.3282 0.0189 0.178503 0.0194293 1 -1
CSI_0704_L 40.3572 0.0036448 0.452981 0.00203646 1 1
CSI_0705_R 22.2845 0.010295 0.240764 0.00432977 1 0
CSI_0705_L 36.854 0.00845294 0.314499 0.00897604 1 1
CSI_0706_R 27.1267 0.0321618 0.557068 0.0701154 1 0
CSI_0706_L 43.3633 0.00364814 0.454615 0.00202416 1 1
CSI_0707_R 25.3302 0.017691 0.171633 0.0176773 1 -1
CSI_0707_L 39.8415 0.377634 0.58589 0.678617 1 0
CSI_0708_R 25.2916 0.0286436 0.271399 0.0133668 1 0
CSI_0708_L 40.2718 0.0035814 0.435721 0.0023814 1 1
CSI_0709_R 23.313 0.0143937 0.184003 0.00686416 1 0
CSI_0709_L 40.2933 0.00391484 0.39759 0.00233297 1 1
CSI_0710_R 23.6994 0.0462061 0.426112 0.032723 1 0
CSI_0710_L 38.021 0.00901733 0.625977 0.107418 1 0
CSI_0711_R 24.3342 0.0165045 0.163729 0.0161076 1 -1
CSI_0711_L 40.1414 0.0395601 0.594482 0.0826245 1 0
CSI_0712_R 19.3392 0.0115337 0.134434 0.00950367 5 0
CSI_0712_L 35.0664 0.00411886 0.339373 0.00979891 1 1
CSI_0713_R 20.2765 0.0176126 0.228197 0.00741255 1 0
CSI_0713_L 36.8089 0.384063 0.55692 0.54881 1 0
CSI_0714_R 17.812 0.0376982 0.505618 0.0505223 1 0
CSI_0714_L 32.8763 0.340161 0.576417 0.762984 1 0
CSI_0715_R 20.3409 0.0123946 0.138665 0.0106492 1 -1
CSI_0715_L 36.0955 0.028818 0.59816 0.0889522 1 0
CSI_0716_R 18.7124 0.0333444 0.2995 0.0173759 1 0
CSI_0716_L 34.9087 0.00671996 0.319474 0.011509 1 1
CSI_0719_R 16.7192 0.0363339 0.324168 0.0209691 1 0
CSI_0719_L 30.8971 0.316336 0.578286 0.847095 1 0
CSI_0720_R 18.3248 0.0101403 0.13135 0.00747215 1 -1
CSI_0720_L 32.6169 0.007312 0.307626 0.00277586 1 1
CSI_0721_R 11.2413 0.0405341 0.459246 0.0385101 1 0
CSI_0721_L 24.7178 0.0459862 0.454874 0.0370187 1 0
CSI_0722_R 14.66 0.00961868 0.123024 0.00753497 100 0
CSI_0722_L 27.7026 0.0477783 0.450709 0.0361713 1 0
CSI_0723_R 12.3635 0.00588998 0.0882446 0.00373237 6 0
CSI_0723_L 27.1978 0.0411246 0.521014 0.0539827 1 0
CSI_0724_R 14.6499 0.00742954 0.104834 0.00530799 15 0
CSI_0724_L 28.2053 0.00595597 0.338129 0.00471203 1 1
CSI_0801_R 25.709 0.0467375 0.449364 0.0360445 1 0
CSI_0801_L 35.7844 0.487329 0.539055 0.594685 1 0
CSI_0802_R 28.3237 0.0165065 0.19136 0.00701211 1 0
CSI_0802_L 38.4964 0.00422264 0.373686 0.00162154 1 1
CSI_0803_R 31.6937 0.0299297 0.263446 0.0129325 1 0
CSI_0803_L 43.0875 0.0293577 0.62868 0.103704 1 0
CSI_0804_R 33.3207 0.0291665 0.227507 0.0367292 1 -1
CSI_0804_L 43.0813 0.0277058 0.630735 0.10539 1 0
CSI_0805_R 30.2371 0.0331939 0.298658 0.0110832 1 0
CSI_0805_L 41.2462 0.050898 0.539771 0.0556739 1 0
CSI_0806_R 29.3205 0.0228845 0.201173 0.0254302 1 -1
CSI_0806_L 40.033 0.0127376 0.631355 0.109692 1 0
CSI_0807_R 30.3162 0.977154 0.438943 0.647367 1 0
CSI_0807_L 41.7528 0.663727 0.542945 0.704618 1 0
CSI_0808_R 32.7925 0.560379 0.533529 0.695753 1 0
CSI_0808_L 42.7585 0.603878 0.550773 0.668824 1 0
CSI_0809_R 28.3215 0.0215198 0.194455 0.0232724 1.99933 0
CSI_0809_L 39.1976 0.0462042 0.560959 0.0653496 1 0
CSI_0810_R 30.3049 0.835083 0.350422 0.462743 1 0
CSI_0810_L 39.3506 0.00522409 0.343513 0.00237173 1 1
CSI_0811_R 29.3205 0.0228845 0.201173 0.0254302 1 -1
CSI_0811_L 39.1284 0.0368074 0.596356 0.0848026 1 0
CSI_0812_R 29.9057 0.307268 0.578381 0.893082 1 0
CSI_0812_L 39.8202 0.414536 0.574701 0.645784 1 0
CSI_0813_R 26.3282 0.0189 0.178503 0.0194293 1 -1
CSI_0813_L 35.0246 0.0096671 0.614216 0.101376 1 0
CSI_0814_R 26.9638 0.273533 0.586492 2.67851 1 0
CSI_0814_L 37.1337 0.0369035 0.586374 0.080304 1 0
CSI_0815_R 24.2978 0.0196677 0.225118 0.00766818 1 0
CSI_0815_L 34.7981 0.452694 0.543564 0.59477 1 0
CSI_0816_R 26.0596 0.0177431 0.578046 0.083087 1 0
CSI_0816_L 38.1606 0.0415128 0.577389 0.0742538 1 0
CSI_0817_R 24.3044 0.0182896 0.214073 0.00686562 1 0
CSI_0817_L 36.0116 0.00661942 0.620194 0.104699 1 0
CSI_0818_R 25.698 0.0320299 0.277008 0.0147266 1 0
CSI_0818_L 36.0946 0.0286144 0.598476 0.0891732 1 0
CSI_0819_R 22.9267 0.324025 0.566458 1.13151 1 0
CSI_0819_L 32.7126 0.0492981 0.480112 0.0411258 1 0
CSI_0820_R 23.3317 0.0154534 0.159491 0.0144603 1 -1
CSI_0820_L 34.1465 0.0377227 0.569802 0.0729359 1 0
CSI_0821_R 19.3401 0.0114721 0.13366 0.00944835 2 0
CSI_0821_L 31.0584 0.0183137 0.592899 0.0896299 1 0
CSI_0822_R 17.1739 0.0360617 0.511698 0.052855 1 0
CSI_0822_L 26.7876 0.651389 0.512293 0.750592 1 0
CSI_0823_R 19.3404 0.0114521 0.133414 0.00942887 1 -1
CSI_0823_L 30.1596 0.0380391 0.55043 0.0652553 1 0
CSI_0824_R 19.8248 0.586938 0.51662 0.818667 1 0
CSI_0824_L 28.1539 0.0365885 0.547372 0.0647177 1 0
CSI_0901_R 26.3282 0.0189 0.178503 0.0194293 1 -1
CSI_0901_L 32.9583 0.367944 0.603547 2.93107 1 0
CSI_0902_R 28.3215 0.0215151 0.194335 0.0232037 1 -1
CSI_0902_L 36.9047 0.289742 0.601675 0.872526 1 0
CSI_0903_R 31.3204 0.0258742 0.214203 0.0306034 1 -1
CSI_0903_L 39.1485 0.040236 0.587157 0.0790481 1 0
