###########################################################
#$Id: pied_chiosi_e416a.dat,v 1.1 2006/03/20 01:13:45 franklan Exp $
#Piédestaux pour ChIo/Si, manip E416a
#Extraits du run 1000
#Chaque spectre fitté avec une gaussienne
#Format du fichier:
# nom_du_parametre moyenne erreur_sur_moyenne largeur erreur_sur_moyenne chi_square NDF
###########################################################
CI_1017_GG 109.256 0.2335 31.1476 0.175895 492.502 90
CI_1017_PG 69.1053 0.0160231 2.04802 0.00864874 551.046 14
CI_1019_GG 84.3494 0.2363 31.6025 0.15676 502.45 96
CI_1019_PG 66.3461 0.0162732 2.25763 0.0110963 127.097 13
CI_1021_GG 90.4635 0.233697 32.0369 0.161489 267.25 101
CI_1021_PG 64.2258 0.0160851 2.22271 0.010644 117.153 15
CI_1023_GG 87.3388 0.237067 31.8035 0.16422 439.753 97
CI_1023_PG 67.7605 0.0162563 2.17285 0.010053 323.355 15
CI_1201_GG 96.9945 0.223628 27.1953 0.141333 1414.44 86
CI_1201_PG 68.6271 0.0156844 1.96413 0.00843437 627.274 13
CI_1203_GG 94.3151 0.232871 32.0957 0.16961 171.464 100
CI_1203_PG 65.5581 0.0157384 2.12747 0.00941623 205.152 15
CI_1205_GG 86.2142 0.228501 31.6783 0.167433 114.975 100
CI_1205_PG 64.7216 0.0156273 2.20399 0.0106182 28.6228 16
CI_1207_GG 94.9743 0.248793 33.7945 0.175834 213.442 99
CI_1207_PG 65.1384 0.0167534 2.28919 0.0106532 208.804 16
#rien mesuré, zero tout le temps
#CI_1209_GG 0.5 369.691 1 1.36241 2.37423e-16 -2
#CI_1209_PG 0.5 369.691 1 1.36241 2.37423e-16 -2
CI_1211_GG 44.5373 0.638091 44.4737 0.419019 2580.56 97
#gros pic a zero
#CI_1211_PG 0.555121 0.0901773 0.332327 0.0336809 264.999 5
CI_1213_GG 56.2527 0.308562 34.4978 0.248122 737.072 88
#gros pic a zero
#CI_1213_PG 0.649743 0.00942379 0.116576 0.00742539 122 3
CI_1215_GG 42.739 0.26346 27.8501 0.206671 1222.99 137
#gros pic a zero
#CI_1215_PG 0.699892 0.0325188 0.27811 0.0151056 171 2
CI_1217_GG 47.6491 0.317934 32.3344 0.251171 1417.37 161
#gros pic a zero
#CI_1217_PG 0.604964 0.00463643 0.0683387 0.00304538 47 1
CI_1219_GG 53.5577 0.308697 33.3667 0.234416 999.04 84
#gros pic a zero
