# Etalonnages Volt -> MeV pour silicium INDRA_e494s 
# transcrit du fichier CoefS.dat de MFR source et gene fin de run
# sauf C4 M4 6 9 21-24 alpha run 32 et P estimee 32 mbar
# Si75 : utilisation de la source Am/Cm/Cf
# SiLi runs p+C Brho=0.67
# NB il semble que le SiLi17 soit equipe d'un preampli pour Si 300 mum
# Liste des parametres : 
# a0, a1, err_a1 
Run Range : 1 600 
 SI_0710   0.0000e+00   1.7710e+02   1.1072e+01  
 SI_0711   0.0000e+00   1.7572e+02   1.0985e+01  
 SI_0712   0.0000e+00   1.7849e+02   1.1159e+01  
 SI_0713   0.0000e+00   1.7971e+02   1.3323e+01  
 SI_0714   0.0000e+00   1.8223e+02   1.1392e+01  
 SI_0715   0.0000e+00   1.7857e+02   1.1164e+01  
 SI_0716   0.0000e+00   1.8158e+02   1.1352e+01  
 SI_0717   0.0000e+00   0.0000e+00   0.0000e+00  
 SI_0718   0.0000e+00   1.8473e+02   1.1549e+01  
 SI_0719   0.0000e+00   1.8394e+02   1.1499e+01  
 SI_0720   0.0000e+00   1.8572e+02   1.1611e+01  
 SI_0721   0.0000e+00   1.7998e+02   1.1253e+01  
 SI_0722   0.0000e+00   1.8092e+02   1.1311e+01  
 SI_0723   0.0000e+00   1.8140e+02   1.1341e+01  
 SI_0724   0.0000e+00   1.8370e+02   1.1486e+01  
 SI_0801   0.0000e+00   4.3008e+02   2.8093e+01  
 SI_0802   0.0000e+00   4.3376e+02   2.8334e+01  
 SI_0803   0.0000e+00   4.2965e+02   2.8058e+01  
 SI_0804   0.0000e+00   4.3708e+02   2.8543e+01  
 SI_0805   0.0000e+00   4.3437e+02   2.8366e+01  
 SI_0806   0.0000e+00   4.3742e+02   2.8566e+01  
 SI_0807   0.0000e+00   4.3087e+02   2.8153e+01  
 SI_0808   0.0000e+00   4.3535e+02   2.8443e+01  
 SI_0809   0.0000e+00   4.3269e+02   2.8263e+01  
 SI_0810   0.0000e+00   4.3582e+02   2.8468e+01  
 SI_0811   0.0000e+00   4.3360e+02   2.8321e+01  
 SI_0812   0.0000e+00   4.3452e+02   2.8384e+01  
 SI_0813   0.0000e+00   4.3613e+02   2.8487e+01  
 SI_0814   0.0000e+00   4.3323e+02   2.8299e+01  
 SI_0815   0.0000e+00   4.2965e+02   2.8067e+01  
 SI_0816   0.0000e+00   4.3329e+02   2.8308e+01  
 SI_0817   0.0000e+00   4.2966e+02   2.8061e+01  
 SI_0818   0.0000e+00   4.2970e+02   2.8064e+01  
 SI_0819   0.0000e+00   4.3034e+02   2.8106e+01  
 SI_0820   0.0000e+00   4.3212e+02   2.8225e+01  
 SI_0821   0.0000e+00   4.2830e+02   2.7976e+01  
 SI_0822   0.0000e+00   4.2772e+02   2.7938e+01  
 SI_0823   0.0000e+00   4.3157e+02   2.8192e+01  
 SI_0824   0.0000e+00   0.0000e+00   0.0000e+00  
 SI_0901   0.0000e+00   4.3229e+02   2.8232e+01  
 SI_0902   0.0000e+00   4.3143e+02   2.8178e+01  
 SI_0903   0.0000e+00   4.3753e+02   2.8572e+01  
 SI_0904   0.0000e+00   4.3550e+02   2.8440e+01  
 SI_0905   0.0000e+00   4.3591e+02   2.8466e+01  
 SI_0906   0.0000e+00   4.4200e+02   2.8863e+01  
 SI_0907   0.0000e+00   4.3419e+02   2.8359e+01  
 SI_0908   0.0000e+00   4.3405e+02   2.8348e+01  
 SI_0909   0.0000e+00   4.3540e+02   2.8438e+01  
 SI_0910   0.0000e+00   4.3543e+02   2.8441e+01  
 SI_0911   0.0000e+00   4.3438e+02   2.8368e+01  
 SI_0912   0.0000e+00   4.3803e+02   2.8608e+01  
 SI_0913   0.0000e+00   4.3758e+02   2.8580e+01  
 SI_0914   0.0000e+00   4.3909e+02   2.8677e+01  
 SI_0915   0.0000e+00   4.3193e+02   2.8213e+01  
 SI_0916   0.0000e+00   4.3526e+02   2.8430e+01  
 SI_0917   0.0000e+00   4.3159e+02   2.8186e+01  
 SI_0918   0.0000e+00   4.2987e+02   2.8074e+01  
 SI_0919   0.0000e+00   4.2877e+02   2.8001e+01  
 SI_0920   0.0000e+00   4.3271e+02   2.8259e+01  
 SI_0921   0.0000e+00   4.2629e+02   2.7840e+01  
 SI_0922   0.0000e+00   4.2992e+02   2.8079e+01  
 SI_0923   0.0000e+00   0.0000e+00   0.0000e+00  
 SI_0924   0.0000e+00   4.2920e+02   2.8040e+01
 SI75_10   0.0000e+00   1.0587e+02   0.
 SI75_11   0.0000e+00   1.0229e+02   0.
 SI75_12   0.0000e+00   0.           0.
 SI75_13   0.0000e+00   1.0791e+02   0.
 SI75_14   0.0000e+00   1.0450e+02   0.
 SI75_15   0.0000e+00   1.0283e+02   0.
 SI75_16   0.0000e+00   0.           0.
 SI75_17   0.0000e+00   1.0504e+02   0.
 SILI_10   0.0000e+00   0.9694e+02   0.
 SILI_11   0.0000e+00   0.9826e+02   0.
 SILI_12   0.0000e+00   0.           0.
 SILI_13   0.0000e+00   0.9119e+02   0.
 SILI_14   0.0000e+00   0.9660e+02   0.
 SILI_15   0.0000e+00   0.9908e+02   0.
 SILI_16   0.0000e+00   0.9721e+02   0.
 SILI_17   0.0000e+00   4.5110e+02   0.
