# Piedestaux mesures des detecteurs etalons
#Run 290-291   2007 
#Total   0 ev.  Physical       0 ev.
#-------------------------------------------------------------
# c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
#-------------------------------------------------------------
10   2  10  0 0.00 0.00 0    165.14  6.58
11   2  10  0 0.00 0.00 0    168.16  6.03
12   2  10  0 0.00 0.00 0    153.80  66.32
13   4  10  0 0.00 0.00 0    159.63  6.88
14   3  10  0 0.00 0.00 0    158.06  9.95
15   3  10  0 0.00 0.00 0    158.09  5.58
17   2  10  0 0.00 0.00 0    158.66  9.88
10   2  11  0 0.00 0.00 0    166.18    -1
11   2  11  0 0.00 0.00 0    168.02    -1
12   2  11  0 0.00 0.00 0    165.50  4.31
13   4  11  0 0.00 0.00 0    167.02    -1
14   3  11  0 0.00 0.00 0    162.98    -1
15   3  11  0 0.00 0.00 0    164.44    -1
17   2  11  0 0.00 0.00 0    167.05    -1
10   2  13  0 0.00 0.00 0    173.29  3.30
11   2  13  0 0.00 0.00 0    172.45  3.70
13   4  13  0 0.00 0.00 0    155.79  3.72
14   3  13  0 0.00 0.00 0    159.33  3.30
15   3  13  0 0.00 0.00 0    164.33  3.34
16   2  13  0 0.00 0.00 0    166.90  4.81
17   2  13  0 0.00 0.00 0    175.50  1.85
10   2  14  0 0.00 0.00 0    164.86    -1
11   2  14  0 0.00 0.00 0    162.93    -1
12   2  14  0 0.00 0.00 0    121.60    -1
13   4  14  0 0.00 0.00 0    163.29    -1
14   3  14  0 0.00 0.00 0    162.74    -1
15   3  14  0 0.00 0.00 0    164.18    -1
16   2  14  0 0.00 0.00 0    162.94    -1
17   2  14  0 0.00 0.00 0    162.28    -1
