# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_111
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<NAME> ID_SI1_SI2_111
<VARX> Q2Amplitude
<VARY> QH1Amplitude
<PARAMETER> IDTelescopes=ID_SI1_SI2_111
<PARAMETER> Runlist=12-43
+KVIDZALine
ID:Z=1 A=1
214.827   97.2426
223.105   95.2266
231.447   93.2763
239.86   91.3876
248.349   89.5566
256.922   87.7803
265.386   86.0558
+KVIDZALine
ID:Z=4 A=7
4	7
30
0.480226   251.542
21.6162   234.634
40.3167   220.683
56.0161   209.895
70.0406   200.918
82.9847   193.151
95.1743   186.261
106.811   180.046
118.033   174.369
128.933   169.134
139.585   164.267
150.045   159.717
160.357   155.442
170.553   151.408
180.667   147.586
190.719   143.955
200.735   140.495
210.73   137.189
220.721   134.027
230.722   130.993
240.747   128.079
250.806   125.275
260.912   122.574
271.072   119.968
281.296   117.451
291.594   115.018
301.972   112.663
312.44   110.382
323.003   108.17
333.304   106.025
+KVIDZALine
ID:Z=4 A=9
4	9
30
0.409075   278.19
21.7956   261.617
42.1407   246.593
59.4241   234.806
74.9445   224.935
89.3127   216.361
102.873   208.733
115.837   201.837
128.353   195.528
140.524   189.7
152.427   184.277
164.123   179.202
175.659   174.428
187.074   169.919
198.401   165.645
209.665   161.58
220.891   157.703
232.098   153.999
243.305   150.453
254.527   147.048
265.778   143.778
277.071   140.629
288.42   137.594
299.832   134.663
311.32   131.833
322.894   129.096
334.56   126.445
346.33   123.877
358.209   121.387
370.056   118.969
+KVIDZALine
ID:Z=4 A=10
4	10
30
0.395703   289.971
21.7956   273.657
42.8376   258.2
60.8172   245.987
77.0034   235.729
92.0111   226.799
106.188   218.846
119.754   211.648
132.858   205.056
145.607   198.965
158.081   193.295
170.343   187.983
182.44   182.987
194.413   178.265
206.296   173.785
218.117   169.526
229.901   165.464
241.667   161.58
253.436   157.859
265.221   154.288
277.039   150.854
288.904   147.549
300.827   144.363
312.822   141.287
324.897   138.313
337.062   135.439
349.327   132.654
361.703   129.956
374.196   127.337
386.052   124.797
+KVIDZALine
ID:Z=4 A=11
4	11
30
0.391965   300.937
21.7171   284.948
43.3614   269.13
61.9645   256.543
78.7535   245.936
94.3427   236.686
109.084   228.437
123.2   220.964
136.842   214.115
150.121   207.78
163.118   201.879
175.899   196.352
188.511   191.146
200.997   186.226
213.391   181.558
225.724   177.118
238.018   172.881
250.297   168.831
262.58   164.947
274.883   161.221
287.223   157.637
299.611   154.185
312.063   150.856
324.59   147.644
337.203   144.538
349.911   141.534
362.725   138.622
375.658   135.801
388.713   133.065
401.611   130.408
+KVIDZALine
ID:Z=5 A=10
5	10
30
1.04497   376.047
28.6648   354.714
56.1667   334.397
79.6232   318.363
100.706   304.909
120.229   293.209
138.651   282.797
156.261   273.382
173.257   264.766
189.781   256.807
205.936   249.403
221.805   242.473
237.455   235.955
252.935   229.8
268.29   223.964
283.558   218.418
298.77   213.129
313.953   208.077
329.132   203.238
344.329   198.595
359.562   194.135
374.85   189.842
390.207   185.705
405.652   181.713
421.195   177.857
436.848   174.13
452.63   170.52
468.541   167.025
484.603   163.635
500.092   160.346
+KVIDZALine
ID:Z=5 A=11
5	11
30
0.467931   390.743
28.944   369.232
57.1765   348.505
81.4198   332.01
103.274   318.117
123.548   306.009
142.699   295.216
161.024   285.444
178.721   276.492
195.935   268.219
212.773   260.516
229.319   253.303
245.64   246.515
261.79   240.101
277.814   234.02
293.749   228.236
309.629   222.719
325.484   217.448
341.335   212.397
357.208   207.552
373.122   202.893
389.093   198.409
405.14   194.086
421.279   189.915
437.525   185.885
453.887   181.987
470.384   178.212
487.022   174.556
503.816   171.011
520.192   167.57
+KVIDZALine
ID:Z=5 A=12
5	12
30
0.469985   404.224
28.815   383.158
57.7682   362.013
82.7765   345.063
105.377   330.743
126.373   318.237
146.226   307.077
165.237   296.961
183.606   287.689
201.482   279.112
218.975   271.123
236.169   263.638
253.134   256.591
269.925   249.93
286.589   243.611
303.165   237.6
319.687   231.865
336.183   226.383
352.681   221.129
369.201   216.088
385.767   211.239
402.397   206.573
419.105   202.073
435.912   197.729
452.833   193.531
469.88   189.471
487.063   185.539
504.396   181.73
521.898   178.035
539.068   174.448
+KVIDZALine
ID:Z=5 A=13
5	13
30
0.479054   416.909
28.6481   396.318
58.2451   374.821
83.9595   357.458
107.256   342.743
128.929   329.872
149.444   318.368
169.101   307.932
188.107   298.359
206.608   289.497
224.721   281.237
242.529   273.497
260.106   266.205
277.508   259.311
294.781   252.769
311.965   246.543
329.096   240.601
346.204   234.919
363.316   229.475
380.455   224.247
397.643   219.221
414.9   214.379
432.241   209.71
449.684   205.202
467.248   200.845
484.943   196.63
502.785   192.548
520.784   188.592
538.958   184.754
556.921   181.029
+KVIDZALine
ID:Z=6 A=10
6	10
30
0.451339   463.782
37.2534   435.144
71.273   409.907
100.182   390.068
126.123   373.449
150.121   359.012
172.746   346.174
194.362   334.57
215.21   323.958
235.468   314.161
255.266   305.051
274.705   296.527
293.867   288.514
312.815   280.949
331.604   273.782
350.28   266.969
368.879   260.476
387.441   254.275
405.991   248.34
424.556   242.647
443.162   237.178
461.829   231.918
480.581   226.85
499.427   221.962
518.395   217.239
537.489   212.676
556.734   208.261
576.143   203.984
595.724   199.839
615.184   195.819
+KVIDZALine
ID:Z=6 A=11
6	11
30
0.454255   481.724
37.2661   453.481
72.3276   427.594
102.283   407.112
129.23   389.905
154.189   374.926
177.747   361.587
200.268   349.522
222.004   338.479
243.133   328.276
263.79   318.783
284.081   309.898
304.084   301.542
323.871   293.648
343.496   286.168
363.007   279.055
382.443   272.276
401.841   265.797
421.232   259.594
440.641   253.644
460.093   247.926
479.612   242.425
499.223   237.123
518.935   232.008
