# DataSet LNS_2016
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/TEST-JUL2016
run=75 | starting date=Tue Jul 12 13:22:10 2016 | nfiles=10 | size(GB)=0.93
run=76 | starting date=Tue Jul 12 13:22:21 2016 | nfiles=10 | size(GB)=0.93
run=77 | starting date=Tue Jul 12 13:22:31 2016 | nfiles=10 | size(GB)=0.93
run=78 | starting date=Tue Jul 12 13:24:26 2016 | nfiles=10 | size(GB)=0.93
run=79 | starting date=Tue Jul 12 13:25:04 2016 | nfiles=10 | size(GB)=0.93
run=80 | starting date=Tue Jul 12 15:59:49 2016 | nfiles=10 | size(GB)=0.93
run=81 | starting date=Tue Jul 12 16:12:45 2016 | nfiles=10 | size(GB)=0.93
run=82 | starting date=Tue Jul 12 16:22:12 2016 | nfiles=5 | size(GB)=0.43
run=100 | starting date=Tue Jul 12 16:30:06 2016 | nfiles=5 | size(GB)=0.42
run=101 | starting date=Tue Jul 12 16:39:05 2016 | nfiles=7 | size(GB)=0.63
run=102 | starting date=Tue Jul 12 17:40:02 2016 | nfiles=4 | size(GB)=0.36
run=103 | starting date=Tue Jul 12 18:08:01 2016 | nfiles=1 | size(GB)=0.00
run=104 | starting date=Tue Jul 12 18:08:28 2016 | nfiles=1 | size(GB)=0.00
run=105 | starting date=Tue Jul 12 18:15:50 2016 | nfiles=1 | size(GB)=0.00
run=106 | starting date=Tue Jul 12 18:17:43 2016 | nfiles=10 | size(GB)=0.93
run=107 | starting date=Tue Jul 12 18:24:52 2016 | nfiles=10 | size(GB)=0.93
run=108 | starting date=Tue Jul 12 18:25:09 2016 | nfiles=10 | size(GB)=0.93
run=109 | starting date=Tue Jul 12 18:27:03 2016 | nfiles=1 | size(GB)=0.00
run=110 | starting date=Tue Jul 12 18:28:01 2016 | nfiles=10 | size(GB)=0.93
run=111 | starting date=Tue Jul 12 18:31:35 2016 | nfiles=10 | size(GB)=0.93
run=112 | starting date=Tue Jul 12 18:31:55 2016 | nfiles=10 | size(GB)=0.93
run=113 | starting date=Tue Jul 12 18:32:14 2016 | nfiles=10 | size(GB)=0.93
run=114 | starting date=Tue Jul 12 18:32:32 2016 | nfiles=10 | size(GB)=0.93
run=115 | starting date=Tue Jul 12 18:32:50 2016 | nfiles=9 | size(GB)=0.83
run=116 | starting date=Tue Jul 12 18:34:50 2016 | nfiles=10 | size(GB)=0.93
run=117 | starting date=Tue Jul 12 18:41:57 2016 | nfiles=10 | size(GB)=0.93
run=118 | starting date=Tue Jul 12 18:42:15 2016 | nfiles=10 | size(GB)=0.93
run=119 | starting date=Tue Jul 12 18:42:30 2016 | nfiles=10 | size(GB)=0.93
run=120 | starting date=Tue Jul 12 18:42:45 2016 | nfiles=10 | size(GB)=0.93
run=121 | starting date=Tue Jul 12 18:43:00 2016 | nfiles=10 | size(GB)=0.93
run=122 | starting date=Tue Jul 12 18:43:15 2016 | nfiles=10 | size(GB)=0.93
run=123 | starting date=Tue Jul 12 18:43:32 2016 | nfiles=10 | size(GB)=0.93
run=124 | starting date=Tue Jul 12 18:43:49 2016 | nfiles=10 | size(GB)=0.93
run=125 | starting date=Tue Jul 12 18:44:06 2016 | nfiles=1 | size(GB)=0.03
run=126 | starting date=Tue Jul 12 18:44:48 2016 | nfiles=10 | size(GB)=0.93
run=127 | starting date=Tue Jul 12 18:46:48 2016 | nfiles=10 | size(GB)=0.93
run=128 | starting date=Tue Jul 12 18:47:01 2016 | nfiles=10 | size(GB)=0.93
run=129 | starting date=Tue Jul 12 18:47:16 2016 | nfiles=10 | size(GB)=0.93
run=130 | starting date=Tue Jul 12 18:47:31 2016 | nfiles=10 | size(GB)=0.93
run=131 | starting date=Tue Jul 12 18:47:48 2016 | nfiles=10 | size(GB)=0.93
run=132 | starting date=Tue Jul 12 18:48:05 2016 | nfiles=10 | size(GB)=0.93
run=133 | starting date=Tue Jul 12 18:48:24 2016 | nfiles=10 | size(GB)=0.93
run=134 | starting date=Tue Jul 12 18:48:43 2016 | nfiles=10 | size(GB)=0.93
run=135 | starting date=Tue Jul 12 18:49:01 2016 | nfiles=10 | size(GB)=0.93
run=136 | starting date=Tue Jul 12 18:49:19 2016 | nfiles=10 | size(GB)=0.93
run=137 | starting date=Tue Jul 12 18:49:36 2016 | nfiles=10 | size(GB)=0.93
run=138 | starting date=Tue Jul 12 18:49:54 2016 | nfiles=10 | size(GB)=0.93
run=139 | starting date=Tue Jul 12 18:50:10 2016 | nfiles=10 | size(GB)=0.93
run=140 | starting date=Tue Jul 12 18:50:27 2016 | nfiles=10 | size(GB)=0.93
run=141 | starting date=Tue Jul 12 18:50:45 2016 | nfiles=10 | size(GB)=0.93
run=142 | starting date=Tue Jul 12 18:51:05 2016 | nfiles=10 | size(GB)=0.93
run=143 | starting date=Tue Jul 12 18:51:25 2016 | nfiles=10 | size(GB)=0.93
run=144 | starting date=Tue Jul 12 19:46:20 2016 | nfiles=10 | size(GB)=0.93
run=145 | starting date=Tue Jul 12 19:49:12 2016 | nfiles=10 | size(GB)=0.93
run=146 | starting date=Tue Jul 12 19:52:09 2016 | nfiles=10 | size(GB)=0.93
run=147 | starting date=Tue Jul 12 19:55:08 2016 | nfiles=10 | size(GB)=0.93
run=148 | starting date=Tue Jul 12 19:57:48 2016 | nfiles=10 | size(GB)=0.93
run=149 | starting date=Tue Jul 12 20:00:40 2016 | nfiles=10 | size(GB)=0.93
run=150 | starting date=Tue Jul 12 20:03:16 2016 | nfiles=10 | size(GB)=0.93
run=151 | starting date=Tue Jul 12 20:05:59 2016 | nfiles=10 | size(GB)=0.93
run=152 | starting date=Tue Jul 12 20:08:35 2016 | nfiles=10 | size(GB)=0.87
run=153 | starting date=Tue Jul 12 20:11:46 2016 | nfiles=10 | size(GB)=0.93
run=154 | starting date=Tue Jul 12 20:14:33 2016 | nfiles=10 | size(GB)=0.93
run=155 | starting date=Tue Jul 12 20:14:55 2016 | nfiles=10 | size(GB)=0.93
run=156 | starting date=Tue Jul 12 20:15:18 2016 | nfiles=10 | size(GB)=0.93
run=157 | starting date=Tue Jul 12 20:15:38 2016 | nfiles=10 | size(GB)=0.93
run=158 | starting date=Tue Jul 12 20:16:00 2016 | nfiles=10 | size(GB)=0.93
run=159 | starting date=Tue Jul 12 20:16:26 2016 | nfiles=10 | size(GB)=0.93
run=160 | starting date=Tue Jul 12 20:16:49 2016 | nfiles=10 | size(GB)=0.93
run=161 | starting date=Tue Jul 12 20:17:10 2016 | nfiles=10 | size(GB)=0.93
run=162 | starting date=Tue Jul 12 20:17:30 2016 | nfiles=10 | size(GB)=0.93
run=163 | starting date=Tue Jul 12 20:18:35 2016 | nfiles=10 | size(GB)=0.93
run=164 | starting date=Tue Jul 12 20:18:53 2016 | nfiles=10 | size(GB)=0.93
run=165 | starting date=Tue Jul 12 20:19:10 2016 | nfiles=10 | size(GB)=0.93
run=166 | starting date=Tue Jul 12 20:19:25 2016 | nfiles=10 | size(GB)=0.93
run=167 | starting date=Tue Jul 12 20:19:37 2016 | nfiles=10 | size(GB)=0.93
run=168 | starting date=Tue Jul 12 20:19:50 2016 | nfiles=10 | size(GB)=0.93
run=169 | starting date=Tue Jul 12 20:20:01 2016 | nfiles=10 | size(GB)=0.93
run=170 | starting date=Tue Jul 12 20:20:12 2016 | nfiles=10 | size(GB)=0.93
run=171 | starting date=Tue Jul 12 20:20:24 2016 | nfiles=10 | size(GB)=0.93
run=172 | starting date=Tue Jul 12 20:20:35 2016 | nfiles=10 | size(GB)=0.93
run=173 | starting date=Tue Jul 12 20:20:47 2016 | nfiles=10 | size(GB)=0.93
run=174 | starting date=Tue Jul 12 20:20:59 2016 | nfiles=10 | size(GB)=0.93
run=175 | starting date=Tue Jul 12 20:21:11 2016 | nfiles=10 | size(GB)=0.93
run=176 | starting date=Tue Jul 12 20:21:22 2016 | nfiles=10 | size(GB)=0.93
run=177 | starting date=Tue Jul 12 20:21:32 2016 | nfiles=10 | size(GB)=0.93
run=178 | starting date=Tue Jul 12 20:21:43 2016 | nfiles=10 | size(GB)=0.93
run=179 | starting date=Tue Jul 12 20:21:53 2016 | nfiles=10 | size(GB)=0.93
run=180 | starting date=Tue Jul 12 20:22:04 2016 | nfiles=10 | size(GB)=0.93
run=181 | starting date=Tue Jul 12 20:22:17 2016 | nfiles=10 | size(GB)=0.93
run=182 | starting date=Tue Jul 12 20:22:35 2016 | nfiles=10 | size(GB)=0.93
run=183 | starting date=Tue Jul 12 20:22:52 2016 | nfiles=10 | size(GB)=0.93
run=184 | starting date=Tue Jul 12 20:23:10 2016 | nfiles=10 | size(GB)=0.93
run=185 | starting date=Tue Jul 12 20:23:27 2016 | nfiles=10 | size(GB)=0.93
run=186 | starting date=Tue Jul 12 20:23:44 2016 | nfiles=10 | size(GB)=0.93
run=187 | starting date=Tue Jul 12 20:24:01 2016 | nfiles=10 | size(GB)=0.93
run=188 | starting date=Tue Jul 12 20:24:18 2016 | nfiles=10 | size(GB)=0.93
run=189 | starting date=Tue Jul 12 20:24:38 2016 | nfiles=10 | size(GB)=0.93
run=190 | starting date=Tue Jul 12 20:24:55 2016 | nfiles=10 | size(GB)=0.93
run=191 | starting date=Tue Jul 12 20:25:14 2016 | nfiles=10 | size(GB)=0.93
run=192 | starting date=Tue Jul 12 20:25:32 2016 | nfiles=10 | size(GB)=0.93
run=193 | starting date=Tue Jul 12 20:26:15 2016 | nfiles=2 | size(GB)=0.17
