CSI_0403_R 27.222944 0.020695 0.408119 0.015230 0.000001 -1
CSI_0403_L 38.317987 0.001644 0.435085 0.001515 302.678580 2
CSI_0404_R 30.247268 0.020324 0.441903 0.017745 0.000000 -1
CSI_0404_L 41.744326 0.002238 0.588203 0.001125 1432.809896 1
CSI_0405_R 26.262189 0.019898 0.455115 0.019009 0.000002 -1
CSI_0405_L 37.265845 0.001747 0.491514 0.001373 605.031313 1
CSI_0406_R 30.185288 0.001893 0.413641 0.001082 0.000000 0
CSI_0406_L 39.225401 0.001947 0.551578 0.001532 719.683344 1
CSI_0407_R 30.404355 0.002568 0.423798 0.004638 0.000000 0
CSI_0407_L 41.770962 0.002176 0.597127 0.001749 0.000002 0
CSI_0408_R 28.622693 0.002149 0.580989 0.001979 0.000000 0
CSI_0408_L 40.876105 0.002033 0.548013 0.000968 888.419672 2
CSI_0409_R 28.849874 0.001937 0.531882 0.001292 0.000003 0
CSI_0409_L 39.618822 0.002269 0.591301 0.001442 493.413585 2
CSI_0410_R 29.670072 0.001994 0.558032 0.001746 0.000000 0
CSI_0410_L 39.186795 0.002026 0.572580 0.001432 10.987870 1
CSI_0411_R 29.423552 0.002685 0.327450 0.005547 0.000000 0
CSI_0411_L 38.626942 0.003039 0.545321 0.001834 3501.079788 2
CSI_0412_R 30.341252 0.002372 0.397807 0.001935 575.186671 1
CSI_0412_L 39.485523 0.002237 0.587091 0.001750 1061.975594 2
CSI_0413_R 25.968007 0.002240 0.539720 0.000829 3291.549244 1
CSI_0413_L 34.854552 0.002231 0.556982 0.000850 4341.930243 1
CSI_0414_R 25.386610 0.002155 0.377319 0.002561 572.621730 1
CSI_0414_L 36.029739 0.002395 0.597102 0.001099 2317.956124 1
CSI_0415_R 24.372077 0.002433 0.387740 0.002408 2661.666958 1
CSI_0415_L 33.868251 0.002388 0.586181 0.000961 4251.763724 2
CSI_0416_R 26.569145 0.002198 0.578610 0.002140 0.000003 0
CSI_0416_L 35.850347 0.002333 0.582070 0.000962 3757.872413 2
CSI_0417_R 23.445501 0.001709 0.437939 0.003533 0.000001 0
CSI_0417_L 33.514342 0.001138 0.380210 0.003219 5244.168332 2
CSI_0418_R 23.026864 0.002384 0.647752 0.001959 0.000000 0
CSI_0418_L 34.469826 0.002205 0.573254 0.001806 1200.619804 2
CSI_0419_R 23.428688 0.002693 0.576778 0.002762 0.000000 0
CSI_0419_L 35.184649 0.002263 0.636086 0.001592 23.490686 1
CSI_0420_R 20.627078 0.002186 0.582386 0.001499 284.105164 1
CSI_0420_L 30.502773 0.002457 0.562835 0.002003 1948.908901 1
CSI_0421_R 16.227477 0.002126 0.586520 0.001682 0.000002 0
CSI_0421_L 25.465581 0.001633 0.470017 0.002069 4593.242967 1
CSI_0422_R 18.560463 0.004227 0.790627 0.003901 0.000000 0
CSI_0422_L 29.340159 0.002100 0.596196 0.001719 299.004170 1
CSI_0423_R 16.417438 0.001957 0.361735 0.003272 684.922678 1
CSI_0423_L 26.858702 0.002520 0.602784 0.001012 5297.433410 1
CSI_0424_R 17.470001 0.004327 0.754635 0.003714 0.000000 0
CSI_0424_L 27.195090 0.002241 0.625341 0.001502 114.274113 1
CSI_0501_R 21.518815 0.001206 0.356517 0.006062 0.000002 0
CSI_0501_L 46.334586 0.003902 0.414148 0.002660 2763.414200 1
CSI_0502_R 26.257293 0.023689 0.451024 0.021977 0.000000 -1
CSI_0502_L 46.516638 0.001524 0.405237 0.003062 1802.179729 4
CSI_0503_R 29.404682 0.005037 0.308130 0.008050 0.721361 1
