run=124 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:16 2015 | stopping date=Fri Dec 11 01:46:19 2015 | read events=8983 | good events=8983 | store events=8983 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2141.25 | duration=4.2 | trig info=0
run=125 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:19 2015 | stopping date=Fri Dec 11 01:46:22 2015 | read events=8530 | good events=8530 | store events=8530 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2028.50 | duration=4.2 | trig info=0
run=126 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:22 2015 | stopping date=Fri Dec 11 01:46:25 2015 | read events=8596 | good events=8596 | store events=8596 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2034.25 | duration=4.2 | trig info=1
run=127 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:25 2015 | stopping date=Fri Dec 11 01:46:28 2015 | read events=8255 | good events=8254 | store events=8254 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=1969.00 | duration=4.2 | trig info=0
run=128 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:28 2015 | stopping date=Fri Dec 11 01:46:31 2015 | read events=8333 | good events=8333 | store events=8333 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1983.75 | duration=4.2 | trig info=0
run=129 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:31 2015 | stopping date=Fri Dec 11 01:46:34 2015 | read events=8438 | good events=8438 | store events=8438 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2003.50 | duration=4.2 | trig info=1
run=130 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:34 2015 | stopping date=Fri Dec 11 01:46:37 2015 | read events=8280 | good events=8280 | store events=8280 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1974.25 | duration=4.2 | trig info=0
run=131 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:37 2015 | stopping date=Fri Dec 11 01:46:40 2015 | read events=7755 | good events=7755 | store events=7755 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1841.75 | duration=4.2 | trig info=0
run=132 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:40 2015 | stopping date=Fri Dec 11 01:46:43 2015 | read events=8444 | good events=8444 | store events=8444 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2002.75 | duration=4.2 | trig info=1
run=133 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:43 2015 | stopping date=Fri Dec 11 01:46:46 2015 | read events=8866 | good events=8865 | store events=8865 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2106.00 | duration=4.2 | trig info=0
run=134 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:46 2015 | stopping date=Fri Dec 11 01:46:49 2015 | read events=8680 | good events=8680 | store events=8680 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2067.50 | duration=4.2 | trig info=0
run=135 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:49 2015 | stopping date=Fri Dec 11 01:46:52 2015 | read events=8641 | good events=8641 | store events=8641 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2055.25 | duration=4.2 | trig info=0
run=136 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:52 2015 | stopping date=Fri Dec 11 01:46:55 2015 | read events=8646 | good events=8646 | store events=8646 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2056.00 | duration=4.2 | trig info=1
run=137 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:55 2015 | stopping date=Fri Dec 11 01:46:58 2015 | read events=8787 | good events=8787 | store events=8787 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2092.00 | duration=4.2 | trig info=0
run=138 | aqcuisition status=Running | starting date=Fri Dec 11 01:46:58 2015 | stopping date=Fri Dec 11 01:47:01 2015 | read events=8837 | good events=8836 | store events=8836 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2104.50 | duration=4.2 | trig info=0
run=139 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:01 2015 | stopping date=Fri Dec 11 01:47:04 2015 | read events=8896 | good events=8896 | store events=8896 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2116.00 | duration=4.2 | trig info=1
run=140 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:04 2015 | stopping date=Fri Dec 11 01:47:07 2015 | read events=9247 | good events=9247 | store events=9247 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2196.25 | duration=4.2 | trig info=0
run=141 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:07 2015 | stopping date=Fri Dec 11 01:47:10 2015 | read events=9731 | good events=9731 | store events=9731 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2313.50 | duration=4.2 | trig info=0
run=142 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:10 2015 | stopping date=Fri Dec 11 01:47:13 2015 | read events=10013 | good events=10013 | store events=10013 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2378.25 | duration=4.2 | trig info=1
run=143 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:13 2015 | stopping date=Fri Dec 11 01:47:16 2015 | read events=10188 | good events=10188 | store events=10188 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2419.75 | duration=4.2 | trig info=0
run=144 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:16 2015 | stopping date=Fri Dec 11 01:47:19 2015 | read events=10118 | good events=10117 | store events=10117 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2407.25 | duration=4.2 | trig info=0
run=145 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:19 2015 | stopping date=Fri Dec 11 01:47:22 2015 | read events=10187 | good events=10187 | store events=10187 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2423.50 | duration=4.2 | trig info=0
run=146 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:23 2015 | stopping date=Fri Dec 11 01:47:25 2015 | read events=10839 | good events=10839 | store events=10839 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=3434.67 | duration=3.2 | trig info=1
run=147 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:26 2015 | stopping date=Fri Dec 11 01:47:28 2015 | read events=11286 | good events=11286 | store events=11286 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=3586.67 | duration=3.2 | trig info=0
run=148 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:29 2015 | stopping date=Fri Dec 11 01:47:31 2015 | read events=10742 | good events=10742 | store events=10742 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=3409.67 | duration=3.2 | trig info=0
run=149 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:32 2015 | stopping date=Fri Dec 11 01:47:34 2015 | read events=10643 | good events=10642 | store events=10642 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=3367.67 | duration=3.2 | trig info=1
run=150 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:35 2015 | stopping date=Fri Dec 11 01:47:37 2015 | read events=10549 | good events=10549 | store events=10549 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=3347.33 | duration=3.2 | trig info=0
run=151 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:38 2015 | stopping date=Fri Dec 11 01:47:40 2015 | read events=10495 | good events=10495 | store events=10495 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=3325.33 | duration=3.2 | trig info=0
run=152 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:41 2015 | stopping date=Fri Dec 11 01:47:43 2015 | read events=10665 | good events=10665 | store events=10665 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=3375.67 | duration=3.2 | trig info=1
run=153 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:44 2015 | stopping date=Fri Dec 11 01:47:46 2015 | read events=10770 | good events=10770 | store events=10770 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=3425.67 | duration=3.2 | trig info=0
run=154 | aqcuisition status=Running | starting date=Fri Dec 11 01:47:47 2015 | stopping date=Fri Dec 11 01:47:49 2015 | read events=10326 | good events=10325 | store events=10325 | wrong number of blocks=0 | block errors=1 | nfiles=20 | frequency=3269.00 | duration=3.2 | trig info=0
