# DataSet FAZIAPRE
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIAPRE-FEB2018/
run=68 | starting date=Tue Feb  6 01:57:06 2018 | nfiles=10 | size(GB)=0.93
run=69 | starting date=Tue Feb  6 01:58:52 2018 | nfiles=10 | size(GB)=0.93
run=70 | starting date=Tue Feb  6 02:00:35 2018 | nfiles=10 | size(GB)=0.93
run=71 | starting date=Tue Feb  6 02:02:17 2018 | nfiles=10 | size(GB)=0.93
run=72 | starting date=Tue Feb  6 02:04:01 2018 | nfiles=10 | size(GB)=0.93
run=73 | starting date=Tue Feb  6 02:05:47 2018 | nfiles=4 | size(GB)=0.36
run=74 | starting date=Tue Feb  6 02:13:07 2018 | nfiles=5 | size(GB)=0.41
run=75 | starting date=Tue Feb  6 02:15:22 2018 | nfiles=10 | size(GB)=0.93
run=76 | starting date=Tue Feb  6 02:17:16 2018 | nfiles=10 | size(GB)=0.93
run=77 | starting date=Tue Feb  6 02:19:05 2018 | nfiles=2 | size(GB)=0.16
run=78 | starting date=Tue Feb  6 02:25:48 2018 | nfiles=10 | size(GB)=0.93
run=79 | starting date=Tue Feb  6 02:27:31 2018 | nfiles=6 | size(GB)=0.47
run=80 | starting date=Tue Feb  6 02:31:48 2018 | nfiles=10 | size(GB)=0.93
run=81 | starting date=Tue Feb  6 02:33:32 2018 | nfiles=10 | size(GB)=0.93
run=82 | starting date=Tue Feb  6 02:35:18 2018 | nfiles=10 | size(GB)=0.93
run=83 | starting date=Tue Feb  6 02:37:07 2018 | nfiles=10 | size(GB)=0.93
run=84 | starting date=Tue Feb  6 02:38:55 2018 | nfiles=10 | size(GB)=0.93
run=85 | starting date=Tue Feb  6 02:40:42 2018 | nfiles=10 | size(GB)=0.93
run=86 | starting date=Tue Feb  6 02:42:23 2018 | nfiles=10 | size(GB)=0.93
run=87 | starting date=Tue Feb  6 02:44:10 2018 | nfiles=10 | size(GB)=0.93
run=88 | starting date=Tue Feb  6 02:45:56 2018 | nfiles=10 | size(GB)=0.93
run=89 | starting date=Tue Feb  6 02:47:41 2018 | nfiles=10 | size(GB)=0.93
