RunRange: 113-531
SI_0613_GG: 97.4811
SI_0613_PG: 61.9127
SI_0614_GG: 87.0826
SI_0614_PG: 63.1796
SI_0615_GG: 91.355
SI_0615_PG: 61.6292
SI_0616_GG: 97.1957
SI_0616_PG: 61.2241
SI_0617_GG: 36.6423
SI_0617_PG: 48.058
SI_0618_GG: 106.512
SI_0618_PG: 60.9432
SI_0619_GG: 96.714
SI_0619_PG: 61.2556
SI_0620_GG: 88.9584
SI_0620_PG: 62.7244
SI_0621_GG: 87.673
SI_0621_PG: 62.667
SI_0622_GG: 94.5194
SI_0622_PG: 61.1703
SI_0623_GG: 93.2179
SI_0623_PG: 60.1872
SI_0624_GG: 91.4845
SI_0624_PG: 61.4058
SI_0701_GG: 120.06
SI_0701_PG: 60.6776
SI_0702_GG: 103.105
SI_0702_PG: 65.634
SI_0703_GG: 107.653
SI_0703_PG: 63.9577
SI_0704_GG: 98.5436
SI_0704_PG: 62.179
SI_0705_GG: 100.843
SI_0705_PG: 61.5675
SI_0706_GG: 103.111
SI_0706_PG: 62.9544
SI_0707_GG: 93.3135
SI_0707_PG: 63.3464
SI_0708_GG: 108.286
SI_0708_PG: 62.6955
SI_0709_GG: 65.4059
SI_0709_PG: 75.335
SI_0710_GG: 72.5335
SI_0710_PG: 73.194
SI_0711_GG: 69.3365
SI_0711_PG: 72.9206
SI_0712_GG: 66.2564
SI_0712_PG: 73.8355
SI_0713_GG: 68.9327
SI_0713_PG: 73.5758
SI_0714_GG: 75.8443
SI_0714_PG: 74.9552
SI_0715_GG: 85.7302
SI_0715_PG: 73.0466
SI_0716_GG: 88.9415
SI_0716_PG: 73.3304
SI_0717_GG: 87.5071
SI_0717_PG: 74.074
SI_0718_GG: 98.9601
SI_0718_PG: 76.2059
SI_0719_GG: 97.4925
SI_0719_PG: 73.1309
SI_0720_GG: 65.3136
SI_0720_PG: 69.058
SI_0721_GG: 78.0628
SI_0721_PG: 73.2622
SI_0722_GG: 79.1936
SI_0722_PG: 74.2584
SI_0723_GG: 84.7374
SI_0723_PG: 74.7906
SI_0724_GG: 82.5433
SI_0724_PG: 73.0292
SI_0801_GG: 89.1387
SI_0801_PG: 74.9497
SI_0802_GG: 90.94
SI_0802_PG: 73.8765
SI_0803_GG: 93.2261
SI_0803_PG: 74.4413
SI_0804_GG: 91.149
SI_0804_PG: 73.583
SI_0805_GG: 89.9647
SI_0805_PG: 73.4206
SI_0806_GG: 94.4522
SI_0806_PG: 74.4248
SI_0807_GG: 90.2809
SI_0807_PG: 73.5908
SI_0808_GG: 74.096
SI_0808_PG: 67.5412
SI_0809_GG: 96.9208
SI_0809_PG: 73.9558
SI_0810_GG: 96.1004
SI_0810_PG: 74.0066
SI_0811_GG: 96.5386
SI_0811_PG: 73.9999
SI_0812_GG: 100.019
SI_0812_PG: 73.9403
SI_0813_GG: 98.87
SI_0813_PG: 74.8644
SI_0814_GG: 96.4922
SI_0814_PG: 74.94
SI_0815_GG: 94.9514
SI_0815_PG: 75.2934
SI_0816_GG: 110.632
SI_0816_PG: 75.2107
SI_0817_GG: 62.5145
SI_0817_PG: 81.9298
SI_0818_GG: 56.5389
SI_0818_PG: 82.5779
SI_0819_GG: 59.4567
SI_0819_PG: 85.1282
SI_0820_GG: 58.0187
SI_0820_PG: 83.7125
SI_0821_GG: 37.1964
SI_0821_PG: 84.1469
SI_0822_GG: 66.3664
SI_0822_PG: 85.5409
SI_0823_GG: 67.302
