// PACE2_2009.DATA
//Mass Excess in MeV
//This is the same as pace2_2001.data except the format is much simpler to read :)
//------
//Each line is:
//z a massexcess
//------
//
26 53 -50.9433
26 54 -56.2505
26 55 -57.4771
26 56 -60.6038
26 57 -60.1786
26 58 -62.1519
26 59 -60.6616
26 60 -61.404
26 61 -58.9266
26 62 -58.9198
27 51 -27.2174
27 52 -34.2311
27 53 -42.6389
27 54 -48.009
27 55 -54.0256
27 56 -56.0377
27 57 -59.3421
27 58 -59.844
27 59 -62.2264
27 60 -61.6466
27 61 -62.897
27 62 -61.4234
27 63 -61.8389
27 64 -59.7913
27 65 -59.1595
28 53 -29.4089
28 54 -39.2072
28 55 -45.3296
28 56 -53.9013
28 57 -56.0771
28 58 -60.2247
28 59 -61.1533
28 60 -64.4702
28 61 -64.2191
28 62 -66.7454
28 63 -65.5125
28 64 -67.0979
28 65 -65.1248
28 66 -66.021
28 67 -63.7436
28 68 -63.4786
29 55 -31.5296
29 56 -38.5013
29 57 -47.3771
29 58 -51.6621
29 59 -56.3527
29 60 -58.3433
29 61 -61.9804
29 62 -62.7964
29 63 -65.5784
29 64 -65.423
29 65 -67.2612
29 66 -66.2566
29 67 -67.303
29 68 -65.5563
29 69 -65.7444
29 70 -62.9831
30 57 -32.6071
30 58 -42.2047
30 59 -47.2327
30 60 -54.1847
30 61 -56.3418
30 62 -61.1688
30 63 -62.2109
30 64 -66.0009
30 65 -65.9093
30 66 -68.8984
30 67 -67.879
30 68 -70.0058
30 69 -68.4167
30 70 -69.5607
30 71 -67.3246
30 72 -68.1335
30 73 -65.0039
30 74 -65.5705
30 75 -62.3649
30 76 -62.4644
30 77 -58.9153
30 78 -57.9627
31 61 -47.5418
31 62 -51.9978
31 63 -56.6909
31 64 -58.8361
31 65 -62.6536
31 66 -63.7234
31 67 -66.878
31 68 -67.0847
31 69 -69.3221
31 70 -68.9059
31 71 -70.1411
31 72 -68.5907
31 73 -69.7039
31 74 -67.9985
31 75 -68.4649
31 76 -66.4444
31 77 -66.4153
31 78 -63.9727
31 79 -62.7554
31 80 -59.4869
31 81 -57.9747
32 63 -47.2909
32 64 -54.4261
32 65 -56.4119
32 66 -61.6214
32 67 -62.6552
32 68 -66.9778
32 69 -67.0969
32 70 -70.561
32 71 -69.9054
32 72 -72.5836
32 73 -71.2948
32 74 -73.4235
32 75 -71.8576
32 76 -73.2144
32 77 -71.2153
32 78 -71.8627
32 79 -69.5254
32 80 -69.4869
32 81 -66.2947
32 82 -65.3726
33 65 -47.3119
33 66 -52.0714
33 67 -56.6452
33 68 -58.8778
33 69 -63.0801
33 70 -64.339
33 71 -67.8928
33 72 -68.2282
33 73 -70.9486
33 74 -70.8614
33 75 -73.0359
33 76 -72.2915
33 77 -73.9162
33 78 -72.815
33 79 -73.6354
33 80 -72.1761
33 81 -72.5247
33 82 -70.0726
33 83 -69.8779
33 84 -66.1754
34 67 -46.8552
34 68 -54.1778
34 69 -56.2922
34 70 -61.589
34 71 -63.0928
34 72 -67.8976
34 73 -68.2087
34 74 -72.2158
34 75 -72.1721
34 76 -75.2553
34 77 -74.6028
34 78 -77.0292
34 79 -75.9202
34 80 -77.7609
34 81 -76.3907
34 82 -77.5912
34 83 -75.3379
34 84 -75.9474
34 85 -72.4172
34 86 -70.5418
35 69 -46.7922
35 70 -51.189
35 71 -56.4928
35 72 -58.9282
35 73 -63.6309
35 74 -65.2985
35 75 -69.1621
35 76 -70.3033
35 77 -73.238
35 78 -73.4554
35 79 -76.0696
35 80 -75.8906
35 81 -77.978
35 82 -77.4996
35 83 -79.0049
35 84 -77.7754
35 85 -78.6072
35 86 -75.6418
35 87 -73.8758
35 88 -70.7167
35 89 -68.2181
35 90 -64.2638
36 71 -46.2928
36 72 -53.8712
36 73 -56.893
36 74 -62.0185
36 75 -64.1621
36 76 -68.9713
36 77 -70.231
36 78 -74.1501
36 79 -74.4389
36 80 -77.8941
36 81 -77.6972
36 82 -80.5921
36 83 -79.9823
36 84 -82.4297
36 85 -81.4772
36 86 -83.2618
36 87 -80.7058
36 88 -79.6867
36 89 -76.7181
36 90 -74.9638
36 91 -71.385
36 92 -68.6634
36 93 -64.1105
37 74 -52.0737
37 75 -57.5542
37 76 -60.8087
37 77 -65.1262
37 78 -67.1263
37 79 -70.9131
37 80 -72.1873
37 81 -75.4603
37 82 -76.2084
37 83 -79.0195
37 84 -79.7478
37 85 -82.1646
37 86 -82.7435
37 87 -84.5919
37 88 -82.5975
37 89 -81.7081
37 90 -79.3538
37 91 -77.805
37 92 -74.8234
37 93 -72.6405
37 94 -68.649
37 95 -65.7284
37 96 -61.1361
37 97 -58.1511
37 98 -54.0596
37 99 -50.5566
38 77 -57.8322
38 78 -63.6501
38 79 -65.7607
38 80 -70.1902
38 81 -71.4703
38 82 -75.9976
38 83 -76.7661
38 84 -80.6406
38 85 -81.0961
38 86 -84.5174
38 87 -84.8742
38 88 -87.9158
38 89 -86.2087
38 90 -85.9402
38 91 -83.6645
38 92 -82.9439
38 93 -80.1056
38 94 -78.8379
38 95 -75.0437
38 96 -72.9067
38 97 -68.7639
38 98 -66.5391
38 99 -62.2713
38 100 -60.253
39 79 -58.3131
39 80 -61.4902
39 81 -65.9553
39 82 -68.1776
39 83 -72.3551
39 84 -74.1706
39 85 -77.8361
39 86 -79.2774
39 87 -83.0131
39 88 -84.2932
39 89 -87.7007
39 90 -86.4864
39 91 -86.3491
39 92 -84.8355
39 93 -84.2318
39 94 -82.3495
39 95 -81.2151
39 96 -78.3201
39 97 -76.2529
39 98 -72.4
39 99 -70.2013
39 100 -66.853
39 101 -64.3862
40 81 -58.7953
40 82 -64.1776
40 83 -66.3461
40 84 -71.4406
40 85 -73.1461
40 86 -77.9774
40 87 -79.3471
40 88 -83.6251
40 89 -84.8668
40 90 -88.7692
40 91 -87.8942
40 92 -88.458
40 93 -87.1207
40 94 -87.269
40 95 -85.6603
40 96 -85.443
40 97 -82.9508
40 98 -81.2908
40 99 -77.7713
40 100 -76.653
40 101 -73.1062
40 102 -71.7615
40 103 -67.6191
41 84 -79.3995
41 85 -66.7361
41 86 -69.5774
41 87 -74.1781
41 88 -76.4251
41 89 -80.6231
41 90 -82.6582
41 91 -86.6391
41 92 -86.452
41 93 -87.2107
41 94 -86.3689
41 95 -86.7843
41 96 -85.6058
41 97 -85.609
41 98 -83.5287
41 99 -82.3313
41 100 -79.983
41 101 -78.8862
41 102 -76.3515
41 103 -75.1191
41 104 -71.7761
41 105 -69.7348
42 87 -67.4401
42 88 -72.8251
42 89 -75.0048
42 90 -80.1712
42 91 -82.2006
42 92 -86.809
42 93 -86.8048
42 94 -88.414
42 95 -87.7099
42 96 -88.7928
42 97 -87.5428
42 98 -88.1139
42 99 -85.9681
42 100 -86.1884
42 101 -83.5162
42 102 -83.5615
42 103 -80.6191
42 104 -80.4761
42 105 -76.7348
42 106 -76.429
42 107 -72.5139
43 90 -70.9712
43 91 -75.9786
43 92 -78.9375
43 93 -83.612
43 94 -84.158
43 95 -86.0183
43 96 -85.8196
43 97 -87.2225
43 98 -86.4306
43 99 -87.3251
43 100 -86.0181
43 101 -86.3264
43 102 -84.6001
43 103 -84.6191
43 104 -82.4761
43 105 -82.2348
43 106 -79.629
43 107 -78.8639
43 108 -76.0206
43 109 -74.9191
44 92 -74.409
44 93 -77.292
44 94 -82.5633
44 95 -83.4458
44 96 -86.0674
44 97 -86.1075
44 98 -88.2254
44 99 -87.6187
44 100 -89.2206
44 101 -87.9508
44 102 -89.0997
44 103 -87.2608
44 104 -88.0961
44 105 -85.9348
44 106 -86.329
44 107 -83.7139
44 108 -83.8206
44 109 -80.8191
44 110 -80.4363
44 111 -76.9171
45 94 -72.9633
45 95 -78.3358
45 96 -79.6259
45 97 -82.5975
45 98 -83.168
45 99 -85.5264
45 100 -85.5906
45 101 -87.4133
45 102 -86.7636
45 103 -88.0274
45 104 -86.9551
45 105 -87.8516
45 106 -86.3684
45 107 -86.8639
45 108 -85.0206
45 109 -85.0191
45 110 -82.9363
45 111 -82.4171
45 112 -79.728
45 113 -78.8413
46 96 -76.3674
46 97 -77.7975
46 98 -81.2954
46 99 -82.1641
46 100 -85.2071
46 101 -85.4313
46 102 -87.9026
46 103 -87.4551
46 104 -89.3954
46 105 -88.4181
46 106 -89.9088
46 107 -88.3739
46 108 -89.5206
46 109 -87.6032
46 110 -88.3363
46 111 -86.0171
46 112 -86.328
46 113 -83.6813
46 114 -83.573
46 115 -80.3948
46 116 -79.9067
47 98 -72.668
47 99 -76.7341
47 100 -78.1321
47 101 -81.2213
47 102 -82.0226
47 103 -84.7851
47 104 -85.1167
47 105 -87.0759
47 106 -86.9439
47 107 -88.4071
47 108 -87.6053
47 109 -88.7191
47 110 -87.4569
47 111 -88.2171
47 112 -86.6215
47 113 -87.0413
47 114 -85.023
47 115 -84.9548
47 116 -82.5217
