######## Name of Calibrator
<NAME> Piedestal
######## List of runs where the following parameters
######## are valid. If it is 0 it means that the entire run range
######## of the dataset is concerned
######## You can define any run range number as you need
<RUNLIST> 2-68 70 90
######## Following columns
## Name of the Detector Signal FunctionDefinition:Parameters
<ITEM> CI_1215_PG pol0 23.8785
<ITEM> CI_1217_GG pol0 82.8083
<ITEM> CI_1217_PG pol0 21.112
<ITEM> CI_1219_GG pol0 89.0798
<ITEM> CI_1219_PG pol0 22.2039
<ITEM> CI_1221_GG pol0 88.3314
<ITEM> CI_1221_PG pol0 20.4267
<ITEM> CI_1223_GG pol0 73.7887
<ITEM> CI_1223_PG pol0 21.957
<ITEM> SI75_10_GG pol0 55.0724
<ITEM> SI75_10_PG pol0 61.2602
<ITEM> SILI_10_GG pol0 53.6224
<ITEM> SILI_10_PG pol0 61.9863
<ITEM> SI75_11_GG pol0 45.8057
<ITEM> SI75_11_PG pol0 62.9718
<ITEM> SILI_11_GG pol0 47.0248
<ITEM> SILI_11_PG pol0 61.5137
<ITEM> SI75_12_GG pol0 50.4241
<ITEM> SI75_12_PG pol0 60.4973
<ITEM> SILI_12_GG pol0 94.4043
<ITEM> SILI_12_PG pol0 21.6908
<ITEM> SI75_13_GG pol0 31.9339
<ITEM> SI75_13_PG pol0 60.4474
<ITEM> SILI_13_GG pol0 41.8241
<ITEM> SILI_13_PG pol0 60.5661
<ITEM> SI75_14_GG pol0 35.3263
<ITEM> SI75_14_PG pol0 59.4828
<ITEM> SILI_14_GG pol0 45.3649
<ITEM> SILI_14_PG pol0 59.4613
<ITEM> SI75_15_GG pol0 35.5251
<ITEM> SI75_15_PG pol0 59.3364
<ITEM> SILI_15_GG pol0 52.3763
<ITEM> SILI_15_PG pol0 57.3975
<ITEM> SI75_16_GG pol0 6.51087
<ITEM> SI75_16_PG pol0 54.2329
<ITEM> SILI_16_GG pol0 43.5062
<ITEM> SILI_16_PG pol0 58.1263
<ITEM> SI75_17_GG pol0 34.5435
<ITEM> SI75_17_PG pol0 58.623
<ITEM> SILI_17_GG pol0 60.73
<ITEM> SILI_17_PG pol0 59.1075
<ITEM> SI_0201_GG pol0 84.7049
<ITEM> SI_0201_PG pol0 74.1175
<ITEM> CSI_0201_R pol0 19.4278
<ITEM> CSI_0201_L pol0 41.3526
<ITEM> SI_0203_GG pol0 83.127
<ITEM> SI_0203_PG pol0 72.3487
<ITEM> CSI_0203_R pol0 22.3781
<ITEM> CSI_0203_L pol0 43.7468
<ITEM> SI_0205_GG pol0 85.4184
<ITEM> SI_0205_PG pol0 73.7628
<ITEM> CSI_0205_R pol0 21.7595
<ITEM> CSI_0205_L pol0 42.2034
<ITEM> SI_0207_GG pol0 85.4311
<ITEM> SI_0207_PG pol0 71.4073
<ITEM> CSI_0207_R pol0 23.4556
<ITEM> CSI_0207_L pol0 45.9162
<ITEM> SI_0209_GG pol0 97.0257
<ITEM> SI_0209_PG pol0 70.7291
<ITEM> CSI_0209_R pol0 20.7076
<ITEM> CSI_0209_L pol0 39.5475
<ITEM> SI_0211_GG pol0 92.7533
<ITEM> SI_0211_PG pol0 70.7149
<ITEM> CSI_0211_R pol0 21.7254
<ITEM> CSI_0211_L pol0 44.7064
<ITEM> SI_0213_GG pol0 106.651
<ITEM> SI_0213_PG pol0 70.364
<ITEM> CSI_0213_R pol0 16.4844
<ITEM> CSI_0213_L pol0 38.9049
<ITEM> SI_0215_GG pol0 55.3082
<ITEM> SI_0215_PG pol0 62.034
<ITEM> CSI_0215_R pol0 16.8279
<ITEM> CSI_0215_L pol0 36.4476
<ITEM> SI_0217_GG pol0 102.023
<ITEM> SI_0217_PG pol0 71.5818
<ITEM> CSI_0217_R pol0 16.2099
<ITEM> CSI_0217_L pol0 36.674
<ITEM> SI_0219_GG pol0 106.46
<ITEM> SI_0219_PG pol0 71.239
<ITEM> CSI_0219_R pol0 14.6439
<ITEM> CSI_0219_L pol0 37.0036
<ITEM> SI_0221_GG pol0 96.9715
<ITEM> SI_0221_PG pol0 72.1099
<ITEM> CSI_0221_R pol0 9.4379
<ITEM> CSI_0221_L pol0 29.7657
<ITEM> SI_0223_GG pol0 73.9939
<ITEM> SI_0223_PG pol0 65.0126
<ITEM> CSI_0223_R pol0 8.88447
<ITEM> CSI_0223_L pol0 31.532
<ITEM> SI_0301_GG pol0 111.326
<ITEM> SI_0301_PG pol0 75.0234
<ITEM> CSI_0301_R pol0 15.7469
<ITEM> CSI_0301_L pol0 35.0905
<ITEM> SI_0302_GG pol0 106.081
<ITEM> SI_0302_PG pol0 73.8008
<ITEM> CSI_0302_R pol0 21.2952
<ITEM> CSI_0302_L pol0 39.8221
<ITEM> SI_0303_GG pol0 136.615
<ITEM> SI_0303_PG pol0 73.462
<ITEM> CSI_0303_R pol0 23.5156
<ITEM> CSI_0303_L pol0 41.6675
<ITEM> SI_0304_GG pol0 120.081
<ITEM> SI_0304_PG pol0 72.1298
<ITEM> CSI_0304_R pol0 24.2894
<ITEM> CSI_0304_L pol0 43.001
<ITEM> SI_0305_GG pol0 107.792
<ITEM> SI_0305_PG pol0 70.4395
<ITEM> CSI_0305_R pol0 20.4982
<ITEM> CSI_0305_L pol0 39.5327
<ITEM> SI_0306_GG pol0 114.49
<ITEM> SI_0306_PG pol0 71.5868
<ITEM> CSI_0306_R pol0 22.045
<ITEM> CSI_0306_L pol0 40.1192
<ITEM> SI_0307_GG pol0 112.607
<ITEM> SI_0307_PG pol0 71.3625
<ITEM> CSI_0307_R pol0 24.3356
<ITEM> CSI_0307_L pol0 41.5071
<ITEM> SI_0308_GG pol0 126.501
<ITEM> SI_0308_PG pol0 70.4605
<ITEM> CSI_0308_R pol0 24.3142
<ITEM> CSI_0308_L pol0 43.8843
<ITEM> SI_0309_GG pol0 103.809
<ITEM> SI_0309_PG pol0 90.4241
<ITEM> CSI_0309_R pol0 20.2424
<ITEM> CSI_0309_L pol0 41.6587
<ITEM> SI_0310_GG pol0 111.427
<ITEM> SI_0310_PG pol0 91.9071
<ITEM> CSI_0310_R pol0 22.3718
<ITEM> CSI_0310_L pol0 43.1858
<ITEM> SI_0311_GG pol0 107.459
<ITEM> SI_0311_PG pol0 94.318
<ITEM> CSI_0311_R pol0 21.9283
<ITEM> CSI_0311_L pol0 43.7989
<ITEM> SI_0312_GG pol0 117.645
<ITEM> SI_0312_PG pol0 95.5329
<ITEM> CSI_0312_R pol0 20.4891
<ITEM> CSI_0312_L pol0 40.9239
<ITEM> SI_0313_GG pol0 103.861
<ITEM> SI_0313_PG pol0 94.1433
<ITEM> CSI_0313_R pol0 15.8354
<ITEM> CSI_0313_L pol0 36.6132
<ITEM> SI_0314_GG pol0 112.008
<ITEM> SI_0314_PG pol0 93.631
<ITEM> CSI_0314_R pol0 17.2867
<ITEM> CSI_0314_L pol0 39.8048
<ITEM> SI_0315_GG pol0 110.017
<ITEM> SI_0315_PG pol0 94.4404
<ITEM> CSI_0315_R pol0 16.3855
<ITEM> CSI_0315_L pol0 38.5148
<ITEM> SI_0316_GG pol0 102.287
<ITEM> SI_0316_PG pol0 91.8839
<ITEM> CSI_0316_R pol0 14.8517
<ITEM> CSI_0316_L pol0 34.8803
<ITEM> SI_0317_GG pol0 112.234
<ITEM> SI_0317_PG pol0 88.9525
<ITEM> CSI_0317_R pol0 16.7274
<ITEM> CSI_0317_L pol0 34.385
<ITEM> SI_0318_GG pol0 114.482
<ITEM> SI_0318_PG pol0 89.8115
<ITEM> CSI_0318_R pol0 45.4716
<ITEM> CSI_0318_L pol0 63.7404
<ITEM> SI_0319_GG pol0 20.8078
<ITEM> SI_0319_PG pol0 82.5331
<ITEM> CSI_0319_R pol0 16.266
<ITEM> CSI_0319_L pol0 33.5188
<ITEM> SI_0320_GG pol0 116.36
<ITEM> SI_0320_PG pol0 89.9509
<ITEM> CSI_0320_R pol0 16.6555
<ITEM> CSI_0320_L pol0 34.5722
<ITEM> SI_0321_GG pol0 111.068
<ITEM> SI_0321_PG pol0 88.7906
<ITEM> CSI_0321_R pol0 10.8031
<ITEM> CSI_0321_L pol0 27.3392
<ITEM> SI_0322_GG pol0 101.03
<ITEM> SI_0322_PG pol0 86.4794
<ITEM> CSI_0322_R pol0 9.45233
<ITEM> CSI_0322_L pol0 27.9612
<ITEM> SI_0323_GG pol0 118.114
<ITEM> SI_0323_PG pol0 88.4429
<ITEM> CSI_0323_R pol0 10.6746
<ITEM> CSI_0323_L pol0 31.5058
<ITEM> SI_0324_GG pol0 115.381
<ITEM> SI_0324_PG pol0 87.1039
<ITEM> CSI_0324_R pol0 10.8997
<ITEM> CSI_0324_L pol0 28.5416
<ITEM> SI_0401_GG pol0 132.007
<ITEM> SI_0401_PG pol0 90.5831
<ITEM> CSI_0401_R pol0 24.5762
<ITEM> CSI_0401_L pol0 37.1896
<ITEM> SI_0402_GG pol0 135.15
<ITEM> SI_0402_PG pol0 90.3039
<ITEM> CSI_0402_R pol0 27.3716
<ITEM> CSI_0402_L pol0 40.5397
<ITEM> SI_0403_GG pol0 133.075
<ITEM> SI_0403_PG pol0 88.7863
<ITEM> CSI_0403_R pol0 27.2229
<ITEM> CSI_0403_L pol0 38.318
<ITEM> SI_0404_GG pol0 134.838
<ITEM> SI_0404_PG pol0 89.6804
<ITEM> CSI_0404_R pol0 30.2473
<ITEM> CSI_0404_L pol0 41.7443
<ITEM> SI_0405_GG pol0 142.029
<ITEM> SI_0405_PG pol0 89.0169
<ITEM> CSI_0405_R pol0 26.2622
<ITEM> CSI_0405_L pol0 37.2658
<ITEM> SI_0406_GG pol0 125.57
<ITEM> SI_0406_PG pol0 88.1237
<ITEM> CSI_0406_R pol0 30.1853
<ITEM> CSI_0406_L pol0 39.2254
<ITEM> SI_0407_GG pol0 125.702
<ITEM> SI_0407_PG pol0 90.1404
<ITEM> CSI_0407_R pol0 30.4044
<ITEM> CSI_0407_L pol0 41.771
<ITEM> SI_0408_GG pol0 135.241
<ITEM> SI_0408_PG pol0 89.6382
<ITEM> CSI_0408_R pol0 28.6227
<ITEM> CSI_0408_L pol0 40.8761
<ITEM> SI_0409_GG pol0 127.951
<ITEM> SI_0409_PG pol0 89.0055
<ITEM> CSI_0409_R pol0 28.8499
<ITEM> CSI_0409_L pol0 39.6188
<ITEM> SI_0410_GG pol0 139.884
<ITEM> SI_0410_PG pol0 89.523
<ITEM> CSI_0410_R pol0 29.6701
<ITEM> CSI_0410_L pol0 39.1868
<ITEM> SI_0411_GG pol0 138.954
<ITEM> SI_0411_PG pol0 88.7167
<ITEM> CSI_0411_R pol0 29.4236
<ITEM> CSI_0411_L pol0 38.6269
<ITEM> SI_0412_GG pol0 138.269
<ITEM> SI_0412_PG pol0 90.7222
<ITEM> CSI_0412_R pol0 30.3413
<ITEM> CSI_0412_L pol0 39.4855
<ITEM> SI_0413_GG pol0 135.275
<ITEM> SI_0413_PG pol0 89.3595
<ITEM> CSI_0413_R pol0 25.968
<ITEM> CSI_0413_L pol0 34.8546
<ITEM> SI_0414_GG pol0 129.856
<ITEM> SI_0414_PG pol0 88.3147
<ITEM> CSI_0414_R pol0 25.3866
<ITEM> CSI_0414_L pol0 36.0297
<ITEM> SI_0415_GG pol0 129.548
<ITEM> SI_0415_PG pol0 88.8134
<ITEM> CSI_0415_R pol0 24.3721
<ITEM> CSI_0415_L pol0 33.8683
<ITEM> SI_0416_GG pol0 129.771
<ITEM> SI_0416_PG pol0 88.795
<ITEM> CSI_0416_R pol0 26.5691
<ITEM> CSI_0416_L pol0 35.8503
<ITEM> SI_0417_GG pol0 112.084
<ITEM> SI_0417_PG pol0 83.1106
<ITEM> CSI_0417_R pol0 23.4455
<ITEM> CSI_0417_L pol0 33.5143
<ITEM> SI_0418_GG pol0 82.602
<ITEM> SI_0418_PG pol0 84.5773
<ITEM> CSI_0418_R pol0 23.0269
<ITEM> CSI_0418_L pol0 34.4698
<ITEM> SI_0419_GG pol0 83.1859
<ITEM> SI_0419_PG pol0 84.4128
<ITEM> CSI_0419_R pol0 23.4287
<ITEM> CSI_0419_L pol0 35.1847
<ITEM> SI_0420_GG pol0 85.096
<ITEM> SI_0420_PG pol0 84.2999
<ITEM> CSI_0420_R pol0 20.6271
<ITEM> CSI_0420_L pol0 30.5028
<ITEM> SI_0421_GG pol0 84.1348
<ITEM> SI_0421_PG pol0 86.0574
<ITEM> CSI_0421_R pol0 16.2275
<ITEM> CSI_0421_L pol0 25.4656
<ITEM> SI_0422_GG pol0 81.5175
<ITEM> SI_0422_PG pol0 86.999
<ITEM> CSI_0422_R pol0 18.5605
<ITEM> CSI_0422_L pol0 29.3402
<ITEM> SI_0423_GG pol0 91.505
<ITEM> SI_0423_PG pol0 87.1968
<ITEM> CSI_0423_R pol0 16.4174
