# DataSet FAZIACOR
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIACOR-MAR17/
run=158 | starting date=Sat Mar 11 05:06:59 2017 | nfiles=10 | size(GB)=0.93
run=159 | starting date=Sat Mar 11 05:49:03 2017 | nfiles=10 | size(GB)=0.93
run=160 | starting date=Sat Mar 11 06:30:42 2017 | nfiles=10 | size(GB)=0.93
run=161 | starting date=Sat Mar 11 07:12:46 2017 | nfiles=10 | size(GB)=0.93
run=162 | starting date=Sat Mar 11 07:54:46 2017 | nfiles=2 | size(GB)=0.17
run=163 | starting date=Sat Mar 11 09:47:38 2017 | nfiles=10 | size(GB)=0.93
run=164 | starting date=Sat Mar 11 12:03:51 2017 | nfiles=10 | size(GB)=0.93
run=165 | starting date=Sat Mar 11 13:03:03 2017 | nfiles=10 | size(GB)=0.93
run=166 | starting date=Sat Mar 11 14:01:01 2017 | nfiles=10 | size(GB)=0.93
run=167 | starting date=Sun Mar 12 10:52:19 2017 | nfiles=10 | size(GB)=0.93
run=168 | starting date=Sun Mar 12 10:59:32 2017 | nfiles=10 | size(GB)=0.93
run=169 | starting date=Sun Mar 12 11:02:19 2017 | nfiles=10 | size(GB)=0.93
run=170 | starting date=Sun Mar 12 11:03:57 2017 | nfiles=10 | size(GB)=0.93
run=171 | starting date=Sun Mar 12 11:05:37 2017 | nfiles=10 | size(GB)=0.93
run=172 | starting date=Sun Mar 12 11:07:14 2017 | nfiles=10 | size(GB)=0.93
run=173 | starting date=Sun Mar 12 11:09:11 2017 | nfiles=10 | size(GB)=0.93
run=174 | starting date=Sun Mar 12 11:11:32 2017 | nfiles=10 | size(GB)=0.93
run=175 | starting date=Sun Mar 12 11:14:14 2017 | nfiles=10 | size(GB)=0.93
run=176 | starting date=Sun Mar 12 11:16:50 2017 | nfiles=10 | size(GB)=0.93
run=177 | starting date=Sun Mar 12 11:19:25 2017 | nfiles=2 | size(GB)=0.17
run=178 | starting date=Mon Mar 13 09:40:28 2017 | nfiles=10 | size(GB)=0.90
run=179 | starting date=Mon Mar 13 10:45:54 2017 | nfiles=10 | size(GB)=0.93
run=180 | starting date=Mon Mar 13 11:47:27 2017 | nfiles=10 | size(GB)=0.93
run=181 | starting date=Mon Mar 13 12:48:18 2017 | nfiles=10 | size(GB)=0.93
run=182 | starting date=Mon Mar 13 13:48:58 2017 | nfiles=10 | size(GB)=0.93
run=183 | starting date=Mon Mar 13 14:50:02 2017 | nfiles=10 | size(GB)=0.93
run=184 | starting date=Mon Mar 13 15:50:28 2017 | nfiles=10 | size(GB)=0.93
run=185 | starting date=Mon Mar 13 16:50:56 2017 | nfiles=10 | size(GB)=0.93
run=186 | starting date=Mon Mar 13 17:51:22 2017 | nfiles=10 | size(GB)=0.93
