||INDRA@GANIL|||01/04/2001||E372|||||||18/02/2003 11:50:42|||
|||||||||||||||||
|DLT 1 & 1bis|||Piedestaux/Automate||||||||||18/02/2003 11:50:42|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
2|6032|237937|2375|12117|131435|9474|51239|42.0126105886308|M>=4|112Sn|100.184|12|||||
2|6033|238938|2084|12117|113787|6331|36066|33.5635050625372|M>=4|112Sn|114.653550863724|10|||||
2|6034|239291|2186|12117|122732|6321|42623|36.6142374861482|M>=4|112Sn|109.465233302836|11|||||
2|6035|239161|2032|12117|116956|6324|35103|31.7295176802372|M>=4|112Sn|117.697342519685|12|||||
2|6036|238271|2208|12116|112862|6329|39329|36.9171993654548|M>=4|112Sn|107.91259057971|10|||||
2|6037|238228|2109|12117|112380|6316|36429|34.346243777342|M>=4|112Sn|112.957799905168|10|||||
2|6038|239377|2098|12117|118995|6333|38447|34.1259697147219|M>=4|112Sn|114.097712106768|11|||||
2|6039|240596|1997|12118|121698|6309|34729|30.0973229683939|M>=4|112Sn|120.478718077116|11|||||
2|6040|67239|494|3325|56003|3177|7908|14.9699011850225|M>=4|112Sn|136.111336032389|5|||||
2|6041|246609|1779|12117|140492|6318|27281|20.3325532517477|M>=4|112Sn|138.622259696459|12|||||
2|6042|242985|1724|12117|115143|6329|22552|20.7252743213189|M>=4|112Sn|140.942575406032|11|||||
2|6043|243191|1753|12115|117390|6325|24267|21.8493674875073|M>=4|112Sn|138.728465487735|10|||||
2|6044|37342|249|1832|38909|3166|4642|12.9871583247069|M>=4|112Sn|149.967871485944|4|||||
2|6045|244472|1744|12115|117467|6332|24405|21.9597786475908|M>=4|112Sn|140.178899082569|10|||||
2|6046|246305|1657|12110|157883|9492|27067|18.2403245479847|M>=4|112Sn|148.645141822571|14|||||
2|6047|246927|1537|12113|162062|9484|18048|11.8287040071308|M>=4|112Sn|160.655172413793|14|||||
2|6048|250382|1530|12112|180707|9487|20162|11.7754935171125|M>=4|112Sn|163.648366013072|17|||||
2|6049|242805|1777|12116|139831|9485|25411|19.4950362880334|M>=4|112Sn|136.637591446258|12|||||
|||||||||||||||||
|DLT 2 & 2 Bis|||124Xe + 112 Sn 32 MeV/A||||||||||18/02/2003 11:52:53|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
2|6050|238878|2079|12117|113283|6337|34459|32.2209339292727|M>=4|112Sn|114.900432900433|11|||||
2|6051|238603|1980|12117|113536|6313|31983|29.8284882907585|M>=4|112Sn|120.506565656566|10|||||
2|6052|62878|573|3179|30344|0|10821|35.6610862114421|M>=4|112Sn|109.734729493892|3|||||
2|6053|238079|2152|12119|125228|6326|42714|35.92370187213|M>=4|112Sn|110.631505576208|11|||||
2|6054|239908|2271|12117|134900|6319|50661|39.4000668839098|M>=4|112Sn|105.639806252752|12|||||
2|6055|240919|1968|12114|130363|9498|37203|30.7806230091424|M>=4|112Sn|122.418191056911|12|||||
2|6056|243316|1762|12119|129950|6331|27250|22.04353699674|M>=4|112Sn|138.090805902384|12|||||
2|6057|240941|2661|12117|128484|6318|57368|46.9590557110816|M>=4|112Sn|90.5452837279218|12|||||
2|6058|239215|2850|12118|126053|6335|62003|51.7908752234418|M>=4|112Sn|83.9350877192983|11|||||
2|6059|236665|2928|12028|126207||63015|49.9298771066581|M>=4|112Sn|80.8282103825137|11|||||
2|6060|239812|2682|12117|124411|6337|57203|48.4467367921812|M>=4|112Sn|89.4153616703952|11|||||
2|6061|237780|2865|12118|121280|6318|59842|52.0537220994764|M>=4|112Sn|82.9947643979058|11|||||
2|6062|239440|2735|12118|128142|6343|60197|49.4232300757806|M>=4|112Sn|87.5466179159049|10|||||
2|6063|239706|2594|12116|136767|9496|58570|46.0199102702108|M>=4|112Sn|92.4078643022359|13|||||
2|6064|177752|1624|8742|96982|3163|31346|33.4111427322824|M>=4|112Sn|109.453201970443|9|||||
|||||||||||||||||
|DLT 3 & 3 Bis|||124Xe + 112 Sn 32 MeV/A||||||||||18/02/2003 11:52:53|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
3|6066|242779|1730|12127|90663|6329|17449|20.6903502739109|M>=4|112Sn|140.334682080925|8|||||
3|6067|242143|1745|12111|85420|3167|17752|21.582191531008|M>=4|112Sn|138.763896848138|8|||||
3|6068|241368|1729|12113|91251|6309|17801|20.9566527748346|M>=4|112Sn|139.5997686524|8|||||
