| RUN | TSTART | BEAM | TARGET | E | TRIGGER | RUNTYPE | EVENTS | RUNCOMMENT | 	
| 5233 | 28-FEB-99 13:38:23 | 12C | 197Au | 300 | M>=3 | Phys | 812402 |
| 5234 | 28-FEB-99 14:17:43 | 12C | 197Au | 300 | M>=3 | Phys | 796188 |
| 5235 | 28-FEB-99 15:06:49 | 12C | 197Au | 300 | M>=3 | Phys | 797791 |
| 5236 | 28-FEB-99 16:03:42 | 12C | 197Au | 300 | M>=3 | Phys | 805913 |
| 5237 | 28-FEB-99 16:44:10 | 12C | 197Au | 300 | M>=3 | Phys | 798481 |
| 5238 | 28-FEB-99 17:30:34 | 12C | 197Au | 300 | M>=3 | Phys | 268046 |
| 5239 | 28-FEB-99 18:11:30 | 12C | 197Au | 300 | M>=3 | Phys | 810288 |
| 5240 | 28-FEB-99 18:49:47 | 12C | 197Au | 300 | M>=3 | Phys | 21849 |
| 5241 | 28-FEB-99 18:54:40 | 12C | 197Au | 300 | M>=3 | Phys | 813245 |
| 5242 | 28-FEB-99 19:33:21 | 12C | 197Au | 300 | M>=3 | Phys | 666494 |
| 5243 | 28-FEB-99 20:14:00 | 12C | none | 300 | M>=3 | Phys | 1018124 |  run sans cible a E=300 A.MeV |
| 5244 | 01-MAR-99 00:46:30 | 12C | 197Au | 600 | M>=3 | Phys | 796319 |
| 5245 | 01-MAR-99 01:32:59 | 12C | 197Au | 600 | M>=3 | Phys | 823885 |
| 5246 | 01-MAR-99 02:18:56 | 12C | 197Au | 600 | M>=3 | Phys | 821070 |
| 5247 | 01-MAR-99 03:06:12 | 12C | 197Au | 600 | M>=3 | Phys | 814847 |
| 5248 | 01-MAR-99 03:53:20 | 12C | 197Au | 600 | M>=3 | Phys | 819994 |
| 5249 | 01-MAR-99 04:40:04 | 12C | 197Au | 600 | M>=3 | Phys | 819384 |
| 5250 | 01-MAR-99 05:26:03 | 12C | 197Au | 600 | M>=3 | Phys | 177811 |
| 5251 | 01-MAR-99 05:55:59 | 12C | 197Au | 600 | M>=3 | Phys | 95136 |
| 5252 | 01-MAR-99 06:05:54 | 12C | 197Au | 600 | M>=3 | Phys | 608007 |
| 5253 | 01-MAR-99 06:57:25 | 12C | 197Au | 600 | M>=3 | Phys | 803649 |
| 5254 | 01-MAR-99 07:59:58 | 12C | 197Au | 600 | M>=3 | Phys | 792127 |
| 5255 | 01-MAR-99 09:08:07 | 12C | 197Au | 600 | M>=3 | Phys | 845642 |
| 5256 | 01-MAR-99 09:47:22 | 12C | 197Au | 600 | M>=3 | Phys | 591569 |
| 5257 | 01-MAR-99 10:55:10 | 12C | 197Au | 600 | M>=3 | Phys | 820662 |
| 5258 | 01-MAR-99 11:50:05 | 12C | 197Au | 600 | M>=3 | Phys | 771880 |
| 5259 | 01-MAR-99 13:31:02 | 12C | 197Au | 600 | M>=3 | Phys | 791201 |
| 5260 | 01-MAR-99 14:57:00 | 12C | 197Au | 600 | M>=3 | Phys | 840417 |
| 5261 | 01-MAR-99 15:44:19 | 12C | 197Au | 600 | M>=3 | Phys | 801100 |
| 5262 | 01-MAR-99 16:44:49 | 12C | 197Au | 600 | M>=3 | Phys | 829935 |
| 5263 | 01-MAR-99 17:38:50 | 12C | 197Au | 600 | M>=3 | Phys | 811871 |
| 5264 | 01-MAR-99 18:55:01 | 12C | 197Au | 600 | M>=3 | Phys | 85710 |
| 5265 | 01-MAR-99 19:21:38 | 12C | 197Au | 600 | M>=3 | Phys | 831886 |
| 5266 | 01-MAR-99 20:07:01 | 12C | 197Au | 600 | M>=3 | Phys | 603004 |
| 5267 | 01-MAR-99 21:23:17 | 12C | 197Au | 600 | M>=3 | Phys | 813386 |
| 5268 | 01-MAR-99 22:14:07 | 12C | 197Au | 600 | M>=3 | Phys | 820145 |
| 5269 | 01-MAR-99 23:04:32 | 12C | 197Au | 600 | M>=3 | Phys | 816869 |
| 5270 | 01-MAR-99 23:53:17 | 12C | 197Au | 600 | M>=3 | Phys | 823238 |
| 5271 | 02-MAR-99 00:41:20 | 12C | 197Au | 600 | M>=3 | Phys | 816009 |
| 5272 | 02-MAR-99 01:29:24 | 12C | 197Au | 600 | M>=3 | Phys | 456742 |
| 5273 | 02-MAR-99 02:03:23 | 12C | 197Au | 600 | M>=3 | Phys | 52867 |
| 5274 | 02-MAR-99 02:09:48 | 12C | 197Au | 600 | M>=3 | Phys | 817945 |
| 5275 | 02-MAR-99 03:00:08 | 12C | 197Au | 600 | M>=3 | Phys | 811164 |
| 5276 | 02-MAR-99 03:52:12 | 12C | 197Au | 600 | M>=3 | Phys | 811830 |
| 5277 | 02-MAR-99 04:44:02 | 12C | 197Au | 600 | M>=3 | Phys | 615884 |
| 5278 | 02-MAR-99 05:47:07 | 12C | 197Au | 600 | M>=3 | Phys | 808928 |
| 5279 | 02-MAR-99 06:41:03 | 12C | 197Au | 600 | M>=3 | Phys | 796100 |
| 5280 | 02-MAR-99 07:53:26 | 12C | 197Au | 600 | M>=3 | Phys | 810375 |
| 5281 | 02-MAR-99 08:46:40 | 12C | 197Au | 600 | M>=3 | Phys | 797602 |
| 5282 | 02-MAR-99 09:53:54 | 12C | 197Au | 600 | M>=3 | Phys | 322497 |
| 5283 | 02-MAR-99 11:54:14 | 12C | 197Au | 600 | M>=3 | Phys | 785194 |
| 5284 | 02-MAR-99 13:20:43 | 12C | 197Au | 600 | M>=3 | Phys | 804276 |
| 5285 | 02-MAR-99 14:23:23 | 12C | 197Au | 600 | M>=3 | Phys | 810653 |
| 5286 | 02-MAR-99 15:26:59 | 12C | 197Au | 600 | M>=3 | Phys | 550885 |
| 5287 | 02-MAR-99 16:35:47 | 12C | none | 600 | M>=3 | Phys | 803891 |
| 5288 | 02-MAR-99 18:44:54 | 12C | none | 600 | M>=3 | Phys | 363782 |
| 5289 | 02-MAR-99 19:21:34 | 12C | none | 600 | M>=3 | Phys | 478268 |  Masq. discri CsI C17 |
| 5290 | 02-MAR-99 20:53:22 | 12C | 197Au | 600 | M>=5 | Phys | 537238 |
| 5291 | 02-MAR-99 21:26:20 | 12C | 197Au | 600 | M>=5 | Phys | 559390 |
| 5292 | 02-MAR-99 21:59:00 | 12C | 197Au | 600 | M>=5 | Phys | 559146 |
| 5293 | 02-MAR-99 22:30:54 | 12C | 197Au | 600 | M>=5 | Phys | 563291 |
| 5294 | 02-MAR-99 23:01:09 | 12C | 197Au | 600 | M>=5 | Phys | 542670 |
| 5295 | 02-MAR-99 23:33:12 | 12C | 197Au | 600 | M>=5 | Phys | 551393 |
| 5296 | 03-MAR-99 00:06:11 | 12C | 197Au | 600 | M>=5 | Phys | 541271 |
| 5297 | 03-MAR-99 00:38:57 | 12C | 197Au | 600 | M>=5 | Phys | 542288 |
| 5298 | 03-MAR-99 01:11:09 | 12C | 197Au | 600 | M>=5 | Phys | 563784 |
| 5299 | 03-MAR-99 01:43:10 | 12C | 197Au | 600 | M>=5 | Phys | 565146 |
| 5300 | 03-MAR-99 02:15:21 | 12C | 197Au | 600 | M>=5 | Phys | 539532 |
| 5301 | 03-MAR-99 02:48:00 | 12C | 197Au | 600 | M>=5 | Phys | 541109 |
| 5302 | 03-MAR-99 03:21:20 | 12C | 197Au | 600 | M>=5 | Phys | 234184 |
| 5303 | 03-MAR-99 03:46:23 | 12C | 197Au | 600 | M>=5 | Phys | 563210 |
| 5304 | 03-MAR-99 04:19:46 | 12C | 197Au | 600 | M>=5 | Phys | 565524 |
| 5305 | 03-MAR-99 04:52:43 | 12C | 197Au | 600 | M>=5 | Phys | 544445 |
| 5306 | 03-MAR-99 05:25:41 | 12C | 197Au | 600 | M>=5 | Phys | 256335 |
| 5307 | 03-MAR-99 06:02:41 | 12C | 197Au | 600 | M>=5 | Phys | 539978 |
| 5308 | 03-MAR-99 06:34:55 | 12C | 197Au | 600 | M>=5 | Phys | 412574 |  plantage VME a l'issue de l'enregistrement |
| 5309 | 03-MAR-99 08:25:31 | 12C | 197Au | 600 | M>=5 | Phys | 544254 |
| 5310 | 03-MAR-99 09:20:22 | 12C | 197Au | 600 | M>=5 | Phys | 34099 |  plantage VME |
| 5311 | 03-MAR-99 09:27:22 | 12C | 197Au | 600 | M>=5 | Phys | 27500 |  plantage VME |
| 5312 | 03-MAR-99 09:42:37 | 12C | 197Au | 600 | M>=5 | Phys | 346534 |
| 5313 | 03-MAR-99 11:21:50 |  |  |   |  | Pedestal | 6871 |  Ped. IC-Si |
| 5314 | 03-MAR-99 11:29:09 |  |  |   |  | Pedestal | 5524 |  Ped. CsI |
| 5315 | 03-MAR-99 12:06:22 |  |  |   |  | Automate | 177369 |  Autom. IC |
| 5316 | 03-MAR-99 14:29:01 | 12C | 112Sn | 600 | M>=5 | Phys | 157572 |
| 5317 | 03-MAR-99 14:52:25 | 12C | 112Sn | 600 | M>=5 | Phys | 568739 |
| 5318 | 03-MAR-99 16:07:15 | 12C | 112Sn | 600 | M>=5 | Phys | 26784 |
| 5319 | 03-MAR-99 16:35:44 | 12C | 112Sn | 600 | M>=5 | Phys | 624596 |
| 5320 | 03-MAR-99 17:23:35 | 12C | 112Sn | 600 | M>=5 | Phys | 626208 |
| 5321 | 03-MAR-99 18:09:35 | 12C | 112Sn | 600 | M>=5 | Phys | 556768 |
| 5322 | 03-MAR-99 19:25:53 | 12C | 112Sn | 600 | M>=5 | Phys | 596404 |
| 5323 | 03-MAR-99 20:06:12 | 12C | 112Sn | 600 | M>=5 | Phys | 625103 |
| 5324 | 03-MAR-99 20:48:38 | 12C | 112Sn | 600 | M>=5 | Phys | 595076 |
| 5325 | 03-MAR-99 21:33:08 | 12C | 112Sn | 600 | M>=5 | Phys | 353844 |
| 5326 | 03-MAR-99 22:48:08 | 12C | 112Sn | 600 | M>=5 | Bad | 3190 | run mauvais  voir cahier de manip |
| 5327 | 03-MAR-99 22:53:00 | 12C | 112Sn | 600 | M>=5 | Phys | 616454 |
| 5328 | 03-MAR-99 23:36:54 | 12C | 112Sn | 600 | M>=5 | Phys | 638600 |
| 5329 | 04-MAR-99 00:19:49 | 12C | 112Sn | 600 | M>=5 | Phys | 637274 |
| 5330 | 04-MAR-99 01:02:51 | 12C | 112Sn | 600 | M>=5 | Phys | 492923 |  plantage VME |
| 5331 | 04-MAR-99 01:38:22 | 12C | 112Sn | 600 | M>=5 | Phys | 588673 |
| 5332 | 04-MAR-99 03:13:04 | 12C | 124Sn | 600 | M>=5 | Phys | 609341 |
| 5333 | 04-MAR-99 03:56:52 | 12C | 124Sn | 600 | M>=5 | Phys | 611121 |
| 5334 | 04-MAR-99 04:39:54 | 12C | 124Sn | 600 | M>=5 | Phys | 647733 |
| 5335 | 04-MAR-99 05:20:02 | 12C | 124Sn | 600 | M>=5 | Phys | 258635 |
| 5336 | 04-MAR-99 05:56:58 | 12C | 124Sn | 600 | M>=5 | Phys | 290333 |
| 5337 | 04-MAR-99 07:20:57 | 12C | 124Sn | 600 | M>=5 | Phys | 454122 |
| 5338 | 04-MAR-99 07:54:33 | 12C | 124Sn | 600 | M>=5 | Phys | 619003 |
| 5339 | 04-MAR-99 08:55:50 | 12C | 124Sn | 600 | M>=5 | Phys | 590763 |
| 5340 | 04-MAR-99 09:54:57 | 12C | 124Sn | 600 | M>=5 | Phys | 376875 |
| 5341 | 04-MAR-99 10:29:59 | 12C | 124Sn | 600 | M>=5 | Phys | 83383 |
| 5342 | 04-MAR-99 10:39:44 | 12C | 124Sn | 600 | M>=5 | Phys | 29069 |
| 5343 | 04-MAR-99 16:25:41 | 12C | 124Sn | 600 | M>=5 | Phys | 570723 |
| 5344 | 04-MAR-99 17:46:25 | 12C | 124Sn | 600 | M>=5 | Phys | 607009 |
| 5345 | 04-MAR-99 18:32:22 | 12C | 124Sn | 600 | M>=5 | Phys | 590258 |
| 5346 | 05-MAR-99 02:16:57 | 12C | 197Au | 1000 | M>=5 | Phys | 488621 |  10 mgr/cm2 Au target now !!!! |
| 5347 | 05-MAR-99 02:59:41 | 12C | 197Au | 1000 | M>=5 | Phys | 486755 |  10 mgr/cm2 Au target now !!!! |
| 5348 | 05-MAR-99 03:43:25 | 12C | 197Au | 1000 | M>=5 | Phys | 484453 |  10 mgr/cm2 Au target now !!!! |
| 5349 | 05-MAR-99 04:26:58 | 12C | 197Au | 1000 | M>=5 | Phys | 483734 |  10 mgr/cm2 Au target now !!!! |
| 5350 | 05-MAR-99 05:09:44 | 12C | 197Au | 1000 | M>=5 | Phys | 366011 |  10 mgr/cm2 Au target now !!!! |
| 5351 | 05-MAR-99 06:05:15 | 12C | none | 1000 | M>=5 | Phys | 256339 |
| 5352 | 05-MAR-99 07:26:57 | 12C | 197Au | 1000 | M>=5 | Phys | 483432 |  10 mgr/cm2 Au target now !!!! |
| 5353 | 05-MAR-99 08:18:16 | 12C | 197Au | 1000 | M>=5 | Phys | 487176 |  10 mgr/cm2 Au target now !!!! |
| 5354 | 05-MAR-99 09:18:00 | 12C | 197Au | 1000 | M>=5 | Phys | 482513 |  10 mgr/cm2 Au target now !!!! |
| 5355 | 05-MAR-99 10:22:57 | 12C | 197Au | 1000 | M>=5 | Phys | 477624 |  10 mgr/cm2 Au target now !!!! |
| 5356 | 05-MAR-99 11:34:18 | 12C | 197Au | 1000 | M>=5 | Phys | 116910 |  10 mgr/cm2 Au target now !!!! |
| 5357 | 05-MAR-99 12:23:12 |  |  |   |  | Automate | 334 |  Rampe gini silicium -> Echec  |
| 5358 | 05-MAR-99 12:48:31 |  |  |   |  | Automate | 177468 |  Rampe gini chio -> OK |
| 5359 | 05-MAR-99 14:12:35 |  |  |   |  | Automate | 196794 |  Rampe gini silicium -> OK |
| 5360 | 05-MAR-99 15:55:06 |  |  |   |  | Pedestal | 7806 |  Piedestaux chio  si étalons |
| 5361 | 05-MAR-99 16:04:07 |  |  |   |  | Pedestal | 4233 |  Piedestaux CsI |
| 5362 | 05-MAR-99 23:03:46 | 12C | 197Au | 1000 | M>=5 | Phys | 559416 |  2.8 mgr/cm2 Au target now |
| 5363 | 05-MAR-99 23:49:28 | 12C | 197Au | 1000 | M>=5 | Phys | 522412 |
| 5364 | 06-MAR-99 00:37:27 | 12C | 197Au | 1000 | M>=5 | Phys | 565961 |
| 5365 | 06-MAR-99 01:24:56 | 12C | 197Au | 1000 | M>=5 | Phys | 569851 |
| 5366 | 06-MAR-99 02:11:21 | 12C | 197Au | 1000 | M>=5 | Phys | 565656 |
| 5367 | 06-MAR-99 02:57:11 | 12C | 197Au | 1000 | M>=5 | Phys | 565286 |
| 5368 | 06-MAR-99 03:42:35 | 12C | 197Au | 1000 | M>=5 | Phys | 573340 |
| 5369 | 06-MAR-99 04:24:34 | 12C | 197Au | 1000 | M>=5 | Phys | 77684 |  plantage VME a l'issue de l'enregistrement |
| 5370 | 06-MAR-99 04:32:50 | 12C | 197Au | 1000 | M>=5 | Phys | 534345 |
| 5371 | 06-MAR-99 05:15:15 | 12C | 197Au | 1000 | M>=5 | Phys | 394885 |
| 5372 | 06-MAR-99 07:32:23 | 12C | 197Au | 1000 | M>=5 | Phys | 507659 |
| 5373 | 06-MAR-99 08:48:53 | 12C | 197Au | 1000 | M>=5 | Phys | 483840 |
| 5374 | 06-MAR-99 09:36:13 | 12C | 197Au | 1000 | M>=5 | Phys | 518503 |
| 5375 | 06-MAR-99 10:24:50 | 12C | 197Au | 1000 | M>=5 | Phys | 514843 |
| 5376 | 06-MAR-99 11:31:43 | 12C | 197Au | 1000 | M>=5 | Phys | 510105 |
| 5377 | 06-MAR-99 12:36:18 | 12C | 197Au | 1000 | M>=5 | Phys | 499064 |
| 5378 | 06-MAR-99 14:05:45 | 12C | 197Au | 1000 | M>=5 | Phys | 340441 |
| 5379 | 06-MAR-99 14:54:16 | 12C | 197Au | 1000 | M>=5 | Phys | 199873 |
| 5380 | 06-MAR-99 15:30:53 | 12C | 197Au | 1000 | M>=5 | Phys | 453419 |
| 5381 | 06-MAR-99 17:01:56 | 12C | 197Au | 1000 | M>=5 | Phys | 470621 |
| 5382 | 06-MAR-99 18:13:43 | 12C | 197Au | 1000 | M>=5 | Phys | 519356 |
| 5383 | 06-MAR-99 19:01:46 | 12C | 197Au | 1000 | M>=5 | Phys | 523116 |
| 5384 | 06-MAR-99 19:49:23 | 12C | 197Au | 1000 | M>=5 | Phys | 523604 |
| 5385 | 06-MAR-99 20:37:55 | 12C | 197Au | 1000 | M>=5 | Phys | 522950 |
| 5386 | 06-MAR-99 21:25:29 | 12C | 197Au | 1000 | M>=5 | Phys | 520065 |
| 5387 | 06-MAR-99 22:13:29 | 12C | 197Au | 1000 | M>=5 | Phys | 525060 |
| 5388 | 06-MAR-99 23:00:33 | 12C | 197Au | 1000 | M>=5 | Phys | 429232 |  run was stopped before end in order to change dlt |
| 5389 | 06-MAR-99 23:45:58 | 12C | 197Au | 1000 | M>=5 | Phys | 523577 |
| 5390 | 07-MAR-99 00:33:12 | 12C | 197Au | 1000 | M>=5 | Phys | 523399 |
| 5391 | 07-MAR-99 01:19:06 | 12C | 197Au | 1000 | M>=5 | Phys | 524081 |
| 5392 | 07-MAR-99 02:04:50 | 12C | 197Au | 1000 | M>=5 | Phys | 521228 |
| 5393 | 07-MAR-99 02:49:54 | 12C | 197Au | 1000 | M>=5 | Phys | 525255 |
| 5394 | 07-MAR-99 03:34:39 | 12C | 197Au | 1000 | M>=5 | Phys | 526016 |
| 5395 | 07-MAR-99 04:18:12 | 12C | 197Au | 1000 | M>=5 | Bad | 114 |  plantage VME en dibut de run |
| 5396 | 07-MAR-99 04:20:44 | 12C | 197Au | 1000 | M>=5 | Phys | 525086 |
| 5397 | 07-MAR-99 05:05:05 | 12C | 197Au | 1000 | M>=5 | Phys | 266525 |  end run early for therapy protocol |
| 5398 | 07-MAR-99 06:04:34 | 12C | 197Au | 1000 | M>=5 | Phys | 517657 |
| 5399 | 07-MAR-99 06:51:51 | 12C | 197Au | 1000 | M>=5 | Phys | 513830 |
| 5400 | 07-MAR-99 07:43:04 | 12C | 197Au | 1000 | M>=5 | Phys | 506665 |
| 5401 | 07-MAR-99 08:57:57 | 12C | 197Au | 1000 | M>=5 | Phys | 515229 |
| 5402 | 07-MAR-99 09:55:48 | 12C | 197Au | 1000 | M>=5 | Phys | 506069 |
| 5403 | 07-MAR-99 11:15:06 | 12C | 197Au | 1000 | M>=5 | Phys | 4342 |  interrompu pour retrait cible |
| 5404 | 07-MAR-99 11:38:37 | 12C | none | 1000 | M>=5 | Phys | 513733 |  Faraday*10 |
| 5405 | 07-MAR-99 14:58:36 | 12C | none | 1000 | M>=5 | Phys | 178649 |  valeur nb evts estimee |
| 5406 | 07-MAR-99 15:44:39 | 12C | 197Au | 1000 | M>=5 | Phys | 504688 |  Faraday*10 |
| 5407 | 07-MAR-99 16:31:45 | 12C | 197Au | 1000 | M>=5 | Phys | 494974 |
| 5408 | 07-MAR-99 17:50:03 | 12C | 197Au | 1000 | M>=5 | Phys | 504929 |
| 5409 | 07-MAR-99 18:56:21 | 12C | 197Au | 1000 | M>=5 | Phys | 509545 |
| 5410 | 07-MAR-99 19:51:59 | 12C | 197Au | 1000 | M>=5 | Phys | 518953 |
| 5411 | 07-MAR-99 20:33:33 | 12C | 197Au | 1000 | M>=5 | Phys | 512573 |
| 5412 | 07-MAR-99 21:18:12 | 12C | 197Au | 1000 | M>=5 | Phys | 522041 |
| 5413 | 07-MAR-99 22:02:12 | 12C | 197Au | 1000 | M>=5 | Phys | 518111 |
| 5414 | 07-MAR-99 22:43:41 | 12C | 197Au | 1000 | M>=5 | Phys | 516676 |
| 5415 | 07-MAR-99 23:24:58 | 12C | 197Au | 1000 | M>=5 | Phys | 515776 |
| 5416 | 08-MAR-99 00:06:00 | 12C | 197Au | 1000 | M>=5 | Phys | 519127 |
| 5417 | 08-MAR-99 00:46:53 | 12C | 197Au | 1000 | M>=5 | Phys | 519092 |
| 5418 | 08-MAR-99 01:29:45 | 12C | 197Au | 1000 | M>=5 | Phys | 503785 |
| 5419 | 08-MAR-99 02:14:15 | 12C | 197Au | 1000 | M>=5 | Phys | 517122 |
| 5420 | 08-MAR-99 02:56:10 | 12C | 197Au | 1000 | M>=5 | Phys | 518300 |
| 5421 | 08-MAR-99 03:37:24 | 12C | 197Au | 1000 | M>=5 | Phys | 518048 |
| 5422 | 08-MAR-99 04:18:27 | 12C | 197Au | 1000 | M>=5 | Phys | 517205 |
| 5423 | 08-MAR-99 05:00:07 | 12C | 197Au | 1000 | M>=5 | Phys | 326174 |
| 5424 | 08-MAR-99 05:51:08 | 12C | 197Au | 1000 | M>=5 | Phys | 517690 |
| 5425 | 08-MAR-99 06:32:22 | 12C | 197Au | 1000 | M>=5 | Phys | 15501 |  stop for calibration chio GSI |
| 5426 | 08-MAR-99 09:09:39 | 12C | 197Au | 1000 | M>=5 | Phys | 468077 |
| 5427 | 08-MAR-99 10:02:15 | 12C | 197Au | 1000 | M>=5 | Phys | 496083 |
| 5428 | 08-MAR-99 11:09:45 | 12C | 197Au | 1000 | M>=5 | Phys | 489033 |
| 5429 | 08-MAR-99 12:38:15 | 12C | 197Au | 1000 | M>=5 | Phys | 464277 |
| 5430 | 08-MAR-99 13:42:44 | 12C | 197Au | 1000 | M>=5 | Phys | 507399 |
| 5431 | 08-MAR-99 14:28:49 | 12C | 197Au | 1000 | M>=5 | Phys | 500881 |  RAS |
| 5432 | 08-MAR-99 15:37:03 | 12C | 197Au | 1000 | M>=5 | Phys | 474081 |
| 5433 | 08-MAR-99 16:17:53 | 12C | 197Au | 1000 | M>=5 | Phys | 500103 |
| 5434 | 08-MAR-99 17:23:49 | 12C | 197Au | 1000 | M>=5 | Phys | 487939 |
| 5435 | 08-MAR-99 19:27:50 | 12C | 197Au | 1000 | M>=5 | Phys | 0 |  plantage acquisition |
| 5436 | 08-MAR-99 19:47:43 | 12C | 197Au | 1000 | M>=5 | Phys | 147460 |
| 5438 | 09-MAR-99 00:07:19 | 12C | none | 1800 | M>=5 | Phys | 319523 |  no target |
| 5439 | 09-MAR-99 00:57:47 | 12C | 197Au | 1800 | M>=5 | Phys | 73877 |
| 5440 | 09-MAR-99 01:46:14 | 12C | 197Au | 1800 | M>=5 | Phys | 607641 |
| 5441 | 09-MAR-99 02:38:19 | 12C | 197Au | 1800 | M>=5 | Phys | 597353 |
| 5442 | 09-MAR-99 03:27:42 | 12C | 197Au | 1800 | M>=5 | Phys | 584651 |
| 5443 | 09-MAR-99 04:17:31 | 12C | 197Au | 1800 | M>=5 | Phys | 612530 |
| 5444 | 09-MAR-99 05:09:55 | 12C | 197Au | 1800 | M>=5 | Phys | 70482 |
| 5445 | 09-MAR-99 06:54:49 | 12C | 112Sn | 1000 | M>=5 | Phys | 474622 |
| 5446 | 09-MAR-99 09:09:50 | 12C | 112Sn | 1000 | M>=5 | Phys | 296067 |
| 5447 | 09-MAR-99 12:15:07 | 12C | 112Sn | 1000 | M>=5 | Phys | 496899 |
| 5448 | 09-MAR-99 15:17:26 | 12C | 112Sn | 1000 | M>=5 | Bad | 246 |
| 5449 | 09-MAR-99 15:47:23 | 12C | 112Sn | 1000 | M>=5 | Phys | 560867 |
| 5450 | 09-MAR-99 17:25:55 | 12C | 112Sn | 1000 | M>=5 | Phys | 578455 |
| 5451 | 09-MAR-99 18:54:14 | 12C | 112Sn | 1000 | M>=5 | Phys | 573295 |
| 5452 | 09-MAR-99 20:29:03 | 12C | 112Sn | 1000 | M>=5 | Phys | 227021 |
| 5453 | 09-MAR-99 21:58:54 |  |  |   |  | Pedestal | 8018 |  pedestal Si and Chio |
| 5454 | 09-MAR-99 22:04:56 |  |  |   |  | Pedestal | 8161 |  pedestal CsI |
| 5455 | 10-MAR-99 00:27:05 | 12C | none | 1800 | Phys | Phys | 245343 |  no target |
| 5456 | 10-MAR-99 01:11:30 | 12C | 197Au | 1800 | Phys | Phys | 193465 |  arret pour reglage faisceau |
| 5457 | 10-MAR-99 02:19:19 | 12C | 197Au | 1800 | Phys | Phys | 566246 |
| 5458 | 10-MAR-99 02:59:25 | 12C | 197Au | 1800 | Phys | Phys | 560150 |
| 5459 | 10-MAR-99 03:37:15 | 12C | 197Au | 1800 | Phys | Phys | 517205 |
| 5460 | 10-MAR-99 04:16:07 | 12C | 197Au | 1800 | Phys | Phys | 488328 |  stopped to remove target |
| 5461 | 10-MAR-99 04:52:30 | 12C | none | 1800 | Phys | Phys | 252474 |  empty target run |
| 5462 | 10-MAR-99 06:09:03 | 12C | 197Au | 1000 | Phys | Phys | 500331 |  0.98 mgr Au target |
| 5463 | 10-MAR-99 06:59:30 | 12C | 197Au | 1000 | Phys | Phys | 270554 |  0.98 mgr Au target |
| 5464 | 10-MAR-99 09:25:43 | 12C | 197Au | 1000 | Phys | Phys | 527870 |  0.98 mgr Au target |
| 5465 | 10-MAR-99 11:01:31 | 12C | 197Au | 1000 | Phys | Phys | 509952 |  0.98 mgr Au target |
| 5466 | 10-MAR-99 11:51:57 | 12C | 197Au | 1000 | Phys | Phys | 217525 |  0.98 mgr Au target |
| 5467 | 10-MAR-99 12:17:37 | 12C | 197Au | 1000 | Phys | Phys | 546806 |  0.98 mgr Au target |
| 5468 | 10-MAR-99 13:37:37 | 12C | 197Au | 1000 | Phys | Phys | 549276 |  0.98 mgr Au target |
| 5469 | 10-MAR-99 14:59:37 | 12C | 197Au | 1000 | Phys | Phys | 513586 |  0.98 mgr Au target |
| 5470 | 10-MAR-99 15:51:40 | 12C | 197Au | 1000 | Phys | Phys | 453461 |  0.98 mgr Au target |
| 5471 | 10-MAR-99 17:48:24 | 12C | 197Au | 1000 | Phys | Phys | 545128 |  0.98 mgr Au target |
| 5472 | 10-MAR-99 18:58:03 | 12C | 197Au | 1000 | Phys | Phys | 259050 |  0.98 mgr Au target |
| 5476 | 11-MAR-99 01:12:12 | 12C | 197Au | 1800 | Phys | Phys | 275711 |  2.8 mgr Au target again |
| 5477 | 11-MAR-99 02:11:45 | 12C | 197Au | 1800 | Phys | Phys | 567854 |
| 5478 | 11-MAR-99 02:48:22 | 12C | 197Au | 1800 | Phys | Phys | 356271 |
| 5479 | 11-MAR-99 03:18:36 | 12C | 197Au | 1800 | Phys | Phys | 566446 |
| 5480 | 11-MAR-99 03:56:12 | 12C | 197Au | 1800 | Phys | Phys | 257004 |
| 5481 | 11-MAR-99 05:41:45 | 12C | 238U | 1000 | M>=5 | Phys | 323933 |  run stopped for protocol |
| 5482 | 11-MAR-99 06:44:50 | 12C | 238U | 1000 | M>=5 | Phys | 250434 |  run stopped for protocol (again) |
| 5483 | 11-MAR-99 07:45:31 | 12C | 238U | 1000 | M>=5 | Phys | 662002 |  beam very often absent (therapy) |
| 5484 | 11-MAR-99 09:45:31 | 12C | 238U | 1000 | M>=5 | Phys | 675375 |
| 5485 | 11-MAR-99 11:34:40 | 12C | 238U | 1000 | M>=5 | Phys | 92923 |
| 5486 | 11-MAR-99 12:15:54 | 12C | 238U | 1000 | M>=5 | Phys | 399511 |
| 5487 | 11-MAR-99 13:56:32 | 12C | 238U | 1000 | M>=5 | Phys | 176234 |  gates of CSi rings 1 and 2 modified |
| 5488 | 11-MAR-99 14:39:35 | 12C | 238U | 1000 | M>=5 | Phys | 686202 |  idem |
| 5489 | 11-MAR-99 16:19:19 | 12C | 238U | 1000 | M>=5 | Phys | 551851 |  0.1 mgr/cm2 U target now |
| 5490 | 11-MAR-99 17:39:57 | 12C | 238U | 1000 | M>=5 | Phys | 8899 |
| 5491 | 11-MAR-99 18:57:29 | 12C | 238U | 1000 | M>=5 | Phys | 176529 |
| 5492 | 11-MAR-99 21:34:26 | 12C | 238U | 1000 | M>=3 | Phys | 871719 |
| 5493 | 11-MAR-99 22:36:41 | 12C | 238U | 1000 | M>=3 | Phys | 579843 |
