SI_0703  3.90812  0.0680323  0
SI_0704  7.55521  0.0671385  0
SI_0705  4.06727  0.0677738  0
SI_0706  8.09432  0.0656529  0
SI_0707  3.71347  0.0673243  0
SI_0708  7.05958  0.0664707  0
SI_0709  -1.83695  0.0660658  0
SI_0710  -1.31525  0.0655118  0
SI_0711  0.710548  0.0651806  0
SI_0712  -1.90381  0.0663115  0
SI_0713  -0.174864  0.0661799  0
SI_0714  -0.838731  0.0657452  0
SI_0715  1.96709  0.0649596  0
SI_0716  -1.52593  0.0654105  0
SI_0717  -1.54675  0.066653  0
SI_0718  0.573276  0.0654603  0
SI_0719  -0.297541  0.0657624  0
SI_0720  0.625775  0.0651565  0
SI_0721  -0.45412  0.0658006  0
SI_0722  0.176608  0.0657704  0
SI_0723  0.172468  0.0650832  0
SI_0724  0.405579  0.0654661  0
SI_0801  -0.450309  0.066605  0
SI_0802  -0.343196  0.0654771  0
SI_0803  0.832561  0.0652961  0
SI_0804  1.59483  0.0656095  0
SI_0805  0.516273  0.0655297  0
SI_0806  0.149021  0.0659526  0
SI_0807  0.436645  0.0662183  0
SI_0808  0.390777  0.0668001  0
SI_0809  0.988154  0.0656742  0
SI_0810  2.22514  0.0645724  0
SI_0811  0.0140668  0.0658779  0
SI_0812  0.550747  0.0661895  0
SI_0813  0.761262  0.064973  0
SI_0814  1.28697  0.0657061  0
SI_0815  0.62349  0.0661665  0
SI_0816  0.33884  0.0660401  0
SI_0817  1.8709  0.0659672  0
SI_0818  2.67192  0.0666477  0
SI_0819  3.54088  0.066085  0
SI_0820  4.54018  0.065392  0
SI_0821  0.850989  0.0664568  0
SI_0822  1.82376  0.067186  0
SI_0823  2.60545  0.0662764  0
SI_0824  1.89644  0.0658638  0
SI_0901  0.993264  0.0661479  0
SI_0902  1.17547  0.066421  0
SI_0903  2.87686  0.0667508  0
SI_0904  2.08365  0.0662455  0
SI_0905  1.58704  0.0671172  0
SI_0906  2.34062  0.0652864  0
SI_0907  1.77197  0.0665222  0
SI_0908  2.13732  0.0663243  0
SI_0909  3.27132  0.0667468  0
SI_0910  1.6013  0.0666762  0
SI_0911  3.80428  0.0663085  0
SI_0912  2.77148  0.0670466  0
SI_0913  0.798607  0.0664969  0
SI_0914  3.12822  0.0666468  0
SI_0915  3.58874  0.0663902  0
SI_0916  4.39562  0.065778  0
SI_0917  4.6791  0.0659302  0
SI_0918  1.56778  0.0672722  0
SI_0919  4.00044  0.0664635  0
SI_0920  3.95892  0.0655256  0
SI_0921  2.55139  0.0674387  0
SI_0922  3.259  0.0668738  0
SI_0923  2.05282  0.0664706  0
SI_0924  3.49348  0.0663084  0
