###################################################################
#$Id: CalibMeVVoltChIoSi.dat,v 1.3 2008/01/29 16:26:24 franklan Exp $
#
#5th Campaign MeV/Volt conversion for Silicon and ChIo detectors.
#Updated by A. Chbihi, 24/03/2010 : Add in this file the parameters for SI75 and SILI
#For Silicon detectors:
#  calibration performed using Brho elastic scattering points for light particles
#  and fragments (Z<=6--7)
#  for rings 2-5, the changes of amplifier gain (1 <-> sqrt(2)) are taken into
#  account by KVChannelVolt::Compute. There is no need for a separate
#  calibration.
#  Silicon calibrations not included in this lot were added by Marian Parlog
#  from a variety of sources:
#Le classement des datecteurs dans les differents groupes est base sur  
#la valeur du b(Z=54) (124_Xe a 6.93 AMeV) et sur la calibration fournie 
#(le plus souvent) par les runs brho - voir le fichier: 
#CalibMeVVoltChIoSi.dat (E[MeV] = a0 + a1*V[Volts]) - Josiane et Abdou.
#Pour quelques modules, cette calibration en manque; si une autre calibration
#- faite a partir de la source Thoron - est disponible:
#alpha_sg_gg_gain1_cou1_9.dat (Marian) elle est provisoirement proposee. 
#En plus, CalibBrhoSilicon_Gain1.dat (Abdou) pour le module SI_0108 
#et VoltAlpha5_si_gain1.dat (Alexis) pour le module SI_0824 sont 
#pour l'instant proposee. 
# The detectors concerned by these calibrations are:
#SI_0102 - alpha_sg_gg_gain1: E[MeV] = 0.439652+444.446533*V[Volts]
#SI_0103 - alpha_sg_gg_gain1: E[MeV] = 0.146313+468.575958*V[Volts]
#SI_0104 - alpha_sg_gg_gain1: E[MeV] = 0.060952+493.343689*V[Volts]
#SI_0105 - alpha_sg_gg_gain1: E[MeV] = -0.056858+499.392487*V[Volts]
#SI_0106 - alpha_sg_gg_gain1: E[MeV] = -0.078933+482.469513*V[Volts]
#SI_0107 - alpha_sg_gg_gain1: E[MeV] = -0.016464+476.301697*V[Volts]
#SI_0108 - CalibBrhoSilicon_Gain1.dat: E[MeV] = 8.34141+477.7 *V[Volts]
#SI_0109 - alpha_sg_gg_gain1: E[MeV] = -0.439223+493.898834*V[Volts]
#SI_0110 - alpha_sg_gg_gain1: E[MeV] = -0.040180+470.531982*V[Volts]
#SI_0111 - alpha_sg_gg_gain1: E[MeV] = -0.167290+475.975647*V[Volts]
#SI_0112 - alpha_sg_gg_gain1: E[MeV] = -0.107299+475.305695*V[Volts]
#SI_0221 - 150 microns - alpha_sg_gg_gain1: E[MeV] = 0.209785 + 431.040100*V[Volts] 	
#SI_0321 - 150 microns - alpha_sg_gg_gain1: E[MeV] =0.099379+440.717926  *V[Volts]
#SI_0322 - 150 microns - alpha_sg_gg_gain1: E[MeV] =0.208162+436.270111 *V[Volts]  
#SI_0824 - 150 microns - VoltAlpha5_si_gain1: E[MeV] = 0. + 468.718*V[Volts]
#
#29/1/2008: SI_0101
#For SI_0101, we take the same calibration as for SI_0102.
#There is no calibration canal-volt for 0101 because the pulser did not
#fire the electronics of this detector. However, in a previous canal-energy
#calibration, 0101 & 0102 had very similar coeffs, so we assume the
#same calib as for 0102.  -------------------------------    JDF. AC.
#
#29/1/2008: SI_0315 & SI_0316
#For SI_0315 we take the same calibration as SI_0314
#For Si_0316 we take the same calibration as SI_0317
#Because, in a previous canal-energy calibration, these detectors
#had very similar coefficients.  -------------------------------    JDF. AC.
#
#For ChIo detectors:
#  2 calibrations performed, for the two different stocks of gas.
#  Runs 6000-6979 : calibration using alpha source (r.6759) and Xe+Au 7AMeV
#  elastic scattering (r.6006)
#  runs 6980-8842 : calibration using Brho elastic scattering points for light particles
#  and fragments (Z<=6--7)
#
#In all cases, E[MeV] = a0 + a1*V[Volts]. The format of the file is:
#  Det_Name     a0      a1      chi-square
#chi-square given is for the linear fit to E vs. V.
Run Range : 6001 8842
SI_0519       -1.37819        453.016	     0.36277
SI_0520       -0.281972        451.639        0.289388
SI_0521       -0.300557        447.792        0.333354
SI_0522       -1.74997        447.827	     0.0663984
SI_0523       -1.17585        446.878	     0.106492
SI_0524       -1.83401        468.777	     0.725819
SI_0601       0.740314        446.474	     1.8799
SI_0602       0.357001        451.023	     1.55339
SI_0603       0.719153        426.654	     0.967354
SI_0604       0.265246        430.295	     1.5185
SI_0605       0.108313        448.601	     0.863178
SI_0606       0.981812        438.072	     1.21569
SI_0607       -0.0296003	451.852        1.35834
SI_0608       0.441628        452.297	     2.71311
SI_0609       0.182079        450.199	     1.68678
SI_0610       -0.0416803	456.015        1.4398
SI_0611       0.380989        446.245	     1.82655
SI_0612       -0.305431        451.844        1.44606
SI_0613       -0.087498        443.787        0.749312
SI_0614       0.0689065        450.629        1.1927
SI_0615       -0.274067        459.357        1.62477
SI_0616       -0.0393481	455.461        1.26394
SI_0617       -0.0315483	445.297        1.57079
SI_0618       -0.268237        451.147        1.18404
SI_0619       0.0694518        455.29	     1.58514
SI_0620       -0.654456        455.397        1.6934
SI_0621       -0.75948        453.409	     1.69014
SI_0622       -0.922409        451.973        1.07475
SI_0623       -0.398985        441.204        2.3854
SI_0624       -1.41878        469.239	     1.03366
SI_0701       -0.854634        444.325        1.19117
SI_0702       -0.634398        447.972        1.77546
SI_0703       -0.339425        450.36	     0.363086
SI_0704       -0.0531699	447.899        0.641345
SI_0705       -0.704757        447.986        0.70753
SI_0706       -0.86344        448.921	     0.669823
SI_0707       -1.22115        448.054	     0.843636
SI_0708       -0.869423        446.908        0.997441
SI_0709       -0.00727356	 461.366	2.28702
SI_0710       0.405487        449.442	     1.51597
SI_0711       0.744685        448.235	     3.66943
SI_0713       0.194524        440.142	     0.866776
SI_0714       0.00901107	445.373        0.551249
SI_0715       -0.132058        461.645        1.40789
SI_0716       0.614806        448.87	    1.86389
SI_0717       -0.177565        455.764        1.41572
SI_0718       0.285125        448.047	     1.3631
SI_0719       0.853035        440.141	     2.41388
SI_0720       -0.2355	     458.785	    1.91402
SI_0721       0.110571        444.61	    0.967856
SI_0722       -0.343711        446.777        0.779055
SI_0723       -0.122828        448.797        1.4233
SI_0724       -0.172678        453.759        2.61632
SI_0801       -0.847858        453.007        0.857542
SI_0802       -0.64623        455.596	     0.222252
SI_0803       -0.855031        450.306        0.555639
SI_0804       -0.716433        450.625        0.358063
SI_0805       -0.36914        442.064	     0.366804
SI_0806       -1.01639        453.225	     0.123071
SI_0807       -0.18897        447.297	     0.320776
SI_0808       0.0826893        441.155        0.214817
SI_0809       -1.31471        459.653	     0.712763
SI_0810       -1.14196        460.886	     0.626435
SI_0811       -0.590515        448.485        0.661601
SI_0812       -1.1209	     462.05	   0.251399
SI_0813       -0.950852        459.776        0.443846
SI_0814       -0.991232        461.643        0.873338
SI_0815       -1.09298        451.465	     0.844694
SI_0816       -1.214	    460.238	   0.763497
SI_0817       -0.151534        453.391        0.541354
SI_0818       -0.724807        515.541        2.59817
SI_0819       -0.48439        455.716	     1.51691
SI_0820       -0.193047        452.931        0.223435
SI_0821       -0.6299	     457.064	    0.371969
SI_0822       -0.339379        451.054        0.44676
SI_0823       -0.487173        544.47	     0.285355
SI_0901       0.097887        430.342	     0.218616
SI_0902       -0.0492449	437.015        0.186048
SI_0903       -0.325921        442.217        0.413067
SI_0904       -0.270591        435.703        0.130724
SI_0905       -0.336306        437.946        0.247339
SI_0906       -0.269884        434.247        0.269927
SI_0907       -0.0646698	438.055        0.259362
SI_0908       -0.14493        441.962	     0.103975
SI_0909       -1.41226        462.587	     0.679878
SI_0910       -1.08499        452.483	     0.0548933
