SI_0622 1.89485 0.0668489
SI_0623 2.11323 0.0675909
SI_0624 2.16247 0.0680513
SI_0701 2.37836 0.0678822
SI_0702 2.41424 0.0674232
SI_0703 2.45699 0.0674855
SI_0704 2.40016 0.0680379
SI_0705 2.49711 0.0674573
SI_0706 2.51655 0.0667641
SI_0707 2.48322 0.0669644
SI_0708 2.18103 0.0673854
SI_0709 0.558642 0.0663156
SI_0710 0.756476 0.0659491
SI_0711 0.732184 0.0664456
SI_0712 0.854844 0.0664876
SI_0713 0.995257 0.0669927
SI_0714 0.970605 0.0662357
SI_0715 1.0793 0.0663953
SI_0716 1.10609 0.0656396
SI_0717 1.35432 0.0667766
SI_0718 1.32187 0.066481
SI_0719 1.23605 0.0667468
SI_0720 1.58424 0.0661022
SI_0721 1.44086 0.0665265
SI_0722 1.98984 0.0663768
SI_0723 1.91509 0.0657164
SI_0724 2.24185 0.0660838
SI_0801 2.23067 0.0669102
SI_0802 2.49929 0.0656853
SI_0803 2.54534 0.0659805
SI_0804 2.72899 0.0665367
SI_0805 2.7695 0.0660524
SI_0806 3.02893 0.0664527
SI_0807 3.06027 0.0666134
SI_0808 3.0746 0.0673696
SI_0809 3.15046 0.0663262
SI_0810 3.26622 0.0654995
SI_0811 3.41903 0.0660864
SI_0812 3.47221 0.0664567
SI_0813 3.27198 0.0654108
SI_0814 3.27551 0.0663244
SI_0815 3.20202 0.0665987
SI_0816 3.05878 0.0664545
SI_0817 0.128467 0.0666791
SI_0818 -0.027391 0.0678251
SI_0819 0.241274 0.067355
SI_0820 0.273548 0.0669985
SI_0821 0.441244 0.0667512
SI_0822 0.472956 0.0678325
SI_0823 0.510009 0.0670587
SI_0824 0.759149 0.0666733
SI_0901 0.851285 0.0668744
SI_0902 0.968723 0.0669608
SI_0903 0.910342 0.068005
SI_0904 0.982051 0.0669752
SI_0905 1.23713 0.0676952
SI_0906 1.4914 0.0662449
SI_0907 1.70014 0.0670057
SI_0908 1.52642 0.0667534
SI_0909 1.83472 0.0676453
SI_0910 2.05877 0.0669259
SI_0911 2.06623 0.0673709
SI_0912 2.20965 0.0676503
SI_0913 2.39453 0.0665349
SI_0914 2.22061 0.0676512
SI_0915 2.65993 0.0671628
SI_0916 2.72007 0.0668722
SI_0917 2.69453 0.0670426
SI_0918 2.71025 0.0673201
SI_0919 2.8234 0.067351
SI_0920 2.68652 0.0665668
SI_0921 2.74412 0.0679177
SI_0922 2.80591 0.0674659
SI_0923 2.75653 0.0666458
SI_0924 2.77502 0.0670273
