# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : SILI_CSI_1002
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> CSI_R
<VARY> SILI_GG
<PARAMETER> IDTelescopes=SILI_CSI_1002
<PARAMETER> Grid Type=GG
<PARAMETER> Runlist=6000-8900
+KVIDZALine
ID:Z=1 A=1
1	1
13
46.1359   1913.59
67.1307   1734.33
102.414   1485.37
126.616   1345.94
151.11   1196.56
177.716   1067.1
215.367   917.719
270.08   768.339
354.058   638.876
455.533   529.33
588.499   439.702
763.455   360.032
962.905   300.28
+KVIDZALine
ID:Z=1 A=2
1	2
10
60.5792   2513.09
102.414   2210.3
160.982   1842.05
234.192   1473.8
299.036   1244.67
384.796   1023.72
512.392   827.32
656.721   663.653
807.325   573.637
1072.97   491.803
+KVIDZALine
ID:Z=1 A=3
1	3
10
60.5792   3036.82
106.597   2709.49
169.349   2300.32
248.834   1891.15
326.228   1588.37
447.548   1261.04
579.327   1031.9
702.738   884.603
847.067   753.67
1077.16   639.103
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : SILI_CSI_1102
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> CSI_R
<VARY> SILI_GG
<PARAMETER> IDTelescopes=SILI_CSI_1102
<PARAMETER> Grid Type=GG
<PARAMETER> Runlist=6000-8900
+KVIDZALine
ID:Z=1 A=1
1	1
12
60.3416   1718.24
122.628   1477.74
174.534   1293.35
233.361   1108.96
299.108   964.656
389.078   812.335
485.969   684.065
620.924   563.811
811.245   459.592
1011.95   403.473
1233.41   355.372
1499.86   323.304
+KVIDZALine
ID:Z=1 A=2
1	2
11
49.9604   2375.63
139.93   2046.94
236.821   1742.29
337.172   1469.72
472.127   1189.13
610.543   988.706
755.879   844.402
932.358   716.132
1157.28   619.929
1392.59   531.744
1721.33   451.575
+KVIDZALine
ID:Z=1 A=3
1	3
11
49.9604   2840.61
157.232   2455.8
264.504   2119.09
402.92   1758.33
530.954   1493.77
683.211   1253.26
828.547   1092.93
977.343   972.673
1174.58   828.369
1406.43   724.149
1714.4   611.912
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : SILI_CSI_1202
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> CSI_R
<VARY> SILI_GG
<PARAMETER> IDTelescopes=SILI_CSI_1202
<PARAMETER> Grid Type=GG
<PARAMETER> Runlist=6000-8900
+KVIDZALine
ID:Z=1 A=1
1	1
10
75.219   1910.34
145.96   1667.22
263.863   1372.01
428.926   1076.8
601.849   859.737
821.934   694.767
975.207   599.257
1211.01   512.431
1490.05   434.287
1926.29   364.826
+KVIDZALine
ID:Z=1 A=2
1	2
11
59.4987   2622.32
142.03   2396.57
248.142   2101.36
354.254   1858.24
480.017   1632.49
680.451   1337.28
818.003   1181
986.997   1033.39
1238.52   877.102
1509.7   755.545
2004.89   590.575
+KVIDZALine
ID:Z=1 A=3
1	3
11
55.5686   3108.54
157.751   2848.07
263.863   2570.22
393.555   2283.69
503.597   2057.94
649.01   1797.46
806.213   1597.76
1018.44   1372.01
1250.31   1181
1529.35   1024.71
2000.96   816.324
!
# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : SILI_CSI_1304
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<VARX> CSI_R
<VARY> SILI_GG
<PARAMETER> IDTelescopes=SILI_CSI_1304
<PARAMETER> Grid Type=GG
