Run 8191  26-APR-01 15:13:24 
Total    9091 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
 4  8  7        0    0.000    0.000    9091   27.620    0.485
 4  8  8        0    0.000    0.000    9091   39.549    0.498
 4  9  7        0    0.000    0.000    9091   28.030    0.171
 4  9  8        0    0.000    0.000    9091   38.841    0.402
 4 10  7        0    0.000    0.000    9091   28.972    0.166
 4 10  8        0    0.000    0.000    9091   38.057    0.349
 4 11  7        0    0.000    0.000    9091   28.492    0.500
 4 11  8        0    0.000    0.000    9091   37.536    0.499
 4 12  7        0    0.000    0.000    9091   29.229    0.420
 4 12  8        0    0.000    0.000    9091   38.403    0.492
 4 13  7        0    0.000    0.000    9091   25.089    0.285
 4 13  8        0    0.000    0.000    9091   33.994    0.354
 4 14  7        0    0.000    0.000    9091   24.544    0.498
 4 14  8        0    0.000    0.000    9091   35.091    0.349
 4 15  7        0    0.000    0.000    9091   23.730    0.444
 4 15  8        0    0.000    0.000    9091   33.093    0.361
 4 16  7        0    0.000    0.000    9091   25.998    0.048
 4 16  8        0    0.000    0.000    9091   34.998    0.321
 4 17  7        0    0.000    0.000    9091   22.998    0.043
 4 17  8        0    0.000    0.000    9091   32.752    0.434
 4 18  7        0    0.000    0.000    9091   22.328    0.469
 4 18  8        0    0.000    0.000    9091   33.572    0.496
 4 19  7        0    0.000    0.000    9091   23.005    0.068
 4 19  8        0    0.000    0.000    9091   34.493    0.501
 4 20  7        0    0.000    0.000    9091   20.013    0.114
 4 20  8        0    0.000    0.000    9091   29.705    0.462
 4 21  7        0    0.000    0.000    9091   15.999    0.035
 4 21  8        0    0.000    0.000    9091   25.044    0.255
 4 22  7        0    0.000    0.000    9091   18.536    0.499
 4 22  8        0    0.000    0.000    9091   28.959    0.265
 4 23  7        0    0.000    0.000    9091   16.001    0.023
 4 23  8        0    0.000    0.000    9091   26.390    0.488
 4 24  7        0    0.000    0.000    9091   17.162    0.368
 4 24  8        0    0.000    0.000    9091   26.681    0.466
 5  1  7        0    0.000    0.000    9091   21.941    0.236
 5  1  8        0    0.000    0.000    9091   46.154    0.405
 5  2  7        0    0.000    0.000    9091   25.947    0.226
 5  2  8        0    0.000    0.000    9091   45.890    0.561
 5  3  7        0    0.000    0.000    9091   28.054    0.226
 5  3  8        0    0.000    0.000    9091   52.731    0.483
 5  4  7        0    0.000    0.000    9091   27.072    0.259
 5  4  8        0    0.000    0.000    9091   52.231    0.510
 5  5  7        0    0.000    0.000    9091   26.280    0.449
 5  5  8        0    0.000    0.000    9091   50.763    0.452
 5  6  7        0    0.000    0.000    9091   29.787    0.410
 5  6  8        0    0.000    0.000    9091   54.957    0.386
 5  7  7        0    0.000    0.000    9091   28.098    0.297
 5  7  8        0    0.000    0.000    9091   53.203    0.413
 5  8  7        0    0.000    0.000    9091   27.886    0.317
 5  8  8        0    0.000    0.000    9091   50.677    0.477
 5  9  7        0    0.000    0.000    9091   25.526    0.499
 5  9  8        0    0.000    0.000    9091   48.239    0.463
 5 10  7        0    0.000    0.000    9091   26.014    0.119
 5 10  8        0    0.000    0.000    9091   48.687    0.467
 5 11  7        0    0.000    0.000    9091   27.915    0.279
 5 11  8        0    0.000    0.000    9091   50.823    0.442
