run=1025 | aqcuisition status=Running | starting date=Mon Jun  8 16:41:03 2015 | stopping date=Mon Jun  8 16:41:18 2015 | read events=17215 | good events=13529 | store events=13529 | wrong number of blocks=3683 | block errors=3 | nfiles=10 | frequency=968.56 | duration=17.8
run=1026 | aqcuisition status=Running | starting date=Mon Jun  8 16:41:20 2015 | stopping date=Mon Jun  8 16:41:35 2015 | read events=17248 | good events=13414 | store events=13414 | wrong number of blocks=3834 | block errors=0 | nfiles=10 | frequency=970.56 | duration=17.8
run=1027 | aqcuisition status=Running | starting date=Mon Jun  8 16:41:37 2015 | stopping date=Mon Jun  8 16:41:52 2015 | read events=17048 | good events=13571 | store events=13571 | wrong number of blocks=3476 | block errors=1 | nfiles=10 | frequency=956.31 | duration=17.8
run=1028 | aqcuisition status=Running | starting date=Mon Jun  8 16:41:54 2015 | stopping date=Mon Jun  8 16:42:09 2015 | read events=16930 | good events=13487 | store events=13487 | wrong number of blocks=3443 | block errors=0 | nfiles=10 | frequency=953.19 | duration=17.8
run=1029 | aqcuisition status=Running | starting date=Mon Jun  8 16:42:11 2015 | stopping date=Mon Jun  8 16:42:27 2015 | read events=17196 | good events=13418 | store events=13418 | wrong number of blocks=3777 | block errors=1 | nfiles=10 | frequency=908.06 | duration=18.9
run=1030 | aqcuisition status=Running | starting date=Mon Jun  8 16:42:28 2015 | stopping date=Mon Jun  8 16:42:42 2015 | read events=17500 | good events=13691 | store events=13691 | wrong number of blocks=3807 | block errors=2 | nfiles=10 | frequency=1051.20 | duration=16.7
run=1031 | aqcuisition status=Running | starting date=Mon Jun  8 16:42:44 2015 | stopping date=Mon Jun  8 16:42:59 2015 | read events=17492 | good events=13728 | store events=13728 | wrong number of blocks=3763 | block errors=1 | nfiles=10 | frequency=984.69 | duration=17.8
run=1032 | aqcuisition status=Running | starting date=Mon Jun  8 16:43:00 2015 | stopping date=Mon Jun  8 16:43:15 2015 | read events=17214 | good events=13564 | store events=13564 | wrong number of blocks=3649 | block errors=1 | nfiles=10 | frequency=971.38 | duration=17.8
run=1033 | aqcuisition status=Running | starting date=Mon Jun  8 16:43:17 2015 | stopping date=Mon Jun  8 16:43:32 2015 | read events=17047 | good events=13379 | store events=13379 | wrong number of blocks=3666 | block errors=2 | nfiles=10 | frequency=959.06 | duration=17.8
run=1034 | aqcuisition status=Running | starting date=Mon Jun  8 16:43:33 2015 | stopping date=Mon Jun  8 16:43:48 2015 | read events=17137 | good events=13501 | store events=13501 | wrong number of blocks=3634 | block errors=2 | nfiles=10 | frequency=963.69 | duration=17.8
run=1035 | aqcuisition status=Running | starting date=Mon Jun  8 16:43:50 2015 | stopping date=Mon Jun  8 16:46:25 2015 | read events=16424 | good events=12852 | store events=12852 | wrong number of blocks=3571 | block errors=1 | nfiles=10 | frequency=95.57 | duration=173.3
run=1036 | aqcuisition status=Running | starting date=Mon Jun  8 16:46:31 2015 | stopping date=Mon Jun  8 16:47:26 2015 | read events=15108 | good events=11172 | store events=11172 | wrong number of blocks=3934 | block errors=2 | nfiles=10 | frequency=242.73 | duration=62.2
run=1037 | aqcuisition status=Running | starting date=Mon Jun  8 16:47:32 2015 | stopping date=Mon Jun  8 16:48:27 2015 | read events=15162 | good events=11109 | store events=11109 | wrong number of blocks=4052 | block errors=1 | nfiles=10 | frequency=243.82 | duration=62.2
run=1038 | aqcuisition status=Running | starting date=Mon Jun  8 16:48:32 2015 | stopping date=Mon Jun  8 16:49:28 2015 | read events=14847 | good events=10964 | store events=10964 | wrong number of blocks=3880 | block errors=3 | nfiles=10 | frequency=234.74 | duration=63.3
run=1039 | aqcuisition status=Running | starting date=Mon Jun  8 16:49:34 2015 | stopping date=Mon Jun  8 16:50:28 2015 | read events=14642 | good events=10969 | store events=10969 | wrong number of blocks=3670 | block errors=3 | nfiles=10 | frequency=239.85 | duration=61.1
run=1040 | aqcuisition status=Running | starting date=Mon Jun  8 16:50:33 2015 | stopping date=Mon Jun  8 16:51:26 2015 | read events=14813 | good events=11084 | store events=11084 | wrong number of blocks=3727 | block errors=2 | nfiles=10 | frequency=247.31 | duration=60.0
run=1041 | aqcuisition status=Running | starting date=Mon Jun  8 16:51:32 2015 | stopping date=Mon Jun  8 16:52:26 2015 | read events=14597 | good events=11005 | store events=11005 | wrong number of blocks=3588 | block errors=4 | nfiles=10 | frequency=239.09 | duration=61.1
run=1042 | aqcuisition status=Running | starting date=Mon Jun  8 16:52:32 2015 | stopping date=Mon Jun  8 16:53:24 2015 | read events=14822 | good events=11107 | store events=11107 | wrong number of blocks=3713 | block errors=2 | nfiles=10 | frequency=251.74 | duration=58.9
run=1043 | aqcuisition status=Running | starting date=Mon Jun  8 16:53:30 2015 | stopping date=Mon Jun  8 16:54:27 2015 | read events=15006 | good events=11067 | store events=11067 | wrong number of blocks=3937 | block errors=2 | nfiles=10 | frequency=232.59 | duration=64.4
run=1044 | aqcuisition status=Running | starting date=Mon Jun  8 16:54:33 2015 | stopping date=Mon Jun  8 16:55:31 2015 | read events=15187 | good events=10947 | store events=10947 | wrong number of blocks=4238 | block errors=2 | nfiles=10 | frequency=231.27 | duration=65.6
run=1045 | aqcuisition status=Running | starting date=Mon Jun  8 16:55:38 2015 | stopping date=Mon Jun  8 16:56:35 2015 | read events=14863 | good events=10975 | store events=10975 | wrong number of blocks=3884 | block errors=4 | nfiles=10 | frequency=231.02 | duration=64.4
run=1046 | aqcuisition status=Running | starting date=Mon Jun  8 16:56:41 2015 | stopping date=Mon Jun  8 16:57:38 2015 | read events=15001 | good events=10996 | store events=10996 | wrong number of blocks=4002 | block errors=3 | nfiles=10 | frequency=232.76 | duration=64.4
run=1047 | aqcuisition status=Running | starting date=Mon Jun  8 16:57:44 2015 | stopping date=Mon Jun  8 16:58:37 2015 | read events=14957 | good events=11036 | store events=11036 | wrong number of blocks=3920 | block errors=1 | nfiles=10 | frequency=248.81 | duration=60.0
run=1048 | aqcuisition status=Running | starting date=Mon Jun  8 16:58:43 2015 | stopping date=Mon Jun  8 16:59:38 2015 | read events=15336 | good events=10994 | store events=10994 | wrong number of blocks=4342 | block errors=0 | nfiles=10 | frequency=246.45 | duration=62.2
run=1049 | aqcuisition status=Running | starting date=Mon Jun  8 16:59:44 2015 | stopping date=Mon Jun  8 17:00:38 2015 | read events=14949 | good events=10885 | store events=10885 | wrong number of blocks=4063 | block errors=1 | nfiles=10 | frequency=244.85 | duration=61.1
run=1050 | aqcuisition status=Running | starting date=Mon Jun  8 17:00:44 2015 | stopping date=Mon Jun  8 17:01:38 2015 | read events=14958 | good events=10944 | store events=10944 | wrong number of blocks=4012 | block errors=2 | nfiles=10 | frequency=244.67 | duration=61.1
run=1051 | aqcuisition status=Running | starting date=Mon Jun  8 17:01:44 2015 | stopping date=Mon Jun  8 17:02:39 2015 | read events=15141 | good events=11042 | store events=11042 | wrong number of blocks=4097 | block errors=2 | nfiles=10 | frequency=243.39 | duration=62.2
run=1052 | aqcuisition status=Running | starting date=Mon Jun  8 17:02:46 2015 | stopping date=Mon Jun  8 17:03:41 2015 | read events=15271 | good events=11129 | store events=11129 | wrong number of blocks=4140 | block errors=2 | nfiles=10 | frequency=245.70 | duration=62.2
run=1053 | aqcuisition status=Running | starting date=Mon Jun  8 17:03:47 2015 | stopping date=Mon Jun  8 17:04:40 2015 | read events=14936 | good events=10982 | store events=10982 | wrong number of blocks=3952 | block errors=2 | nfiles=10 | frequency=249.02 | duration=60.0
run=1054 | aqcuisition status=Running | starting date=Mon Jun  8 17:04:54 2015 | stopping date=Mon Jun  8 17:05:46 2015 | read events=14926 | good events=11138 | store events=11138 | wrong number of blocks=3786 | block errors=2 | nfiles=10 | frequency=252.64 | duration=58.9
run=1055 | aqcuisition status=Running | starting date=Mon Jun  8 17:05:52 2015 | stopping date=Mon Jun  8 17:06:43 2015 | read events=14749 | good events=10979 | store events=10979 | wrong number of blocks=3769 | block errors=1 | nfiles=10 | frequency=255.65 | duration=57.8
run=1056 | aqcuisition status=Running | starting date=Mon Jun  8 17:06:49 2015 | stopping date=Mon Jun  8 17:07:41 2015 | read events=14828 | good events=11098 | store events=11098 | wrong number of blocks=3728 | block errors=2 | nfiles=10 | frequency=251.64 | duration=58.9
run=1057 | aqcuisition status=Running | starting date=Mon Jun  8 17:07:47 2015 | stopping date=Mon Jun  8 17:08:36 2015 | read events=14938 | good events=11072 | store events=11072 | wrong number of blocks=3864 | block errors=2 | nfiles=10 | frequency=269.32 | duration=55.6
run=1058 | aqcuisition status=Running | starting date=Mon Jun  8 17:08:41 2015 | stopping date=Mon Jun  8 17:09:34 2015 | read events=14861 | good events=11009 | store events=11009 | wrong number of blocks=3852 | block errors=0 | nfiles=10 | frequency=247.76 | duration=60.0
run=1059 | aqcuisition status=Running | starting date=Mon Jun  8 17:09:39 2015 | stopping date=Mon Jun  8 17:10:30 2015 | read events=15068 | good events=11107 | store events=11107 | wrong number of blocks=3959 | block errors=2 | nfiles=10 | frequency=260.87 | duration=57.8
run=1060 | aqcuisition status=Running | starting date=Mon Jun  8 17:10:36 2015 | stopping date=Mon Jun  8 17:11:24 2015 | read events=14932 | good events=11082 | store events=11082 | wrong number of blocks=3849 | block errors=1 | nfiles=10 | frequency=273.88 | duration=54.4
run=1061 | aqcuisition status=Running | starting date=Mon Jun  8 17:11:29 2015 | stopping date=Mon Jun  8 17:12:20 2015 | read events=15132 | good events=10973 | store events=10973 | wrong number of blocks=4155 | block errors=4 | nfiles=10 | frequency=262.27 | duration=57.8
run=1062 | aqcuisition status=Running | starting date=Mon Jun  8 17:12:25 2015 | stopping date=Mon Jun  8 17:13:13 2015 | read events=15009 | good events=10946 | store events=10946 | wrong number of blocks=4060 | block errors=3 | nfiles=10 | frequency=275.84 | duration=54.4
run=1063 | aqcuisition status=Running | starting date=Mon Jun  8 17:13:18 2015 | stopping date=Mon Jun  8 17:14:07 2015 | read events=14808 | good events=11001 | store events=11001 | wrong number of blocks=3803 | block errors=4 | nfiles=10 | frequency=266.82 | duration=55.6
run=1064 | aqcuisition status=Running | starting date=Mon Jun  8 17:14:13 2015 | stopping date=Mon Jun  8 17:15:02 2015 | read events=14964 | good events=11150 | store events=11150 | wrong number of blocks=3812 | block errors=2 | nfiles=10 | frequency=269.66 | duration=55.6
run=1065 | aqcuisition status=Running | starting date=Mon Jun  8 17:15:07 2015 | stopping date=Mon Jun  8 17:15:56 2015 | read events=14893 | good events=10925 | store events=10925 | wrong number of blocks=3966 | block errors=2 | nfiles=10 | frequency=268.04 | duration=55.6
run=1066 | aqcuisition status=Running | starting date=Mon Jun  8 17:16:02 2015 | stopping date=Mon Jun  8 17:16:52 2015 | read events=15210 | good events=11078 | store events=11078 | wrong number of blocks=4128 | block errors=4 | nfiles=10 | frequency=269.67 | duration=56.7
run=1067 | aqcuisition status=Running | starting date=Mon Jun  8 17:16:57 2015 | stopping date=Mon Jun  8 17:17:46 2015 | read events=14710 | good events=10968 | store events=10968 | wrong number of blocks=3740 | block errors=2 | nfiles=10 | frequency=264.44 | duration=55.6
run=1068 | aqcuisition status=Running | starting date=Mon Jun  8 17:17:52 2015 | stopping date=Mon Jun  8 17:18:44 2015 | read events=14857 | good events=11008 | store events=11008 | wrong number of blocks=3846 | block errors=3 | nfiles=10 | frequency=252.09 | duration=58.9
run=1069 | aqcuisition status=Running | starting date=Mon Jun  8 17:18:50 2015 | stopping date=Mon Jun  8 17:19:43 2015 | read events=14860 | good events=11089 | store events=11089 | wrong number of blocks=3767 | block errors=4 | nfiles=10 | frequency=247.69 | duration=60.0
run=1070 | aqcuisition status=Running | starting date=Mon Jun  8 17:19:48 2015 | stopping date=Mon Jun  8 17:20:38 2015 | read events=14973 | good events=10986 | store events=10986 | wrong number of blocks=3985 | block errors=2 | nfiles=10 | frequency=264.31 | duration=56.7
run=1071 | aqcuisition status=Running | starting date=Mon Jun  8 17:20:44 2015 | stopping date=Mon Jun  8 17:21:34 2015 | read events=14981 | good events=11109 | store events=11109 | wrong number of blocks=3869 | block errors=3 | nfiles=10 | frequency=263.73 | duration=56.7
run=1072 | aqcuisition status=Running | starting date=Mon Jun  8 17:21:39 2015 | stopping date=Mon Jun  8 17:22:30 2015 | read events=15072 | good events=11075 | store events=11075 | wrong number of blocks=3995 | block errors=2 | nfiles=10 | frequency=260.88 | duration=57.8
run=1073 | aqcuisition status=Running | starting date=Mon Jun  8 17:22:35 2015 | stopping date=Mon Jun  8 17:23:27 2015 | read events=14986 | good events=11015 | store events=11015 | wrong number of blocks=3970 | block errors=1 | nfiles=10 | frequency=254.49 | duration=58.9
run=1074 | aqcuisition status=Running | starting date=Mon Jun  8 17:23:33 2015 | stopping date=Mon Jun  8 17:24:22 2015 | read events=14890 | good events=11035 | store events=11035 | wrong number of blocks=3853 | block errors=2 | nfiles=10 | frequency=267.84 | duration=55.6
run=1075 | aqcuisition status=Running | starting date=Mon Jun  8 17:24:28 2015 | stopping date=Mon Jun  8 17:25:18 2015 | read events=14714 | good events=10845 | store events=10845 | wrong number of blocks=3865 | block errors=4 | nfiles=10 | frequency=259.84 | duration=56.7
run=1076 | aqcuisition status=Running | starting date=Mon Jun  8 17:25:23 2015 | stopping date=Mon Jun  8 17:26:14 2015 | read events=14828 | good events=10930 | store events=10930 | wrong number of blocks=3896 | block errors=2 | nfiles=10 | frequency=256.13 | duration=57.8
