########################################################
#Z	A	Q	Brho0	Run1	Run2	Brhomin	Brhomax
########################################################
6	10	5	0.661	514	514	0.723000	0.756000
6	10	6	1.401	528	530	1.45200	1.53600
6	10	6	1.289	525	527	1.26000	1.45200
6	10	6	1.186	523	524	1.11600	1.26000
6	10	6	0.923	518	519	0.912000	0.996000
6	10	6	0.849	517	517	0.741000	0.924000
6	10	6	0.782	515	516	0.744000	0.753000
6	10	6	0.719	511	513	0.708000	0.756000
6	10	6	0.661	514	514	0.630000	0.720000
6	11	5	1.800	543	547	1.88400	1.98000
6	11	5	1.656	537	542	1.56000	1.88400
6	11	5	1.523	531	536	1.42800	1.56000
6	11	5	1.401	528	530	1.32000	1.42800
6	11	5	1.289	525	527	1.22400	1.32000
6	11	5	1.186	523	524	1.21200	1.22400
6	11	5	1.091	521	522	1.03200	1.21200
6	11	5	1.004	520	520	1.06800	1.03200
6	11	5	0.923	518	519	0.948000	1.06800
6	11	5	0.849	517	517	0.816000	0.960000
6	11	6	1.800	543	547	1.83600	1.77600
6	11	6	1.656	537	542	1.68000	1.83600
6	11	6	1.523	531	536	1.50000	1.68000
6	11	6	1.401	528	530	1.36800	1.50000
6	11	6	1.289	525	527	1.26000	1.36800
6	11	6	1.186	523	524	1.08000	1.26000
6	11	6	1.091	521	522	1.03200	1.08000
6	11	6	1.004	520	520	1.04400	1.03200
6	11	6	0.923	518	519	0.996000	1.04400
6	11	6	0.849	517	517	0.744000	1.00800
6	11	6	0.782	515	516	0.744000	0.756000
6	11	6	0.719	511	513	0.744000	0.756000
6	11	6	0.661	514	514	0.693000	0.756000
6	12	5	1.800	543	547	1.78800	1.96800
6	12	5	1.656	537	542	1.60800	1.78800
6	12	5	1.523	531	536	1.53600	1.60800
6	12	5	1.401	528	530	1.32000	1.53600
6	12	5	1.186	523	524	1.17600	1.32000
6	12	5	1.091	521	522	1.11600	1.17600
6	12	5	1.004	520	520	1.10400	1.11600
6	12	5	0.849	517	517	0.888000	0.984000
6	12	6	1.800	543	547	1.77600	1.95600
6	12	6	1.656	537	542	1.62000	1.77600
6	12	6	1.523	531	536	1.48800	1.62000
6	12	6	1.401	528	530	1.36800	1.48800
6	12	6	1.289	525	527	1.24800	1.36800
6	12	6	1.186	523	524	1.11600	1.24800
6	12	6	1.091	521	522	1.06800	1.11600
6	12	6	1.004	520	520	1.05600	1.06800
6	12	6	0.923	518	519	0.960000	1.05600
6	12	6	0.849	517	517	0.792000	0.972000
6	12	6	0.661	514	514	0.732000	0.756000
6	13	5	1.656	537	542	1.58400	1.65600
6	13	5	1.186	523	524	1.21200	1.22400
6	13	6	1.800	543	547	1.75200	1.99200
6	13	6	1.656	537	542	1.62000	1.75200
6	13	6	1.523	531	536	1.48800	1.62000
6	13	6	1.401	528	530	1.35600	1.48800
6	13	6	1.289	525	527	1.22400	1.35600
6	13	6	1.186	523	524	1.15200	1.22400
6	13	6	1.091	521	522	1.08000	1.15200
6	13	6	1.004	520	520	1.08000	1.08000
6	13	6	0.923	518	519	0.984000	1.08000
6	13	6	0.849	517	517	0.804000	0.996000
6	14	6	1.800	543	547	1.75200	1.99200
6	14	6	1.656	537	542	1.62000	1.75200
6	14	6	1.523	531	536	1.50000	1.62000
6	14	6	1.401	528	530	1.33200	1.50000
6	14	6	1.289	525	527	1.12800	1.33200
6	14	6	1.186	523	524	1.18800	1.12800
6	14	6	1.091	521	522	1.09200	1.18800
6	14	6	1.004	520	520	1.06800	1.09200
6	14	6	0.923	518	519	0.984000	1.06800
6	14	6	0.849	517	517	0.864000	0.996000
6	15	6	1.800	543	547	1.65600	1.98000
6	15	6	1.656	537	542	1.69200	1.65600
6	15	6	1.523	531	536	1.48800	1.69200
6	15	6	1.401	528	530	1.40400	1.48800
6	15	6	1.289	525	527	1.39200	1.40400
6	15	6	1.091	521	522	1.14000	1.15200
6	15	6	0.849	517	517	0.900000	0.960000
6	16	6	1.800	543	547	1.78800	1.80000
6	16	6	1.401	528	530	1.46400	1.47600
7	10	5	1.800	543	547	1.76400	1.84800
7	10	5	1.656	537	542	1.56000	1.76400
7	10	5	1.523	531	536	1.44000	1.56000
7	10	5	1.401	528	530	1.33200	1.44000
7	10	5	1.289	525	527	1.29600	1.33200
7	10	5	1.186	523	524	1.22400	1.29600
7	10	5	1.091	521	522	1.04400	1.22400
7	10	5	1.004	520	520	1.03200	1.04400
7	10	5	0.923	518	519	0.924000	1.03200
7	10	5	0.849	517	517	0.804000	0.936000
7	10	6	1.523	531	536	1.50000	1.51200
7	10	6	1.401	528	530	1.34400	1.50000
7	10	6	1.289	525	527	1.16400	1.34400
7	10	6	1.186	523	524	1.08000	1.16400
7	10	6	1.091	521	522	0.984000	1.08000
7	10	6	1.004	520	520	1.06800	0.984000
7	10	6	0.923	518	519	0.828000	1.06800
