# Generated by P. 15/05/2012.
# Proton energies (ch) where found from Brho runs (624-627,628)
# 5th camp calibration was simply corrected for a gain change looking at p
# in the Brho runs. Only the a1 parameter was modified.
# We expect it to work reasonably at least for light charged particles
# Paola 17/08/2012: added rings 10-12 calibration coefficients
8   2    25.034   0.211438   6.00998   0.385  0.231922   5
8   3    28.8528   0.30319   6.00963   0.385  0.241856   4
8   4    12.8196   0.366301   6.01   0.385  0.366565   4
8   5    37.5382   0.25493   6.01   0.385  0.205815   5
8   6    13.2953   0.226205   6.01   0.385  0.207797   5
8   7    7.95224   0.438994   6.00997   0.385  0.173464   6
8   8    22.6854   0.278191   6.00994   0.385  0.146731   6
8   9    25.3463   0.360745   6.00992   0.385  0.381015   5
8   10    23.862   0.265524   6.00999   0.385  0.163556   5
8   11    25.8165   0.284601   6.01   0.385  0.094334   5
8   12    19.2471   0.214623   6.01   0.385  0.081177   5
8   13    26.3457   0.344172   6.00998   0.385  0.294436   5
8   14    29.1778   0.234127   6   0.385  0.133354   4
8   15    22.2621   0.483497   6.00996   0.385  0.260053   5
8   16    22.8001   0.236992   6.00999   0.385  0.196809   5
8   17    25.9039   0.322762   6.01   0.385  0.096815   6
8   18    14.0531   0.307707   6.01   0.385  0.099038   6
8   19    17.4807   0.212523   6.00996   0.385  0.085063   5
8   20    17.5606   0.29642   6.00983   0.385  0.098761   5
8   21    30.4743   0.366782   6.00999   0.385  0.161312   5
8   22    38.4302   0.203737   6.00999   0.385  0.093807   5
8   23    24.227   0.178576   6.01   0.385  0.08808   6
8   24    21.1736   0.192911   6.01   0.385  0.078388   5
9   1    60.2855   0.184992   6   0.385  0   2
9   2    35.5579   0.314341   6.01   0.385  0   2
9   3    25.4964   0.315588   6.01   0.385  0.138575   4
9   4    42.5856   0.304689   6   0.385  0   3
9   5    37.6784   0.439288   6.00998   0.385  0   3
9   6    44.8414   0.491016   6.01   0.385  0   3
9   7    23.4956   0.42538   6.01   0.385  0.10053   4
9   8    37.7918   0.324572   6.00999   0.385  0   3
9   9    42.321   0.306953   6.01   0.385  0   2
9   10    37.5739   0.573888   6.01   0.385  0   2
9   11    38.0142   0.314611   6.01   0.385  0   2
9   12    36.5664   0.29304   6.01   0.385  0   2
9   13    38.3322   0.396264   6.01   0.385  0   3
9   14    31.2585   0.306493   6.01   0.385  0   3
9   15    20.4622   0.267506   6.01   0.385  0   3
9   16    23.8234   0.504906   6.00999   0.385  0   3
9   17    27.7971   0.620313   6.01   0.385  0.062545   4
9   18    32.6906   0.52375   6.01   0.385  0.062984   4
9   19    29.1876   0.255274   6.01   0.385  0   3
9   20    36.3916   0.248753   6.00059   0.385  0   2
9   21    29.0052   0.35827   6.00998   0.385  0   3
9   22    25.7158   0.305196   6.01   0.385  0   2
9   23    38.2467   0.315412   6.01   0.385  0.023484   4
9   24    31.199   0.290833   6.01   0.385  0.207011   4
10   1    22.094   0.201533   6.01   0.385  0.010716   4
10   2    54.3529   0.173692   6   0.385  0.030904   4
10   3    25.6116   0.321742   6.01   0.385  0.045373   4
10   4    18.8324   0.293441   6.01   0.385  0.035491   4
10   5    27.9371   0.2   6   0.385  0   0
