###################################################################
#$Id: CalibMeVVoltChIoSi.dat,v 1.0 15/05/2012 Paola
#
#e503 Campaign MeV/Volt conversion for Silicon and ChIo detectors.
#Updated on 15/05/2012 First version of the calibration file for this campaign
#Only Si (no SILI) detectors values refer to e503. All the other values
#are those of the 5th campaign.
#
#Calibration performed on alpha source runs 216-233 with mV/ch file Automate_r617_HG-LGlin.dat
#The 3 peaks of the source + the 2 peaks of the Cf source were considered
#(it turned out to give the best agreement between the proton energy loss measured in 
#Brho runs (624-627, 628, protons on C, on Au and from 1st excited 12C state in p+C, Bho=0.67)
#and the calculated one. Also, for ring 4, good agreement with the elastic peaks
#detected in runs 624-627 was obtained with this calibration.
#
#Note that the chi2 for the fit is so huge because as uncertainty on the alpha peak position
#we used sigma/sqrt(stat). When considering sigma, the normalized chi2 is around 1,
#but the fit is not well constrained.
#Uncertainty on the parameters available in /home/marini/e503/CalibFiles15052012/mVMeV_HGLGlin_ped617_5peaks_newErr.dat
#
#I don't delete what written below until the file is completely updated for the e503 . PM 15/05/12
#
#Updated by A. Chbihi, 24/03/2010 : Add in this file the parameters for SI75 and SILI
#For Silicon detectors:
#  calibration performed using Brho elastic scattering points for light particles
#  and fragments (Z<=6--7)
#  for rings 2-5, the changes of amplifier gain (1 <-> sqrt(2)) are taken into
#  account by KVChannelVolt::Compute. There is no need for a separate
#  calibration.
#  Silicon calibrations not included in this lot were added by Marian Parlog
#  from a variety of sources:
#Le classement des datecteurs dans les differents groupes est base sur  
#la valeur du b(Z=54) (124_Xe a 6.93 AMeV) et sur la calibration fournie 
#(le plus souvent) par les runs brho - voir le fichier: 
#CalibMeVVoltChIoSi.dat (E[MeV] = a0 + a1*V[Volts]) - Josiane et Abdou.
#Pour quelques modules, cette calibration en manque; si une autre calibration
#- faite a partir de la source Thoron - est disponible:
#alpha_sg_gg_gain1_cou1_9.dat (Marian) elle est provisoirement proposee. 
#En plus, CalibBrhoSilicon_Gain1.dat (Abdou) pour le module SI_0108 
#et VoltAlpha5_si_gain1.dat (Alexis) pour le module SI_0824 sont 
#pour l'instant proposee. 
# The detectors concerned by these calibrations are:
#SI_0102 - alpha_sg_gg_gain1: E[MeV] = 0.439652+444.446533*V[Volts]
#SI_0103 - alpha_sg_gg_gain1: E[MeV] = 0.146313+468.575958*V[Volts]
#SI_0104 - alpha_sg_gg_gain1: E[MeV] = 0.060952+493.343689*V[Volts]
#SI_0105 - alpha_sg_gg_gain1: E[MeV] = -0.056858+499.392487*V[Volts]
#SI_0106 - alpha_sg_gg_gain1: E[MeV] = -0.078933+482.469513*V[Volts]
#SI_0107 - alpha_sg_gg_gain1: E[MeV] = -0.016464+476.301697*V[Volts]
#SI_0108 - CalibBrhoSilicon_Gain1.dat: E[MeV] = 8.34141+477.7 *V[Volts]
#SI_0109 - alpha_sg_gg_gain1: E[MeV] = -0.439223+493.898834*V[Volts]
#SI_0110 - alpha_sg_gg_gain1: E[MeV] = -0.040180+470.531982*V[Volts]
#SI_0111 - alpha_sg_gg_gain1: E[MeV] = -0.167290+475.975647*V[Volts]
#SI_0112 - alpha_sg_gg_gain1: E[MeV] = -0.107299+475.305695*V[Volts]
#SI_0221 - 150 microns - alpha_sg_gg_gain1: E[MeV] = 0.209785 + 431.040100*V[Volts] 	
#SI_0321 - 150 microns - alpha_sg_gg_gain1: E[MeV] =0.099379+440.717926  *V[Volts]
#SI_0322 - 150 microns - alpha_sg_gg_gain1: E[MeV] =0.208162+436.270111 *V[Volts]  
#SI_0824 - 150 microns - VoltAlpha5_si_gain1: E[MeV] = 0. + 468.718*V[Volts]
#
#29/1/2008: SI_0101
#For SI_0101, we take the same calibration as for SI_0102.
#There is no calibration canal-volt for 0101 because the pulser did not
#fire the electronics of this detector. However, in a previous canal-energy
#calibration, 0101 & 0102 had very similar coeffs, so we assume the
#same calib as for 0102.  -------------------------------    JDF. AC.
#
#29/1/2008: SI_0315 & SI_0316
#For SI_0315 we take the same calibration as SI_0314
#For Si_0316 we take the same calibration as SI_0317
#Because, in a previous canal-energy calibration, these detectors
#had very similar coefficients.  -------------------------------    JDF. AC.
#
#For ChIo detectors:
#  2 calibrations performed, for the two different stocks of gas.
#  Runs 6000-6979 : calibration using alpha source (r.6759) and Xe+Au 7AMeV
#  elastic scattering (r.6006)
#  runs 6980-8842 : calibration using Brho elastic scattering points for light particles
#  and fragments (Z<=6--7)
#
#In all cases, E[MeV] = a0 + a1*V[Volts]. The format of the file is:
#  Det_Name     a0      a1      chi-square
#chi-square given is for the linear fit to E vs. V.
Run Range : 1 600

SI_0823	0	522.0105759343	9.49507e+06
SI_0824	0	516.1210407065	6.60498e+06
SI_0901	0	459.0314436539	9.19466e+06
SI_0902	0	456.9882645414	1.30101e+07
SI_0903	0	455.9506114298	1.4104e+07
SI_0904	0	452.6791817371	1.47466e+07
SI_0906	0	454.2068639741	1.16659e+07
SI_0907	0	457.2410986589	1.23608e+07
SI_0908	0	462.6716511826	1.13063e+07
SI_0909	0	465.0730164636	7.25033e+06
SI_0910	0	514.3609579458	8.56722e+06
SI_0911	0	518.8551978914	1.1215e+07
SI_0912	0	503.8062562661	1.25414e+07
SI_0913	0	509.7203674064	1.20334e+07
SI_0914	0	513.0020366181	1.2066e+07
SI_0915	0	509.1883029263	1.61457e+07
SI_0916	0	518.0702917772	1.21791e+07
SI_0917	0	519.8883279871	1.07213e+07
SI_0918	0	503.6945998902	1.04589e+07
SI_0919	0	500.0525055131	1.23247e+07
SI_0920	0	0		8.3818e-08
SI_0921	0	504.0932370851	1.40715e+07
SI_0922	0	502.6818074427	1.01228e+07
SI_0923	0	511.1246275179	9.47833e+06
SI_0924	0	510.8504638522	1.18021e+07
SI75_10        0.0296385        104.933        0.000436927
SI75_11        -0.00933735        103.249        0.000276148
SI75_12        0.0507089        99.9574        0.000240196
SI75_13        -0.0671012        100.851        0.000267761
SI75_14        0.00574891        102.391        1.
SI75_15        -0.00227357        100.475        1.
SI75_16        -0.0709287        97.454        1.
SI75_17        -0.100646        105.831        0.00171761
SILI_10        0.515522        95.3408        34.4575
SILI_11        0.743924        98.0333        33.0012
SILI_12        0.826509        92.2242        40.5472
SILI_13        0.445784        97.569        50.2422
SILI_14        -0.223235        122.911        81.4343
SILI_15        0.634545        90.0299        98.7121
SILI_16        0.598115        93.7752        0.0896719
SILI_17        0.472973        110.445        73.7313
Run Range : 6980 8842
CI_0201        0.279909        26.9711        0.304881
CI_0205        -0.104091        34.8484        0.0525829
CI_0207        -0.157678        35.0941        0.0500631
CI_0209        -0.113394        33.2275        0.058158
CI_0211        -0.109631        34.2703        0.0687044
CI_0213        -0.109924        32.5782        0.0621674
CI_0217        -0.182606        34.2153        0.0712734
CI_0219        -0.152308        32.3883        0.0743981
CI_0223        -0.167474        34.8857        0.0750463
CI_0401        -0.206999        34.3694        0.235798
CI_0403        -0.175015        35.5442        0.308854
CI_0405        -0.178433        35.0097        0.308233
CI_0407        -0.200893        34.2652        0.175069
CI_0409        -0.26011        32.8845        0.494696
CI_0411        -0.272026        35.3955        0.245577
CI_0413        -0.23473        34.6921        0.151279
CI_0415        -0.218159        33.3326        0.137807
CI_0417        -0.240377        34.7687        0.144058
CI_0419        -0.214271        34.455        0.144813
CI_0421        -0.28765        35.1248        0.214773
CI_0423        -0.21581        31.8318        0.338395
CI_0601        -0.203486        31.1487        1.51531
CI_0603        -0.300424        34.3232        0.675823
CI_0605        -0.130621        33.2284        2.70394
CI_0607        -0.300102        33.5143        2.10935
CI_0609        -0.211297        31.9604        2.1914
CI_0611        -0.311192        33.2328        0.966657
CI_0613        -0.253039        33.7111        0.681731
CI_0615        -0.35479        33.6059        2.5042
CI_0617        -0.127556        33.7929        0.417358
CI_0619        -0.105866        32.5555        3.14466
CI_0621        -0.20095        33.5878        1.03544
CI_0623        -0.234203        32.533        2.7926
CI_0801        -0.0524494        29.4765        0.444564
CI_0803        -0.000718642        27.7818        0.679806
CI_0805        -0.0605379        29.2377        2.6761
CI_0807        -0.10256        29.6923        0.826352
CI_0809        0.0655633        28.6137        1.21419
CI_0811        -0.069495        31.3811        0.374842
CI_0813        -0.0468589        29.8081        0.135607
CI_0815        -0.103668        29.8662        0.319404
CI_0817        -0.223494        32.6921        12.7852
CI_0819        0.0508655        29.0849        6.76743
CI_0821        -0.0654681        31.6798        0.247203
CI_0823        -0.253016        32.8018        16.617
Run Range : 6001 6979
CI_0201	-0.0269165	49.0692	706.324
CI_0203	-0.312517	47.5942	500.968
CI_0205	-0.422549	65.1505	2195.02
CI_0207	-0.451792	64.2251	2123.75
CI_0209	-0.412293	61.6012	2178.69
CI_0211	-0.437677	64.0694	2252.82
CI_0213	-0.260796	53.3041	2640.93
CI_0215	-0.4	50.3467	418961
CI_0217	-0.453726	63.5752	2634.48
CI_0219	-0.42713	61.2357	3442.08
CI_0223	-0.443071	65.903	2090.85
CI_0401	-0.304204	59.0663	55.0761
CI_0403	-0.361985	61.5967	74.5715
CI_0405	-0.346323	60.9943	96.3605
CI_0407	-0.371127	60.3438	78.052
CI_0409	-0.378754	56.8111	200.359
CI_0411	-0.362056	60.9642	49.424
