#Sys	Z	run1	run2	min1	max1	min2	max2	min3	max3	min4	max4	min5	max5	min6	max6	min7	max7
4040	20	531	536	1.86313	1.89260	1.91432	1.94276	1.86396	1.98827	2.01412	2.03687	0.0	0.0	0.0	0.0	0.0	0.0	
4040	21	531	536	1.91949	1.94017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		

#Sys	Z	run1	run2	min1	max1	min2	max2	min3	max3	min4	max4	min5	max5	min6	max6	min7	max7	
4040	7	537	542     1.82270 1.85480 1.95488 1.99705 2.09171 2.13606 2.23701 2.28166 0.0     0.0     0.0     0.0     0.0     0.0
4040	8	537	542     1.83613 1.86536 1.95393 1.98832 2.08548 2.11299 2.21273 2.23766 2.25405 2.30239 0.0     0.0     0.0     0.0
4040	9	537	542     1.70    1.80000 1.84989 1.87740 1.95736 1.98746 2.07000 2.09579 2.17404 2.20499 2.29527 2.32708 2.36264 2.40
4040	10	537	542     1.77680 1.79228 1.85677 1.88600 1.95393 1.98660 2.05194 2.08548 2.15426 2.18436 2.26260 2.28065 2.35715 2.40
4040	11	537	542     1.78626 1.81411 1.87138 1.87804 1.95822 1.98574 2.04593 2.07516 2.14222 2.16630 2.23164 2.25314 2.31615 2.34944
4040	12	537	542     1.78024 1.82027 1.87826 1.90406 1.95564 1.98316 2.03991 2.06742 2.12073 2.14996 2.20255 2.23079 2.28813 2.34223
4040	13	537	542     1.81814 1.84138 1.89286 1.91183 1.96068 1.98597 2.03310 2.06242 2.11300 2.13656 2.19639 2.21013 2.26761 2.40
4040	14	537	542     1.82791 1.84860 1.89688 1.91815 1.95521 1.98597 2.02793 2.05437 2.10150 2.12564 2.16990 2.19634 2.24932 2.40    
4040	15	537	542     1.90321 1.92505 1.96068 1.98540 2.02616 2.04747 2.07946 2.11299 2.14403 2.17047 2.21300 2.22795 2.30519 2.40    
4040	16	537	542     1.90206 1.92620 1.96241 1.98655 2.01931 2.0469  2.08081 2.10610 2.14288 2.16875 2.21415 2.23714 2.28097 2.40
4040	17	537	542     1.91240 1.93594 1.96690 1.98827 2.01816 2.04345 2.07571 2.09978 2.13227 2.15610 2.19915 2.22222 2.26487 2.40    
4040	18	537	542     1.91413 1.93924 1.96734 1.98540 2.01643 2.04172 2.07131 2.09230 2.12564 2.14978 2.18427 2.20726 2.24624 2.40
4040	19	537	542     1.91737 1.93504 1.96280 1.98656 2.01563 2.03513 2.06506 2.08616 2.12443 2.14553 2.17889 2.19656 0.0     0.0
4040	20	537	542     1.87272 1.89480 1.91371 1.93798 1.96371 1.99096 2.02041 2.03513 2.06539 2.08223 2.11462 2.13326 2.17075 2.19361
4040	21	537	542     1.88205 1.89284 1.92817 1.94534 0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0

#Sys	Z	run1	run2	min1	max1	min2	max2	min3	max3	min4	max4	min5	max5	min6	max6	min7	max7	
4040	7	543     547     1.81484 1.83939 1.95486 1.98669 2.06113 2.12944 2.24037 2.26674 0.0     0.0     0.0     0.0     0.0     0.0
4040	8	543     547     1.84121 1.86757 1.95759 1.99032 2.06060 2.11307 2.17670 2.23946 2.33584 2.36312 0.0     0.0     0.0     0.0
4040	9	543     547     1.70000	1.80000 1.85575 1.88030 1.96032 1.99123 2.04735 2.09944 2.16133 2.21218 2.29129 2.32493 2.40222 2.42768
4040	10	543     547     1.77680 1.79228 1.86757 1.89303 1.96396 1.99123 2.03197 2.08943 2.13588 2.18854 2.26038 2.28765 2.37040 2.40222
4040	11	543     547     1.78626 1.81411 1.88121 1.90122 1.96668 1.99123 2.03091 2.07943 2.12369 2.17036 2.23310 2.26128 2.32584 2.35039
4040	12	543     547     1.80129 1.82245 1.88456 1.90708 1.96714 1.99035 2.02616 2.07293 2.11361 2.15510 2.21012 2.23742 2.29884 2.32136
4040	13	543     547     1.83200 1.85589 1.89480 1.91527 1.96714 1.99103 2.01964 2.06679 2.10407 2.14186 2.19032 2.21899 2.27291 2.29475
4040	14	543     547     1.90151 1.92194 1.95204 1.99181 2.01964 2.06215 2.09402 2.13202 2.16910 2.20284 2.24989 2.27223 2.33942 2.36248    
4040	15	543     547     1.90959 1.92575 1.95427 1.99086 2.02414 2.05693 2.09179 2.12299 2.16577 2.18620 2.23801 2.25940 2.30978 2.32689    
4040	16	543     547     1.91054 1.93098 1.96805	1.99134 2.02340 2.05312	2.08584 2.11586 2.15056 2.17575 2.21567 2.24276 2.28506 2.31120
4040	17	543     547     1.91767 1.93620 1.96947 1.99086 2.02223 2.04837 2.08021 2.10588 2.13867 2.16244 2.20617 2.22565 2.26510 2.29267    
4040	18	543     547     1.92194 1.93763 1.96852 1.99181 2.02413 2.04599 2.07321 2.10018 2.13297 2.15531 2.19713 2.21757 2.25274 2.27318
4040	19	543     547     1.92290 1.94286 1.96995 1.99086 2.02413 2.04314 2.07546 2.09590 2.12774 2.15056 2.18383 2.20712	2.23944	2.25892 
4040	20	543     547     1.92717 1.94476 1.96900 1.99086 2.02271 2.04124 2.06738 2.09162 2.12679 2.14438 2.17480 2.19999 0.0	0.0

#Sys	Z	run1	run2	min1	max1	min2	max2	min3	max3	min4	max4	min5	max5	min6	max6	min7	max7
4040	20	548	548	2.13894	2.15537	2.19181	2.20875	2.24725	2.26316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
